word,cluster_label,stopword_type,reason
ความจงรักภักดี,1,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงความรู้สึก ความเชื่อ
ความรื่นเริง,1,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงความรู้สึก
ความวิจิตร,1,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงคุณค่า/ความคิดเห็น
ความตระหนัก,1,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงแนวคิดเชิงนามธรรม
ความรัก,1,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงความรู้สึก
ความเรียบง่าย,1,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงคุณค่า/ความคิดเห็น
ความสง่างาม,1,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงคุณค่า/ความคิดเห็น
คุณค่า,1,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงแนวคิดเชิงประเมินค่า
ค่านิยม,1,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงแนวคิด ความเชื่อ
เอกลักษณ์,1,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงแนวคิดเชิงประเมินค่า
รื่นเริง,1,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงความรู้สึก
สร้างสรรค์,1,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงคุณค่า/ความคิดเห็น
สง่างาม,1,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงคุณค่า/ความคิดเห็น
งดงาม,1,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงคุณค่า/ความคิดเห็น
การแต่งกาย,1,**คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse):**,คำพื้นฐานในโดเมน ทำให้จำแนกต่ำ
การร่ายรำ,1,**คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse):**,คำพื้นฐานในโดเมน ทำให้จำแนกต่ำ
นาฏศิลป์พื้นบ้าน,1,**คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse):**,คำพื้นฐานในโดเมน ทำให้จำแนกต่ำ
ดนตรีไทย,1,**คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse):**,คำพื้นฐานในโดเมน ทำให้จำแนกต่ำ
สวยงาม,2,**คำซ้ำซ้อน หรือ คำพ้องความหมาย (Redundant or Synonym):**,ความหมายใกล้เคียงกับ `งดงาม`
ความสวยงาม,1,**คำซ้ำซ้อน หรือ คำพ้องความหมาย (Redundant or Synonym):**,ความหมายใกล้เคียงกับ `ความงาม`
บุคคล,3,**คำที่มีความหมายกว้าง (Umbrella Terms):**,นามทั่วไป ไม่ชี้เฉพาะเจาะจง
จังหวัด,3,**คำที่มีความหมายกว้าง (Umbrella Terms):**,นามทั่วไป ใช้เป็นหมวดหมู่สถานที่
เมืองหลวง,3,**คำที่มีความหมายกว้าง (Umbrella Terms):**,นามทั่วไป ใช้เป็นหมวดหมู่สถานที่
อุปกรณ์,3,**คำที่มีความหมายกว้าง (Umbrella Terms):**,นามทั่วไป ไม่ชี้เฉพาะเจาะจง
พี่น้อง,3,**คำที่มีความหมายกว้าง (Umbrella Terms):**,นามทั่วไป ไม่ชี้เฉพาะเจาะจง
เวลา,3,**คำที่มีความหมายกว้าง (Umbrella Terms):**,นามทั่วไป ใช้ได้ทุกบริบท
ฤดูกาล,3,**คำที่มีความหมายกว้าง (Umbrella Terms):**,นามทั่วไป ใช้เป็นหมวดหมู่
แม่น้ำ,3,**คำที่มีความหมายกว้าง (Umbrella Terms):**,นามทั่วไป ไม่ชี้เฉพาะเจาะจง
กิจกรรม,3,**คำที่มีความหมายกว้าง (Umbrella Terms):**,นามทั่วไป ใช้ได้หลายบริบท
รู้คุณค่า,3,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงแนวคิดเชิงประเมินค่า
ความเคารพ,3,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงความรู้สึก ความเชื่อ
ความบันเทิง,3,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงแนวคิดเชิงนามธรรม
สนุกสนาน,3,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงความรู้สึก/คุณค่า
หลงใหล,3,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงความรู้สึก
ความมีน้ำใจ,3,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงแนวคิดเชิงนามธรรม
เกียรติยศ,3,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงแนวคิดเชิงประเมินค่า
สิริมงคล,3,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงคุณค่า ความเชื่อ
ภูมิปัญญา,3,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงแนวคิดเชิงนามธรรม
ความร่มเย็น,3,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงความรู้สึก/คุณค่า
ความคิดริเริ่ม,3,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงแนวคิดเชิงนามธรรม
ความสามัคคี,3,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงแนวคิดเชิงนามธรรม
ความกตัญญู,3,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงแนวคิดเชิงนามธรรม
แรงบันดาลใจ,3,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงแนวคิดเชิงนามธรรม
พิธีกรรม,3,**คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse):**,คำพื้นฐานในโดเมน ทำให้จำแนกต่ำ
วรรณคดี,3,**คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse):**,คำพื้นฐานในโดเมน ทำให้จำแนกต่ำ
การบรรเลง,3,**คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse):**,คำพื้นฐานในโดเมน ทำให้จำแนกต่ำ
ละคร,3,**คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse):**,คำพื้นฐานในโดเมน ทำให้จำแนกต่ำ
การฟ้อนรำ,3,**คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse):**,คำพื้นฐานในโดเมน ทำให้จำแนกต่ำ
นาฏศิลป์,3,**คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse):**,คำพื้นฐานในโดเมน ทำให้จำแนกต่ำ
ศิลปะ,3,**คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse):**,คำพื้นฐานในโดเมน ทำให้จำแนกต่ำ
ประติมากรรม,3,**คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse):**,คำพื้นฐานในโดเมน ทำให้จำแนกต่ำ
มรดกวัฒนธรรม,3,**คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse):**,คำพื้นฐานในโดเมน ทำให้จำแนกต่ำ
อาณาจักร,2,**คำที่มีความหมายกว้าง (Umbrella Terms):**,นามทั่วไป ใช้เป็นหมวดหมู่
อาชีพ,2,**คำที่มีความหมายกว้าง (Umbrella Terms):**,นามทั่วไป ใช้เป็นหมวดหมู่
แนวความคิด,2,**คำที่มีความหมายกว้าง (Umbrella Terms):**,คำที่มีความหมายกว้าง
บุรุษ,2,**คำที่มีความหมายกว้าง (Umbrella Terms):**,นามทั่วไป ไม่ชี้เฉพาะเจาะจง
กลุ่มชน,2,**คำที่มีความหมายกว้าง (Umbrella Terms):**,นามทั่วไป ไม่ชี้เฉพาะเจาะจง
ธรรมชาติ,2,**คำที่มีความหมายกว้าง (Umbrella Terms):**,คำที่มีความหมายกว้างมาก
สวยงาม,2,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงคุณค่า/ความคิดเห็น
เริงใจ,2,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงความรู้สึก
ความเพลิดเพลิน,2,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงความรู้สึก
ความสุข,2,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงความรู้สึก
ความชำนาญ,2,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงแนวคิดเชิงประเมินค่า
โดดเด่น,2,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงคุณค่า/ความคิดเห็น
อิทธิพล,2,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงแนวคิดเชิงนามธรรม
ความทรงจำ,2,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงแนวคิดเชิงนามธรรม
ความสมบูรณ์,2,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงแนวคิดเชิงนามธรรม
วิถีชีวิต,2,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงแนวคิดเชิงนามธรรม
การละเล่นพื้นเมือง,2,**คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse):**,คำพื้นฐานในโดเมน ทำให้จำแนกต่ำ
การต่อสู้,2,**คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse):**,คำพื้นฐานในโดเมน ทำให้จำแนกต่ำ
เครื่องแต่งกาย,2,**คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse):**,คำพื้นฐานในโดเมน ทำให้จำแนกต่ำ
ศิลปกรรม,2,**คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse):**,คำพื้นฐานในโดเมน ทำให้จำแนกต่ำ
กิริยาท่าทาง,2,**คำซ้ำซ้อน หรือ คำพ้องความหมาย (Redundant or Synonym):**,ความหมายซ้ำซ้อนกับ `ท่าทาง`
การต่อสู้,2,**คำซ้ำซ้อน หรือ คำพ้องความหมาย (Redundant or Synonym):**,พบคำนี้ 2 ครั้งในกลุ่มข้อมูล
