word,cluster_label,stopword_type,reason
อุปสรรค,1,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป ใช้ได้หลายบริบท
เพลงหญิงไทยใจงาม,1,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงคุณค่าเชิงประเมิน
การทำขวัญ,1,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำพื้นฐานในโดเมนวัฒนธรรม
รับใช้,3,คำที่มีความหมายกว้าง (Umbrella Terms),กริยาทั่วไป ใช้ได้หลายบริบท
ขบวนแห่,2,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป ใช้ในหลายบริบท
หยอกล้อ,2,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงการกระทำเชิงอารมณ์
ภูมิภาค,0,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป ใช้เป็นหมวดหมู่
ชาวไทย,0,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป ใช้เป็นหมวดหมู่
แหล่งน้ำ,1,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป ใช้เป็นหมวดหมู่
ยุติธรรม,1,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงแนวคิดนามธรรม
ขอความช่วยเหลือ,3,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป ใช้ได้หลายบริบท
อินเดีย,3,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป ใช้เป็นหมวดหมู่
สังคีตศิลป์,3,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำพื้นฐานในโดเมน ทำให้จำแนกต่ำ
ความเพลิดเพลิน,2,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงความรู้สึก/คุณค่า
ความจงรักภักดี,1,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงความรู้สึก/คุณค่า
การหลอมรวม,1,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงแนวคิดนามธรรม
พืชพรรณ,3,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป ใช้เป็นหมวดหมู่
มรดกวัฒนธรรม,3,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำพื้นฐานในโดเมน
กิริยาท่าทาง,2,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป ใช้ได้หลายบริบท
ธัญญาหาร,2,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป ใช้เป็นหมวดหมู่
เอาชนะ,2,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงแนวคิดนามธรรม
เทพธิดา,2,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำพื้นฐานในโดเมน
ลักษณะ,0,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป ใช้เป็นหมวดหมู่
สง่างาม,1,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงคุณค่า/ความคิดเห็น
หล่อหลอม,1,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงแนวคิดเชิงนามธรรม
หมดแรง,1,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงสถานะ/ความรู้สึก
จารีตประเพณี,1,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำพื้นฐานในโดเมน ทำให้จำแนกต่ำ
ความสามัคคี,3,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงแนวคิดเชิงนามธรรม
การขับร้อง,3,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำพื้นฐานในโดเมน ทำให้จำแนกต่ำ
อิทธิฤทธิ์,0,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงแนวคิดเหนือธรรมชาติ
ความศรัทธา,0,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงความรู้สึกเชื่อถือ
มหรสพ,3,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำพื้นฐานในโดเมนการแสดง
สถานที่,1,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป ใช้เป็นหมวดหมู่
สวัสดิมงคล,1,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงความปรารถนาดี
รังควาญ,1,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงความรู้สึกเชิงลบ
ตำนาน,1,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำพื้นฐานในโดเมนวัฒนธรรม
กองทัพ,0,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป ใช้เป็นหมวดหมู่
การรบ,0,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป กิจกรรมทางทหาร
การให้กำเนิด,1,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป กิจกรรม
สัจจะ,1,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงแนวคิดนามธรรม
ความนิยม,0,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงการประเมินค่า
งดงาม,1,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงคุณค่า/ความคิดเห็น
ดนตรีไทย,1,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำพื้นฐานในโดเมน
การร่ายรำ,1,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำพื้นฐานในโดเมน
ธรรมชาติ,2,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป ใช้ได้หลายบริบท
ความสุข,2,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงความรู้สึก
ประวัติศาสตร์,0,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป ใช้เป็นหมวดหมู่
ตะวันตก,3,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป ใช้เป็นหมวดหมู่
เวลา,3,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป ใช้เป็นหมวดหมู่
เรื่องใหญ่,3,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงคุณค่า/ความคิดเห็น
กุลสตรี,2,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงคุณค่า/ความคิดเห็น
word,0,"For each category in the cluster, if there is a word that fits, we write",เหตุผลย่อ (short reason)
พระมหากษัตริย์,0,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป ใช้เป็นหมวดหมู่
วาดรูป,0,คำที่มีความหมายกว้าง (Umbrella Terms),กริยาทั่วไป ใช้ได้หลายบริบท
ความพร้อมเพรียง,1,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงแนวคิดนามธรรม
การจับปลา,3,คำที่มีความหมายกว้าง (Umbrella Terms),กิจกรรมทั่วไป
ทำนาย,3,คำที่มีความหมายกว้าง (Umbrella Terms),กริยาทั่วไป
ความคิดริเริ่ม,3,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงแนวคิดนามธรรม
นางฟ้า,2,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป
น้องสาว,2,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป
ให้ร้าย,2,คำที่มีความหมายกว้าง (Umbrella Terms),กริยาทั่วไป
ตำรา,0,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป ใช้เป็นหมวดหมู่
สมบัติ,1,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป ใช้เป็นหมวดหมู่
วิถีชีวิต,2,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงแนวคิด/ความรู้สึก
ความทรงจำ,2,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงแนวคิดนามธรรม
Examples,2,Umbrella Term,"`ลักษณะ`, `บุคคล`, `สถานที่`, `กิจกรรม`, `รูปแบบ`, `ประเทศ`"
Examples,2,Abstract or Evaluative Term,"`ความสุข`, `ความเชื่อ`, `ความสำคัญ`, `งดงาม`, `สวยงาม`, `ยอดเยี่ยม`"
Examples,2,Domain-Specific Overuse,"`ศิลปะ`, `วัฒนธรรม`, `การแสดง`, `ประเพณี`, `นาฏศิลป์`"
Examples,2,Redundant or Synonym,`สวยงาม` and `งดงาม`; `พิธี` and `พิธีกรรม`
ต้นไม้,0,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป ใช้ได้หลายบริบท
อาจารย์,0,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป ใช้ได้หลายบริบท
ศิลปะการแสดง,0,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำพื้นฐานในโดเมน ทำให้จำแนกต่ำ
ผู้มาเยือน,1,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป ใช้เป็นหมวดหมู่
ความวิจิตร,1,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงคุณค่า/ความคิดเห็น
ความตระหนัก,1,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงแนวคิด/ความรู้สึก
โมโห,3,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงความรู้สึก
ศีรษะ,2,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป ใช้ได้หลายบริบท
ความสมบูรณ์,2,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงคุณค่า/ความคิดเห็น
word,2,คำที่มีความหมายกว้าง (Umbrella Terms),"reason or ""-"""
ไหล่เขา,0,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไปทางภูมิศาสตร์
ทิศตะวันออก,0,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไปทางทิศทาง
งานแต่งงาน,1,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไปกิจกรรม
รูปนอก,1,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไปลักษณะ
สิ่งชั่วร้าย,1,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงคุณค่าเชิงลบ
เป็นครั้งแรก,1,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงแนวคิดเวลา
ความสำนึก,1,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงแนวคิด
คุณค่า,1,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงคุณค่า
หมู่เกาะ,3,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไปทางภูมิศาสตร์
เพลงไทย,3,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำพื้นฐานในโดเมน
จารึก,3,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำเทคนิคพบบ่อย
