Main Label,Sub Label,Sub Group,Words
ศิลปะการแสดงและมหรสพ,ประเภทการแสดงและบทเพลง,ดนตรีและบทเพลง,"เพลงกลม, เพลงงามแสงเดือน, เพลงชาวไทย, เพลงดวงจันทร์ขวัญฟ้า"
ศิลปะการแสดงและมหรสพ,ประเภทการแสดงและบทเพลง,นาฏศิลป์และละครรำ,"กิริยาอาการ, จับระบำ, ปิดหน้า, ลูกไม้"
ศิลปะการแสดงและมหรสพ,องค์ประกอบละครเวที,บุคลากรและบทบาท,"นางรื่น, นายแก้ว"
ศิลปะการแสดงและมหรสพ,องค์ประกอบละครเวที,เทคนิคและฉาก,"องค์ปะตาระกาหลา, เกราะลอ"
สังคม ประเพณี และวิถีชีวิต,กลุ่มชาติพันธุ์และการดำรงชีพ,กลุ่มชนและเชื้อชาติ,"ชาวเขา, ตารีกีปัส, ลาวครั่ง, หมากกั๊บแก๊บ, อินโดนีเซีย, ฮินดู"
สังคม ประเพณี และวิถีชีวิต,กลุ่มชาติพันธุ์และการดำรงชีพ,การทำมาหากินและหัตถกรรม,"การเก็บใบชา, ข้าวเหนียว, จิตรกรรม, ภาชนะดินเผา, หน่อไม้, หล่อสำริด"
สังคม ประเพณี และวิถีชีวิต,กลุ่มชาติพันธุ์และการดำรงชีพ,สันทนาการและการละเล่น,พัดเรนัง
สังคม ประเพณี และวิถีชีวิต,ปฏิสัมพันธ์และธรรมชาติ,ธรรมชาติและสิ่งแวดล้อม,"กวางทอง, กองไฟ, ต้นไม้, พระจันทร์, เทือกเขาภูพาน, แควน้อย, แสงจันทร์"
สังคม ประเพณี และวิถีชีวิต,ปฏิสัมพันธ์และธรรมชาติ,วัตถุและของมีค่า,"ช่อดอกไม้, ทับทิม, ภาชนะดินเผา, รูปทอง, อัญมณี"
สังคม ประเพณี และวิถีชีวิต,ปฏิสัมพันธ์และธรรมชาติ,สีและรูปลักษณ์,ศุภลักษณ์
สังคม ประเพณี และวิถีชีวิต,ปฏิสัมพันธ์และธรรมชาติ,อารมณ์และสภาวะ,งดงาม
สังคม ประเพณี และวิถีชีวิต,ประเพณี พิธีกรรม และความเชื่อ,พิธีการและเทศกาล,"จารีตประเพณี, ช่อดอกไม้"
