word,cluster_label,stopword_type,reason
นิมิต,3,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),ความเชื่อหรือสัญลักษณ์เชิงนามธรรม
ขุนช้าง,3,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),ตัวละครจำลองในละครเวทีไทย พบบ่อยจนกลายเป็นคำเฉพาะที่ไม่ช่วยแยกความหมาย
จับนาง,3,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),ฉากจำลองในละครที่พบถี่ในโดเมน
อินทราภิเษก,3,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),ชื่อตอนในละครที่ใช้บ่อยในบริบทการแสดง
ศรนาคบาศ,3,คำซ้ำซ้อน หรือ คำพ้องความหมาย (Redundant or Synonym),พ้องกับตัวละครในละครเวที ซ้ำซ้อนกับบริบทตัวละครอื่น
ปรศุราม,3,คำซ้ำซ้อน หรือ คำพ้องความหมาย (Redundant or Synonym),ชื่อตัวละครที่มีความหมายเฉพาะแต่ซ้ำซ้อนในกลุ่มตัวละคร
ตารีบุหงา,3,คำซ้ำซ้อน หรือ คำพ้องความหมาย (Redundant or Synonym),ชื่อตัวละครที่ไม่เด่นเป็นเอกลักษณ์ในกลุ่มนี้ ซ้ำซ้อนกับคำในกลุ่มเดียวกัน
ภูเขา,0,คำที่มีความหมายกว้าง (Umbrella Terms),นามธรรมทั่วไป ใช้ในหลายบริบท
เชื้อชาติ,0,คำที่มีความหมายกว้าง (Umbrella Terms),หมวดหมู่กว้างทางสังคม
สี่ภาค,0,คำที่มีความหมายกว้าง (Umbrella Terms),หน่วยแบ่งภูมิศาสตร์ทั่วไป
ความว่องไว,0,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),คุณลักษณะเชิงนามธรรม
เพลงรำซิมารำ,0,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงถึงคุณค่าทางศิลปะและอารมณ์
นักษัตร,0,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),แม้เฉพาะ แต่ใช้บ่อยในบริบทวัฒนธรรมไทย
พระพุทธรูป,0,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำที่ปรากฏถี่ในบริบททางศาสนาและวัฒนธรรม
หญิงสาว,1,คำที่มีความหมายกว้าง (Umbrella Terms),คำทั่วไปสำหรับกลุ่มประชากร
สร้างสรรค์,1,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงคุณค่าเชิงความคิดและนวัตกรรม
ศิลปะป้องกันตัว,1,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำเฉพาะที่เกี่ยวข้องกับการแสดงแต่ใช้บ่อย
ปราชัย,1,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำในบริบทการแข่งขันที่พบในหลายการแสดง
อาณาจักร,2,คำที่มีความหมายกว้าง (Umbrella Terms),หน่วยการเมืองทั่วไปในประวัติศาสตร์
สุรินทร์,2,คำที่มีความหมายกว้าง (Umbrella Terms),สถานที่เฉพาะ แต่เป็นชื่อทั่วไปในภูมิศาสตร์
ชุมนุม,2,คำที่มีความหมายกว้าง (Umbrella Terms),กิจกรรมทั่วไปที่ไม่เฉพาะเจาะจง
นครพนม,3,คำที่มีความหมายกว้าง (Umbrella Terms),ชื่อสถานที่ทั่วไปในภูมิภาค
ฝั่งน้ำ,0,คำที่มีความหมายกว้าง (Umbrella Terms),คำทั่วไปทางภูมิศาสตร์
ความเคารพ,3,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แนวคิดนามธรรมทางสังคมและศาสนา
พิธีกรรม,3,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำที่ใช้บ่อยในบริบทวัฒนธรรมและศาสนา
วาดภาพ,3,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),กิจกรรมศิลปะที่พบถี่ในงานวัฒนธรรม
บุคคล,3,คำที่มีความหมายกว้าง (Umbrella Terms),คำทั่วไปที่ใช้เรียกผู้คน ไม่เฉพาะเจาะจง
สัตว์น้ำ,3,คำที่มีความหมายกว้าง (Umbrella Terms),คำทั่วไปที่ครอบคลุมสิ่งมีชีวิตในน้ำ ไม่เฉพาะด้านศิลปวัฒนธรรม
ความบันเทิง,3,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แนวคิดนามธรรมเกี่ยวกับคุณค่าการรับชม
การละเล่น,0,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำที่ใช้บ่อยในบริบทวัฒนธรรมไทย แต่ไม่เฉพาะเจาะจง
พระราชพิธี,0,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำเฉพาะในบริบทไทยที่พบบ่อยจนอาจไม่ช่วยในการจำแนก
ความประทับใจ,1,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงความรู้สึกหรือคุณค่าเชิงประเมิน
มโนราห์,1,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),แม้เฉพาะเจาะจง แต่เป็นคำหลักในโดเมนนาฏศิลป์ภาคใต้ที่พบบ่อย
ศิลปหัตถกรรม,1,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำเฉพาะด้านที่ใช้บ่อยในบริบทวัฒนธรรม
สายสืบ,2,คำซ้ำซ้อน หรือ คำพ้องความหมาย (Redundant or Synonym),ไม่เกี่ยวข้องโดยตรงกับศิลปวัฒนธรรมการแสดง อาจเป็นคำผิดบริบทหรือซ้ำซ้อนในเชิงเนื้อหา
ขับไล่,2,คำซ้ำซ้อน หรือ คำพ้องความหมาย (Redundant or Synonym),คำที่อาจใช้ในหลายบริบท แต่ในที่นี้ไม่ชัดเจนว่าเกี่ยวข้องกับการแสดงอย่างไร จึงพิจารณาซ้ำซ้อนในโดเมน
สนุกสนาน,3,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงความรู้สึกหรือคุณค่าเชิงบวก
ดนตรีพื้นบ้าน,3,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำที่ใช้บ่อยในโดเมนวัฒนธรรมไทยจนไม่ช่วยในการแยกกลุ่ม
ของที่ระลึก,3,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),แม้ไม่ใช่ศิลปะการแสดงโดยตรง แต่เกี่ยวข้องกับกิจกรรมวัฒนธรรมที่พบบ่อย
สวามี,3,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำที่อาจปรากฏในบริบทการแสดงหรือพิธี แต่ใช้บ่อยจนไม่เฉพาะ
รูปแบบ,0,คำที่มีความหมายกว้าง (Umbrella Terms),คำทั่วไปที่ใช้เป็นหมวดหมู่ ไม่เฉพาะเจาะจง
ตัวต่อตัว,0,คำที่มีความหมายกว้าง (Umbrella Terms),ลักษณะทั่วไปของรูปแบบการกระทำ ไม่ชี้เฉพาะ
พลับพลา,0,คำที่มีความหมายกว้าง (Umbrella Terms),โครงสร้างหรือสถานที่ทั่วไปในบริบทวัฒนธรรม ใช้ได้หลายบริบท
ไหว้ครู,0,คำที่มีความหมายกว้าง (Umbrella Terms),กิจกรรมทั่วไปในประเพณี ไม่เฉพาะเจาะจงถึงรูปแบบการแสดง
พระเจ้าบรมวงศ์เธอกรมพระนราธิปประพันธ์พงศ์,0,คำที่มีความหมายกว้าง (Umbrella Terms),แม้เฉพาะบุคคล แต่เป็นชื่อตำแหน่งที่ใช้ในหลายบริบททางวัฒนธรรม จึงถือเป็นคำกว้างในเชิงบทบาท
สมัยลพบุรี,0,คำที่มีความหมายกว้าง (Umbrella Terms),ช่วงเวลาทางประวัติศาสตร์ที่ใช้เป็นกรอบทั่วไปในหลายหัวข้อ
การศึก,0,คำที่มีความหมายกว้าง (Umbrella Terms),กิจกรรมทั่วไปที่ไม่ชี้เฉพาะด้านศิลปะการแสดง
ศิลปวัฒนธรรม,0,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำรวมพื้นฐานในโดเมน พบบ่อยจนไม่ช่วยในการจำแนก
ความสำคัญ,1,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงคุณค่าเชิงนามธรรม ไม่ชี้เฉพาะด้านใดด้านหนึ่ง
ไทยจิตรลดา,1,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),แม้เฉพาะชื่อ แต่เป็นชื่อศิลปะการแสดงที่ใช้บ่อยในโดเมนนี้จนกลายเป็นคำพื้นฐาน
แต่งกายยืนเครื่องพระ,1,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),ลักษณะเฉพาะที่พบบ่อยในบริบทนาฏศิลป์ไทย จึงถือเป็นคำที่ใช้ซ้ำในโดเมน
อนุชา,1,คำซ้ำซ้อน หรือ คำพ้องความหมาย (Redundant or Synonym),ชื่อบุคคลที่อาจซ้ำกับตัวละครอื่นในวรรณคดี เช่น สุครีพ แต่ไม่ซ้ำโดยตรง จึงไม่จัดเป็นซ้ำ
สุครีพ,1,คำซ้ำซ้อน หรือ คำพ้องความหมาย (Redundant or Synonym),ตัวละครในรามเกียรติ์ที่มีความเฉพาะ แต่ไม่ซ้ำกับคำอื่นในกลุ่มนี้
อาชีพ,2,คำที่มีความหมายกว้าง (Umbrella Terms),คำทั่วไปที่ใช้ในหลายบริบท ไม่เฉพาะด้านศิลปะ
เถิดเทิง,2,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),ศิลปะการแสดงพื้นบ้านที่พบบ่อยในโดเมนนี้ จึงถือเป็นคำที่ใช้บ่อยเกิน
อิเหนา,2,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),ละครพื้นบ้านที่เป็นที่รู้จักทั่วไปในบริบทศิลปวัฒนธรรมไทย จึงจัดเป็นคำที่พบบ่อยเกิน
หลงใหล,3,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงอารมณ์หรือความรู้สึกส่วนตัว
ความมีน้ำใจ,3,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),คุณลักษณะเชิงนามธรรมที่เกี่ยวกับคุณค่าทางศีลธรรม
เกียรติยศ,3,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แนวคิดนามธรรมที่เกี่ยวกับสถานะและคุณค่า
ผีภู,3,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),ปรากฏการณ์ทางวัฒนธรรมที่เฉพาะเจาะจงแต่พบบ่อยในบริบทพิธีกรรมไทย จึงถือเป็นคำที่ใช้บ่อยในโดเมน
มารดา,0,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป ใช้เรียกบุคคลในครอบครัว ไม่เฉพาะเจาะจงในบริบทศิลปวัฒนธรรม
สิ่งศักดิ์สิทธิ์,0,คำที่มีความหมายกว้าง (Umbrella Terms),คำกว้าง ครอบคลุมวัตถุหรือสิ่งที่เคารพนับถือหลายประเภท
เจ้าที่เจ้าทาง,0,คำที่มีความหมายกว้าง (Umbrella Terms),คำทั่วไปสำหรับสิ่งเหนือธรรมชาติที่คุ้มครองพื้นที่ ไม่เฉพาะเจาะจง
มูลเหตุ,1,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงแนวคิดเชิงเหตุผล ไม่ใช่สิ่งจับต้องได้
ต้นรัง,0,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),แม้เฉพาะเจาะจงแต่ไม่ใช่คำที่พบบ่อยทั่วไปในโดเมน จึงไม่เข้าข่าย
กลองยาว,0,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),เครื่องดนตรีเฉพาะในนาฏศิลป์ไทย แต่เป็นคำเฉพาะ ไม่ใช่คำทั่วไปที่เกิด overuse
นายขวัญ,0,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),ตัวละครในวรรณกรรม/การแสดง ไม่ใช่คำทั่วไป
ละครชาตรี,0,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),ชื่อเรื่อง/ประเภทการแสดง ไม่ใช่คำทั่วไป
พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว,0,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),ชื่อเฉพาะของบุคคลสำคัญ ไม่ใช่คำทั่วไป
แนวความคิด,2,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงแนวคิดนามธรรม ไม่ใช่สิ่งที่จับต้องได้
ราชสำนัก,1,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำเฉพาะในบริบทประวัติศาสตร์และวัฒนธรรมไทย แต่ไม่พบบ่อยเกินจนกลายเป็น stopword
นนทก,1,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),ชื่อตัวละครในวรรณคดี ไม่ใช่คำทั่วไป
มังกรกัณฐ์,1,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),ชื่อตัวละครในวรรณคดี ไม่ใช่คำทั่วไป
เริงใจ,2,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงอารมณ์หรือความรู้สึก จึงเป็นคำนามธรรม
สำเภา,3,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),แม้เป็นชื่อเรือ แต่ในบริบทศิลปวัฒนธรรมไทยมักปรากฏในงานแสดงหรือพิธีกรรม จึงเป็นคำที่พบบ่อยในโดเมน
พระอุโบสถ,3,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),สถานที่ในวัดที่เกี่ยวข้องกับพิธีกรรม พบบ่อยในบริบทวัฒนธรรมไทย
มีแบบแผน,3,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),แสดงลักษณะทั่วไปของงานศิลปะไทย แต่ไม่ใช่คำเฉพาะที่เกิด overuse
มรกต,3,คำซ้ำซ้อน หรือ คำพ้องความหมาย (Redundant or Synonym),แม้เกี่ยวข้องกับวัตถุศักดิ์สิทธิ์ แต่ไม่ซ้ำกับคำอื่นในชุดข้อมูล
นิสัย,0,คำที่มีความหมายกว้าง (Umbrella Terms),นามธรรมทั่วไป ใช้ในหลายบริบท ไม่เฉพาะเจาะจง
ฟ้อนรำ,0,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำที่ใช้บ่อยในบริบทนาฏศิลป์ไทย ไม่ช่วยแยกความหมายเฉพาะ
ระบำ,0,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),"พ้องความหมายกับ ""ฟ้อนรำ"" และใช้ทั่วไปในโดเมนการแสดง"
เครื่องดนตรีตะวันตก,0,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),แม้เฉพาะเจาะจงแต่เป็นคำที่ใช้ซ้ำในโดเมนดนตรีและการแสดง
รูปร่าง,1,คำที่มีความหมายกว้าง (Umbrella Terms),คำทั่วไปที่ใช้บรรยายลักษณะทางกายภาพ ไม่เฉพาะเจาะจง
ผู้หญิง,1,คำที่มีความหมายกว้าง (Umbrella Terms),คำทั่วไปในหลายบริบท ไม่ชี้เฉพาะด้านศิลปวัฒนธรรม
เพลงสำเนียงลาว,1,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),แม้เฉพาะเจาะจงแต่เป็นคำที่ใช้บ่อยในงานวิจัยด้านดนตรีพื้นบ้าน
วิดน้ำ,1,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),ปรากฏในหลายงานศึกษาเกี่ยวกับพิธีกรรม จึงพบบ่อยในโดเมน
ยั่วเย้า,2,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงลักษณะการเคลื่อนไหวที่มีอารมณ์หรือเจตนา จัดเป็นคำประเมินค่า
รุ่นหลัง,2,คำซ้ำซ้อน หรือ คำพ้องความหมาย (Redundant or Synonym),อาจพ้องกับคำอื่นในเชิงเวลา แต่ไม่มีคำซ้ำในกลุ่มนี้ จึงไม่จัดเป็นซ้ำซ้อน
จังหวัด,3,คำที่มีความหมายกว้าง (Umbrella Terms),หน่วยการปกครองทั่วไป ใช้ในหลายบริบท
วรรณคดี,3,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำสำคัญและพบบ่อยในงานวิชาการด้านวัฒนธรรมไทย
พราหมณ์,3,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),ปรากฏซ้ำในงานศึกษาเกี่ยวกับศาสนาและพิธีกรรม
เจ้าเมือง,3,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),ใช้บ่อยในบริบทประวัติศาสตร์และวัฒนธรรมท้องถิ่น
อาหาร,0,คำที่มีความหมายกว้าง (Umbrella Terms),คำทั่วไปที่ใช้เป็นหมวดหมู่ในหลายบริบท
ทิศตะวันตก,0,คำที่มีความหมายกว้าง (Umbrella Terms),ทิศทางเป็นข้อมูลทั่วไปที่ไม่เฉพาะเจาะจง
พระยา,0,คำที่มีความหมายกว้าง (Umbrella Terms),คำนำหน้าทางสังคมในอดีต ใช้ได้หลายบริบท
กรุงเทพมหานคร,0,คำที่มีความหมายกว้าง (Umbrella Terms),เมืองหลวงเป็นสถานที่ทั่วไปในหมวดภูมิศาสตร์
ไทยรามัญ,0,คำที่มีความหมายกว้าง (Umbrella Terms),คำเรียกกลุ่มชาติพันธุ์อย่างกว้าง ไม่ชี้เฉพาะ
สุทธาวาส,1,คำที่มีความหมายกว้าง (Umbrella Terms),สถานที่ตั้งทางศาสนาทั่วไป
เขาอังกาศ,1,คำที่มีความหมายกว้าง (Umbrella Terms),ภูมิประเทศทั่วไป ไม่เฉพาะเจาะจง
นครราชสีมา,1,คำที่มีความหมายกว้าง (Umbrella Terms),เมืองใหญ่ในภูมิภาค ใช้เป็นข้อมูลภูมิศาสตร์ทั่วไป
แหลมมลายู,1,คำที่มีความหมายกว้าง (Umbrella Terms),ภูมิภาคทางภูมิศาสตร์ที่กว้าง
ปางลีลา,1,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงลักษณะท่าทางเชิงนามธรรมในศิลปะการแสดง
สังสรรค์,2,คำที่มีความหมายกว้าง (Umbrella Terms),กิจกรรมทั่วไปที่ใช้ในหลายบริบท
ชายแดน,2,คำที่มีความหมายกว้าง (Umbrella Terms),พื้นที่ติดต่อระหว่างประเทศ ใช้ทั่วไปในภูมิศาสตร์
บุหรงซีงอ,2,คำซ้ำซ้อน หรือ คำพ้องความหมาย (Redundant or Synonym),พ้องความหมายกับคำในกลุ่มวัฒนธรรมท้องถิ่น แต่ไม่มีคำซ้ำในกลุ่มนี้ จึงไม่ถือว่าซ้ำ
ชาวพื้นเมือง,2,คำซ้ำซ้อน หรือ คำพ้องความหมาย (Redundant or Synonym),"อาจใกล้เคียงกับ ""ชนเผ่า"" หรือ ""ชุมชนท้องถิ่น"" แต่ไม่มีคำพ้องในกลุ่มนี้"
เมืองหลวง,3,คำที่มีความหมายกว้าง (Umbrella Terms),คำทั่วไปสำหรับศูนย์กลางการปกครอง
สิริมงคล,3,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงคุณค่าเชิงสัญลักษณ์และความเชื่อ
การบรรเลง,3,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำเทคนิคที่พบบ่อยในบริบทดนตรีไทย
เพลงสากล,3,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำที่ใช้บ่อยในบริบทดนตรี ไม่เฉพาะเจาะจง
อเนก,3,คำซ้ำซ้อน หรือ คำพ้องความหมาย (Redundant or Synonym),"พ้องความหมายกับ ""หลาย"", ""นานา"" ซึ่งเป็นคำทั่วไปที่ซ้ำซ้อนในเชิงความหมาย"
พระพี่เลี้ยง,0,คำที่มีความหมายกว้าง (Umbrella Terms),บทบาททั่วไปในเรื่องเล่า ไม่เฉพาะเจาะจง
ดวงแก้ว,0,คำที่มีความหมายกว้าง (Umbrella Terms),นามธรรมที่ใช้เรียกสิ่งมีค่า ความหมายกว้าง
อ่อนช้อย,0,คำที่มีความหมายกว้าง (Umbrella Terms),ลักษณะทั่วไปของท่าทาง ไม่เฉพาะด้าน
ศักดิ์สิทธิ์,0,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงคุณค่าทางจิตวิญญาณ/ความเชื่อ
สำนึก,1,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แนวคิดนามธรรมเกี่ยวกับการรับรู้ตนเอง
การแสดงพื้นเมือง,0,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำที่ใช้บ่อยในบริบทศิลปวัฒนธรรมไทย
ระบำโบราณคดี,0,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำเฉพาะที่ซ้ำซ้อนกับแนวคิดการแสดงดั้งเดิม
สกลนคร,2,คำที่มีความหมายกว้าง (Umbrella Terms),สถานที่ทั่วไป ไม่ชี้เฉพาะด้านศิลปะ
การเดินทาง,2,คำที่มีความหมายกว้าง (Umbrella Terms),กิจกรรมทั่วไป ใช้ได้หลายบริบท
ต่อสู้,2,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงการกระทำที่มีนัยทางอารมณ์และคุณค่า
สะล้อ,2,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),เครื่องดนตรีพื้นเมืองที่พบบ่อยในหลายบริบทการแสดง
กลองสะบัดชัย,2,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),เครื่องดนตรีประจำถิ่นที่ใช้ซ้ำในหลายงาน
พระศิวะ,2,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),ตัวละครศักดิ์สิทธิ์ที่ปรากฏบ่อยในนาฏศิลป์ไทย
กรุงลงกา,2,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),สถานที่ในวรรณคดีที่ใช้ซ้ำบ่อยในหลายเรื่อง
โรงละครแห่งชาติ,2,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),สถานที่จัดแสดงที่เป็นที่รู้จักทั่วไปในโดเมน
ชาวบ้าน,3,คำที่มีความหมายกว้าง (Umbrella Terms),กลุ่มบุคคลทั่วไป ไม่เฉพาะเจาะจง
เกียรติศักดิ์ไทย,3,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แนวคิดคุณค่าทางสังคมและวัฒนธรรม
มุสลิม,3,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),กลุ่มศาสนาที่ปรากฏในหลายบริบทวัฒนธรรม
กราววีรชัยลิง,3,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),ชื่อตัวละครที่เฉพาะเจาะจงแต่ใช้บ่อยในโดเมนนาฏศิลป์
ภาษา,0,คำที่มีความหมายกว้าง (Umbrella Terms),คำทั่วไปที่ใช้ครอบหลายบริบท ไม่เฉพาะเจาะจงด้านศิลปวัฒนธรรมการแสดง
มนุษยชาติ,1,คำที่มีความหมายกว้าง (Umbrella Terms),นามธรรมทั่วไปในระดับกว้าง ไม่ชี้เฉพาะด้านใดด้านหนึ่ง
ความเข้มแข็ง,1,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงคุณลักษณะเชิงนามธรรม ไม่ใช่สิ่งที่จับต้องได้หรือเฉพาะเจาะจง
ก้อนหิน,1,คำที่มีความหมายกว้าง (Umbrella Terms),วัตถุทั่วไปที่ไม่เกี่ยวข้องโดยตรงกับแก่นสารของศิลปวัฒนธรรมการแสดง
สวยงาม,2,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงความคิดเห็นหรือคุณค่าเชิงประเมิน ไม่เฉพาะเจาะจง
ชั้นเชิง,3,คำที่มีความหมายกว้าง (Umbrella Terms),คำนามธรรมที่ใช้ได้หลายบริบท ไม่เฉพาะเจาะจงต่อการแสดง
ภูมิปัญญา,3,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แนวคิดนามธรรมที่เกี่ยวกับคุณค่าทางปัญญา ไม่ใช่สิ่งที่จับต้องได้
โบราณสถาน,3,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำที่เกี่ยวข้องกับวัฒนธรรม แต่พบบ่อยจนอาจไม่ช่วยในการจำแนกเฉพาะด้านการแสดง
