model,group,coherence,size
Qwen,เครื่องดนตรีและอุปกรณ์ประกอบ,0.7811394333839417,3
Qwen,เทพ เทวดา และสิ่งศักดิ์สิทธิ์,0.3864200711250305,10
Qwen,ธรรมชาติและสิ่งแวดล้อม,0.5728736519813538,5
Qwen,กลุ่มชนและเชื้อชาติ,0.3393186330795288,5
Qwen,อาวุธและของวิเศษ,0.28070640563964844,4
Qwen,สงครามและการต่อสู้,0.20061634480953217,4
Qwen,การทำมาหากินและหัตถกรรม,0.39963123202323914,6
Qwen,วัตถุและของมีค่า,0.374721497297287,4
Qwen,การเดินทางและสถานที่,0.4098486304283142,6
Qwen,วานรและทหารเอก,0.3148772120475769,5
Qwen,ราชสำนักและขุนนาง,0.4567033350467682,4
Qwen,กษัตริย์และตัวละครหลัก,0.4543045163154602,7
Qwen,นาฏศิลป์และละครรำ,0.31144025921821594,4
Qwen,เมืองและโบราณสถาน,0.337419331073761,6
DeepSeek,ฉากและเหตุการณ์สำคัญ,0.38383492827415466,6
DeepSeek,ลีลาและการเคลื่อนไหว,0.3181913495063782,19
DeepSeek,ตัวละครฝ่ายหญิงและบริวาร,0.29564839601516724,23
DeepSeek,ดนตรีและบทเพลง,0.34633928537368774,27
DeepSeek,กลุ่มชนและเชื้อชาติ,0.38089853525161743,30
DeepSeek,ราชสำนักและขุนนาง,0.4257720708847046,19
DeepSeek,ยักษ์และอสูร,0.3238029181957245,28
DeepSeek,คุณธรรมและความสัมพันธ์,0.36378419399261475,24
DeepSeek,นาฏศิลป์และละครรำ,0.422995924949646,25
DeepSeek,วานรและทหารเอก,0.3362686038017273,9
DeepSeek,เมืองและโบราณสถาน,0.3406829237937927,24
DeepSeek,เทพ เทวดา และสิ่งศักดิ์สิทธิ์,0.3820609152317047,22
DeepSeek,เครื่องดนตรีและอุปกรณ์ประกอบ,0.3523044288158417,22
DeepSeek,สีและรูปลักษณ์,0.2751317620277405,9
DeepSeek,สันทนาการและการละเล่น,0.30845215916633606,16
DeepSeek,กษัตริย์และตัวละครหลัก,0.3385763168334961,17
DeepSeek,ธรรมเนียมและเครื่องยศ,0.25519809126853943,7
DeepSeek,วัตถุและของมีค่า,0.3313242495059967,12
DeepSeek,ธรรมชาติและสิ่งแวดล้อม,0.36186423897743225,25
DeepSeek,เทคนิคและฉาก,0.28932374715805054,4
DeepSeek,สงครามและการต่อสู้,0.34119728207588196,18
DeepSeek,อาวุธและของวิเศษ,0.3415904939174652,13
DeepSeek,การทำมาหากินและหัตถกรรม,0.3681667149066925,22
DeepSeek,อารมณ์และสภาวะ,0.3148236870765686,22
DeepSeek,พิธีการและเทศกาล,0.3607720732688904,16
DeepSeek,มรดกทางวัฒนธรรม,0.32442736625671387,17
DeepSeek,พระมหากษัตริย์และราชวงศ์,0.4132896363735199,12
DeepSeek,การเดินทางและสถานที่,0.3664117157459259,16
DeepSeek,บุคลากรและบทบาท,0.39154568314552307,4
DeepSeek,ความเชื่อและค่านิยม,0.3302314877510071,17
DeepSeek,เวทมนตร์และอุบาย,0.3278360962867737,12
DeepSeek,วัฒนธรรมและภาษา,0.29782727360725403,8
DeepSeek,ยุคสมัยและอาณาจักร,0.40764710307121277,8
Gemini,ฉากและเหตุการณ์สำคัญ,0.334914892911911,23
Gemini,อารมณ์และสภาวะ,0.3115348219871521,16
Gemini,วานรและทหารเอก,0.2938360571861267,12
Gemini,ตัวละครฝ่ายหญิงและบริวาร,0.3240332007408142,19
Gemini,ดนตรีและบทเพลง,0.3975360691547394,31
Gemini,วัฒนธรรมและภาษา,0.29298892617225647,7
Gemini,ยักษ์และอสูร,0.31032848358154297,23
Gemini,นาฏศิลป์และละครรำ,0.4110035002231598,24
Gemini,กษัตริย์และตัวละครหลัก,0.36386871337890625,21
Gemini,กลุ่มชนและเชื้อชาติ,0.3607484698295593,27
Gemini,เทพ เทวดา และสิ่งศักดิ์สิทธิ์,0.4020985960960388,25
Gemini,พิธีการและเทศกาล,0.33698856830596924,16
Gemini,คุณธรรมและความสัมพันธ์,0.3378065228462219,26
Gemini,สันทนาการและการละเล่น,0.34152111411094666,8
Gemini,การทำมาหากินและหัตถกรรม,0.360508531332016,27
Gemini,เมืองและโบราณสถาน,0.35462233424186707,25
Gemini,วัตถุและของมีค่า,0.3196178376674652,17
Gemini,ธรรมชาติและสิ่งแวดล้อม,0.35689979791641235,31
Gemini,เทคนิคและฉาก,0.19758886098861694,4
Gemini,สงครามและการต่อสู้,0.37420904636383057,22
Gemini,สีและรูปลักษณ์,0.30567798018455505,9
Gemini,อาวุธและของวิเศษ,0.34247028827667236,14
Gemini,ราชสำนักและขุนนาง,0.42160654067993164,12
Gemini,เวทมนตร์และอุบาย,0.37348681688308716,12
Gemini,มรดกทางวัฒนธรรม,0.30980199575424194,16
Gemini,พระมหากษัตริย์และราชวงศ์,0.5054473280906677,10
Gemini,บุคลากรและบทบาท,0.3777911365032196,5
Gemini,การเดินทางและสถานที่,0.33679473400115967,22
Gemini,ธรรมเนียมและเครื่องยศ,0.2918146252632141,10
Gemini,ความเชื่อและค่านิยม,0.3448884189128876,15
Gemini,เครื่องดนตรีและอุปกรณ์ประกอบ,0.4231935441493988,14
Gemini,ลีลาและการเคลื่อนไหว,0.27294760942459106,18
Gemini,ยุคสมัยและอาณาจักร,0.4209810495376587,9
