word,cluster_label,cluster_size
ไส้กะลา,0,265
มารดา,0,265
มรกต,3,214
พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว,0,265
ละครชาตรี,0,265
พระอุโบสถ,3,214
หล่อสำริด,2,198
ราชสำนัก,1,223
นนทก,1,223
มังกรกัณฐ์,1,223
เพลงสำเนียงลาว,1,223
ยั่วเย้า,2,198
รูปร่าง,1,223
ฮินดู,1,223
ฟ้อนรำ,0,265
วรรณคดี,3,214
พราหมณ์,3,214
ผู้หญิง,1,223
ระบำ,0,265
จังหวัด,3,214
วิดน้ำ,1,223
รับอาสา,1,223
เจ้าเมือง,3,214
อสูร,2,198
เพทาย,3,214
เครื่องดนตรีตะวันตก,0,265
นิสัย,0,265
สังข์ทอง,0,265
รุ่นหลัง,2,198
เทพบุตร,0,265
การบรรเลง,3,214
เพลงสากล,3,214
สังสรรค์,2,198
บุหรงซีงอ,2,198
สุทธาวาส,1,223
อาหาร,0,265
ทิศตะวันตก,0,265
ปางลีลา,1,223
เขาอังกาศ,1,223
อเนก,3,214
พระยา,0,265
กรุงเทพมหานคร,0,265
ไทยรามัญ,0,265
เมืองหลวง,3,214
ชาวพื้นเมือง,2,198
จิตรกรรม,1,223
สิริมงคล,3,214
นครราชสีมา,1,223
ชายแดน,2,198
แหลมมลายู,1,223
พระพี่เลี้ยง,0,265
ดวงแก้ว,0,265
กราววีรชัยลิง,3,214
อ่อนช้อย,0,265
สะล้อ,2,198
สกลนคร,2,198
สำนึก,1,223
กลองสะบัดชัย,2,198
มุสลิม,3,214
ศักดิ์สิทธิ์,0,265
การแสดงพื้นเมือง,0,265
ชาวบ้าน,3,214
พระศิวะ,2,198
กรุงลงกา,2,198
ต่อสู้,2,198
ทับหลัง,0,265
ระบำโบราณคดี,0,265
เกียรติศักดิ์ไทย,3,214
โรงละครแห่งชาติ,2,198
การเดินทาง,2,198
ทศกัณฐ์,0,265
โบราณสถาน,3,214
เพลงดวงจันทร์ขวัญฟ้า,2,198
หอกโมกขศักดิ์,2,198
รูปทอง,0,265
พระจันทร์,0,265
นางสีดา,0,265
ผ้าไหม,3,214
พระลาน,0,265
เจ้าดารารัศมี,0,265
พระราชวังบวรสถานมงคล,0,265
กระทุ้ง,2,198
ซุกซน,2,198
ความสัมพันธ์,1,223
ปารวตี,2,198
สมมุติเทพ,0,265
อุณรุท,1,223
ละคร,3,214
บุรุษ,2,198
หางนกยูง,0,265
ค้าขาย,3,214
ความร่มเย็น,3,214
วัฒนธรรม,0,265
ผู้แสดง,3,214
เสนียดจัญไร,2,198
กิริยาอาการ,2,198
ช่อดอกไม้,3,214
ชาติพันธุ์,1,223
การแต่งกาย,1,223
การแปร,1,223
ความหลากหลาย,0,265
พระบรมราชชนนีพับปีหลวง,0,265
โคมเวียน,1,223
นายแก้ว,0,265
พระตำหนัก,0,265
พระลอ,0,265
พระนารายณ์,0,265
ศูรปนขา,3,214
ทิพยวิมาน,0,265
เขาไกรลาส,3,214
ลาวครั่ง,0,265
ยักษิณี,0,265
เบิกโรง,3,214
การประกอบอาชีพ,2,198
ประเทศ,1,223
การร่อนแร่,3,214
แตกทัพ,0,265
นาฏศิลป์พื้นบ้าน,1,223
ความงาม,1,223
ร่มเย็น,2,198
พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว,0,265
สะเดาะเคราะห์,3,214
วสันตฤดู,0,265
เมืองขีดขิน,2,198
เบญกาย,0,265
เพลงเร็ว,3,214
ดำรงตำแหน่ง,0,265
ท้าวสัทธาสูร,0,265
บุปเพสันนิวาส,1,223
พระพาย,0,265
กะลา,2,198
อินทรชิต,1,223
ดินดาล,0,265
เครื่องดนตรี,3,214
ขนเพชร,3,214
อันหนึ่งอันเดียว,0,265
มวยไทย,3,214
ร้ายกาจ,2,198
ความชำนาญ,2,198
จับระบำ,1,223
พระราม,2,198
การุณราช,0,265
พุทธศตวรรษ,3,214
แสงจันทร์,0,265
ขั้นตอน,0,265
เทือกเขาภูพาน,0,265
แม่ฮ่องสอน,1,223
ความตาย,1,223
ทับทิม,0,265
หมากกั๊บแก๊บ,2,198
ท่าทาง,2,198
วิรุญมุข,1,223
เจ้าเซ็น,0,265
ภาชนะดินเผา,1,223
สิบแปดมงกุฎ,0,265
ข้าหลวง,3,214
ไม้สั้น,0,265
ไทยจักรี,2,198
ปัดเป่า,1,223
ศุภลักษณ์,1,223
เพลงชำนาญ,2,198
แควน้อย,1,223
พระไวย,2,198
สากตำข้าว,3,214
พระแพง,0,265
ธงไทย,2,198
พระคเณศ,1,223
นางโรย,3,214
ละครพันทาง,3,214
อุษา,1,223
ชาวเหนือ,0,265
พญาทูษณ์,1,223
ยูเนสโก,2,198
สมัยทวารวดี,0,265
รำคู่,3,214
ไทยศิวาลัย,3,214
พญาขร,2,198
การปั้น,3,214
ละครนอก,0,265
เครื่องดนตรีพื้นบ้าน,0,265
เพลงยอดชายใจหาญ,1,223
อีสาน,2,198
อุปกรณ์,3,214
พระแม่คงคา,0,265
อิทธิพล,2,198
พี่น้อง,3,214
พระอุมา,2,198
สมัยโบราณ,3,214
ไทยจีน,3,214
ปัตตานี,3,214
ผู้มีพระคุณ,0,265
บริวาร,1,223
กุณฑล,1,223
พระสังข์,0,265
น้องชาย,3,214
กระทบไม้,3,214
มเหสี,2,198
เพลงชาวไทย,1,223
ตารีกีปัส,2,198
งานประติมากรรม,3,214
ทัพหน้า,0,265
ฟาดฟัน,2,198
เต้นสาก,3,214
การตีกลอง,0,265
นางรื่น,1,223
ย่านาง,0,265
ช้างเอราวัณ,2,198
สมรภูมิ,3,214
ลำเพลิน,2,198
ฟันปลา,2,198
เมืองชมพู,0,265
พิธีทางศาสนา,0,265
หล่อเลี้ยง,3,214
ล้านนา,3,214
อวตาร,3,214
เทวดา,0,265
ตารี,3,214
กองไฟ,3,214
ปราสาทพนมรุ้ง,2,198
สิ้นชีวิต,2,198
เพลงลาวคำหอม,3,214
เครื่องประกอบจังหวะ,0,265
พระพรหม,0,265
คำบอกเล่า,3,214
ทอผ้า,3,214
พลลิง,0,265
พระสวามี,2,198
กลยุทธ,2,198
แม่น้ำโขง,1,223
ไพฑูรย์,2,198
ลอยน้ำ,3,214
หน้าบัน,1,223
วานรินทร์,0,265
การฟ้อนรำ,3,214
ไฟไหม้,2,198
ออกรบ,0,265
ขี่ม้า,2,198
น้ำมันยาง,3,214
ฉลองพระองค์,0,265
สมัยสุโขทัย,1,223
พระอินทร์,0,265
การต่อสู้,2,198
พระนิพนธ์,1,223
ดาวดึงส์,0,265
กลางคืน,0,265
เพลงฟ้อนดวงดอกไม้,3,214
ชาวภูไท,0,265
องคต,1,223
ลาวเวียง,0,265
พละกำลัง,1,223
ละครเสภา,3,214
มวยโบราณ,0,265
ลิลิตพระลอ,1,223
อยุธยา,3,214
หน่อไม้,0,265
รำมาตรฐาน,2,198
จองถนน,2,198
ทหารเอก,2,198
นางพญาคำปิน,2,198
ท้าวพิชัยพิษณุกร,0,265
เพลงดวงจันทร์วันเพ็ญ,3,214
วัตถุดิบ,1,223
ความภาคภูมิใจ,1,223
นิ้วเพชร,2,198
ขีดขิน,0,265
พื้นบ้านภาคใต้,3,214
กิจกรรม,3,214
พิเภก,2,198
ไทยดุสิต,2,198
การดีด,1,223
บิดา,0,265
ขุนแผน,0,265
รัชฎา,2,198
ท้าวลัสเตียน,3,214
พระอิศวร,0,265
เขี้ยวแก้ว,0,265
ตะเขิ่ง,2,198
ภาคกลาง,3,214
ขอขมา,3,214
ภาคตะวันออกเฉียงเหนือ,0,265
มลายู,3,214
ไทยทรงดำ,2,198
มุกดาหาร,2,198
ละครใน,3,214
ฤาษี,0,265
เพลงมอญดูดาว,2,198
เครื่องแต่งกาย,2,198
บุษราคัม,3,214
บูชายัญ,2,198
ข้าวเหนียว,2,198
สระอโนดาต,2,198
สุพรรณมัจฉา,2,198
พัดเรนัง,2,198
ดนตรี,0,265
บินหนี,1,223
ภาคอีสาน,2,198
แม่บท,1,223
ข่ายเหล็ก,0,265
ฝากตัว,0,265
ความสวยงาม,1,223
การนุ่งห่ม,2,198
นางใน,1,223
ฝ่ามือ,0,265
แม่ท่า,2,198
ขันดอก,0,265
เพลงหน้าพาทย์,3,214
ภารตนาฏยัม,2,198
กรุงรัตนโกสินทร์,0,265
กาฬสินธุ์,2,198
เพลงบูชานักรบ,0,265
มัยราพณ์,2,198
เพลงฝรั่งรำเท้า,1,223
ภาพจิตรกรรมฝาผนัง,1,223
เครื่องดนตรีพื้นเมือง,0,265
ปูนปั้น,1,223
รัวฉิ่ง,2,198
นครปฐม,1,223
สำมนักขา,0,265
จัดทัพ,2,198
ลำตังหวาย,2,198
สัทธาสูร,0,265
เกษตรกรรม,3,214
หลงกล,2,198
หลักราชการ,0,265
เพลงฉิ่ง,1,223
พระเพื่อน,2,198
พลายชุมพล,2,198
เพลงดอกไม้ของชาติ,0,265
ประชิดตัว,2,198
พระเมรุ,1,223
ไทยเรือนต้น,0,265
ชุมพร,2,198
นางอัปสราบายน,3,214
ศรพาลจันทร์,2,198
แสงอาทิตย์,0,265
กลางอากาศ,3,214
ต้นลีลาวดี,0,265
หนังใหญ่,3,214
มหาสมุทร,1,223
กินรี,1,223
การไถ,3,214
ปกป้อง,3,214
อาณาประชาราษฎร์,3,214
ระบำมาตรฐาน,0,265
เกราะลอ,1,223
เมขลา,1,223
บุรีรัมย์,1,223
สีแดง,1,223
ฉุยฉาย,3,214
เทพเจ้า,2,198
รำลึก,2,198
ทะเล,3,214
กินเนสส์บุ๊ค,1,223
พระญาติ,0,265
ขัดตาทัพ,2,198
ถอยทัพ,2,198
ความสง่างาม,1,223
ใบชา,0,265
ตะกร้อ,0,265
อาสา,0,265
ตีลังกา,1,223
บรรพบุรุษ,3,214
ดอกไม้,1,223
การละเล่นพื้นเมือง,2,198
โปงลาง,0,265
ชาวนา,0,265
วิชนี,0,265
จำกาย,0,265
พรหมาสตร์,1,223
นางสวาหะ,2,198
ลายเส้น,2,198
สงคราม,0,265
สีน้ำเงิน,1,223
ความห่วงใย,1,223
นาฏศิลป์,3,214
วันทอง,0,265
นาฏศิลป์อินเดีย,3,214
แว่นแก้วสุรกานต์,1,223
อุปราช,2,198
ดอกไม้เงิน,3,214
ภาคเหนือ,3,214
ผูกพัน,1,223
เพลงคืนเดือนหงาย,3,214
แปลงกาย,0,265
ฤดูฝน,0,265
เทพนิยาย,0,265
โอรส,2,198
เขาไกลลาศ,1,223
ไทยอมรินทร์,2,198
พวงมาลัย,0,265
กาญจนบุรี,2,198
โดดเด่น,2,198
เอกลักษณ์,1,223
มารีศ,1,223
ผู้ครองนคร,0,265
ไพร่พล,1,223
อารยธรรม,2,198
อินโดนีเซีย,0,265
ฤดูกาล,3,214
ปิดหน้า,0,265
ลูกไม้,0,265
ที่รัก,0,265
เล่นน้ำ,2,198
หลบหนี,3,214
โปรตุเกส,3,214
ภาพจำหลัก,0,265
การเก็บใบชา,0,265
บุตรชาย,1,223
ศิลปินแห่งชาติ,0,265
วังหน้า,2,198
เจ้าพระยา,0,265
กากนาสูร,1,223
ความเชื่อ,0,265
รจนา,1,223
กวางทอง,0,265
นิลพาหุ,1,223
พระเจ้าชัยวรมัน,2,198
สืบทอด,3,214
สภาพอากาศ,0,265
แม่น้ำ,3,214
ประเพณี,0,265
การยุติ,3,214
ความรื่นเริง,1,223
ขั้นพื้นฐาน,1,223
ภาคใต้,3,214
กรมศิลปากร,3,214
ความกตัญญู,3,214
เดินอากาศ,1,223
หายตัว,0,265
บูชาครู,0,265
ผึ่งแดด,2,198
เจ้าเงาะ,0,265
แรงบันดาลใจ,3,214
กาลสูร,3,214
ลอยกระทง,1,223
การขึ้นลอย,0,265
ตัวพระ,0,265
วิรุญจำบัง,3,214
ปราสาทเมืองสิงห์,2,198
ปราสาทหินพิมาย,0,265
การเกี้ยวพาราสี,1,223
ไทยบรมพิมาน,2,198
ไม้ยาว,0,265
วานร,1,223
โกเมน,1,223
กรับพวง,3,214
ไทยจักรพรรดิ์,2,198
พระชายา,1,223
สมควร,1,223
จีนรัว,0,265
มณีพิชัย,2,198
แมนสรวง,0,265
นานาชาติ,1,223
นาฏกรรม,3,214
สวามิภักดิ์,2,198
พาลี,3,214
นครศรีธรรมราช,2,198
ผางประทีป,0,265
ฟองน้ำ,1,223
โอดิสสี,2,198
ความรัก,1,223
กุมภกรรณ,2,198
ความเรียบง่าย,1,223
พญาผานอง,0,265
ละครดึกดำบรรพ์,0,265
เขาสัตภัณฑ์,3,214
ไทภูเขา,0,265
ชามพูวราช,0,265
พระลักษมณ์,1,223
สังหาร,0,265
ข่ายเพชร,0,265
รามสูร,2,198
ปราสาทพระขรรค์,2,198
รำเดี่ยว,0,265
กระบวนท่ารำ,0,265
แม่ไม้มวย,0,265
ยอพระกลิ่น,2,198
งานรื่นเริง,2,198
หนุมาน,1,223
กลุ่มชน,2,198
รำพัด,0,265
ค่านิยม,1,223
จุดไฟ,1,223
รุทการ,3,214
ดินแดน,0,265
เชิงมวย,0,265
เชียงใหม่,3,214
แก้แค้น,1,223
ชายหนุ่ม,2,198
ความคล่องแคล่ว,1,223
เพลงอัตราจังหวะสองชั้น,1,223
ศิลปกรรม,2,198
น้อยใจยา,2,198
ศิลปะ,3,214
พระราชธิดา,2,198
ประติมากรรม,3,214
ภาษามลายู,3,214
ย่องหงิด,3,214
