"ลำดับ","ชื่อชุดการแสดง","ผลการตัดคำ"
"12","ผืนไท","เป็น | การแสดง | ที่ | มี | แนวคิด | มาจาก | ศิลปะการแสดง | ของ | ภูมิภาค | ต่าง ๆ |   | ของ | ไทย | สู่ | การ | สร้างสรรค์ | ผลงาน | บน | พื้นฐาน | ความงดงาม | ของ | นาฏศิลป์ | ไทย | และ | ศิลปะการแสดง | พื้นบ้าน |   | ผสมผสาน | การ | ออกแบบ | การเคลื่อนไหว | ร่างกาย |   | และ | การ | ใช้ | พื้นที่ | เวที | ที่ | มี | ความหลากหลาย |   | อุปกรณ์ | สำคัญ | ใน | การแสดง | คือ |   | ผืน | ผ้า | สื่อ | ถึง | สัญลักษณ์ | ของ | ชาติ | และ | พระมหากษัตริย์ | ไทย |   | ปก | แผ่ | ไพศาล | ให้ | ความ | สุขสงบ | ร่มเย็น | แก่ | อาณาประชาราษฎร์ | ทุก | เชื้อชาติ | ที่ | รวมกัน | เป็น | เอกลักษณ์ |   | ก่อ | ให้ | เกิด | มรดก | ศิลปวัฒนธรรม | อัน | วิจิตร | ภายใต้ | ผืน | ไตรรงค์ | ธงไทย | ที่ | สง่างาม"
"13","พนาธาร","เป็น | การแสดง | สร้างสรรค์ | ที่ | ได้ | แนวคิด | มาจาก | ความสำคัญ |   | ความตระหนัก | รู้ | คุณค่า | ของ | ป่า | และ | น้ำ |   | ที่ | ผูกพัน | กับ | วิถีชีวิต | และ | แผ่นดิน | เกิด |   | การแสดง | ชุด | นี้ | นำ | พื้นฐาน | นาฏศิลป์ไทย | ประกอบ | กับ | การเคลื่อนไหว | ร่างกาย | ที่ | เลียนแบบ | การเคลื่อนไหว | ของ | ธรรมชาติ |   | ทั้ง | ป่า |   | และ | น้ำ"
"14","ฟ้อนขันดอก","เป็น | ศิลปะการแสดง | ภาคเหนือ | ที่ | ถือ | ขันดอก | หรือ | พาน | ประกอบ | การแสดง |   | โดย | ภายใน | พาน | จะ | ใส่ | ดอกไม้ | นานา | ชนิด| ที่ | มีความหมาย | มงคล |   | การแสดง | ประกอบด้วย | กระบวนท่ารำ | ของ | ล้านนา | ผสมผสาน | การ | โปรย | ดอกไม้ | เพื่อ | ความ | เป็น | สิริมงคล"
"15","ฟ้อนลีลาวดี","เป็น | การแสดง | ที่ | ได้ | แรงบันดาลใจ | มาจาก | ต้นลีลาวดี |   | ต้นไม้ | ที่ | มีอายุ | เกือบ |   | 100 |   | ปี |   | มี | ความงดงาม |   | ร่มเย็น |   | และ | มี | ลักษณะพิเศษ | ที่ | น่าสนใจ | แก่ | ผู้พบเห็น | อยู่ | บริเวณ | หน้า | พระอุโบสถ | บวร | สถาน | สุทธาวาส | ( | วัด | พระ | แก้ว | วังหน้า | ) |   | สู่ | แนวคิด | การ | สร้างสรรค์ | ท่า | รำ |   | ให้ | มี | ความงดงาม | ตาม | ท่วงทำนอง | ของ | ดนตรี"
"16","ระบำม้า","เป็น | การแสดง | ที่ | นาง | ล | มุ | ล |   | ยมะ | คุปต์ |   | ผู้เชี่ยวชาญ | การสอน | นาฏศิลป์ | ไทย | คิด | ท่า | รำ | ขึ้น | ประกอบ | ใน | ละคร | เรื่อง | ไชย | เชษฐ์ |   | ตอน | นารายณ์ | ธิเบศร์ | เที่ยว | ป่า |   | ต่อมา | ได้ | นำมา | แสดง | ใน | ละคร | เรื่อง | รถ | เสน |   | ซึ่ง | กล่าวถึง |   | รถ | เสน | ถูก | นาง | ยักษ์ | แปลง | แกล้ง | ใช้ | ให้ | ถือ | สาร | ไป | ยัง | คช | บุรี | เมือง | ยักษ์ |   | ก่อน | ออกเดินทาง | รถ | เสน | ไป | คัดเลือก | จับ | ม้า | ที่ | ดี | ที่สุด |   | เพื่อ | ใช้ | เป็น | พาหนะ | ใน | การเดินทาง"
"17","ระบำอยุธยา","เป็น | ระบำ | ที่ | ประดิษฐ์ | ขึ้น | ใหม่ |   | เมื่อ | ปี |   | พ.ศ. |   | 2529 |   | จาก | ความคิดริเริ่ม |   | ของ | นาย | เสรี หวังในธรรม |   | ผู้เชี่ยวชาญ พิเศษ | ด้าน | สังคีตศิลป์ | และ | ศิลปินแห่งชาติ |   | โดย | มี | วัตถุประสงค์ | ที่จะ | จัด | เป็น | ระบำโบราณคดี | อีก | ชุด | หนึ่ง |   | นาง | เฉลย ศุขะวณิช |   | ผู้เชี่ยวชาญ | การสอน | นาฏศิลป์ไทย | และ | ศิลปินแห่งชาติ |   | เป็น | ผู้ประดิษฐ์ | ลีลา | ท่า | รำ |   | จัดแสดง | เป็น | ครั้งแรก | ใน | งาน | ศิลปหัตถกรรม |   | ประจำปี |   | พ.ศ. |   | 2529"
"18","รับขวัญข้าว","เป็น | การแสดง | ที่ | ได้ | แนวคิด | มาจาก | เรื่องราว | พิธีกรรม | ใน | การ |ทำ | ขวัญข้าว |   | ที่ | สะท้อน | ให้ | เห็น | ถึง | ความกตัญญู | กตเวที | ต่อ | ผู้มีพระคุณ | ด้วย | ความ | เคารพบูชา |   | ความสามัคคี |   | ความมีน้ำใจ |   | ซึ่ง | วัฒนธรรม | เหล่านี้ | เป็นที่ | แพร่หลาย | ใน | อดีต |   | จาก | แนวคิด | ดังกล่าว | นำ | สู่ | รูปแบบ | นาฏศิลป์ | สร้างสรรค์ | เพื่อให้ | ชน | รุ่นหลัง | เห็น | ถึง | ความสำคัญ | ของ | ผืน | แผ่นดิน | ที่ | ให้ | ความสมบูรณ์ |   | ก่อให้เกิด | พืชพรรณ | ธัญญาหาร | หล่อเลี้ยง | ชีวิต | มนุษย์ |   | พระคุณ | ของ |   | “ | ข้าว | ” |   | อาหาร | หลัก | ของ | ชาติ | ไทย |   | ตลอดจน | จารีตประเพณี |   | วัฒนธรรม |   | อัน | แสดง | ให้ | เห็น | ถึง | ภูมิปัญญา | อัน | ทรงคุณค่า | ที่ | ควร | สืบสาน"
"19","ล่องใต้","เป็น | การแสดง | ที่ | ได้ | แนวคิด | มาจาก | ศิลปวัฒนธรรม | และ | วิถีชีวิต | ความเป็นอยู่ | ของ | ประชากร | ทาง | ภาคใต้ | อัน | มี | เอกลักษณ์ | เฉพาะที่ | โดดเด่น |   | นำ | สู่ | การ | สร้างสรรค์ | การแสดง | สื่อ | ถึง | ประเพณี |   | วัฒนธรรม |   | วิถีชีวิต |   | ความเป็นอยู่ |   | การประกอบอาชีพ |   | โดย | การแสดง | สะท้อน | ให้ | เห็น | ถึง | บรรยากาศ | แห่ง | ความสุข |   | ความ | สนุกสนาน | ของ | ดินแดน | ภาคใต้"
"20","ลายเกราะ","เป็น | การแสดง | ที่ | ได้ | แนวคิด | มาจาก |   | เกราะลอ |   | หรือ |   | ขอลอ |   | เครื่องดนตรีพื้นบ้าน | ชนิด | หนึ่ง | ของ | ภาคอีสาน |   | นำเสนอ | ผ่าน | ท่า | รำ | พื้นบ้าน | อีสาน | ที่ | มี | ความงดงาม |   | ผสมผสาน | ลีลา | ใน | การ | ตี | เกราะ | สนุกสนาน |   | เร้าใจ | ด้วย | ท่วงทำนอง | ของ | ดนตรีพื้นบ้าน | อีสาน"
"21","ลีลาหมากแก๊ป","เป็น | การแสดง | ที่ | ได้ | แนวคิด | มาจาก | เครื่อง | ดนตรีพื้นบ้าน | อีสาน | ประเภท | เครื่อง | ตี | ประกอบ | จังหวะ |   | มี | ลักษณะ | เป็น | ไม้สั้น | และ | ไม้ยาว |   | เรียก | ว่า |   | “ | หมากกั๊บแก๊บ | ” |   | นำมา | เป็น | อุปกรณ์ | สำคัญ | ใน | การแสดง |   | ผสมผสาน | วัฒนธรรม | ท้องถิ่น | ด้าน | ดนตรี | และ | นาฏศิลป์พื้นบ้าน | อีสาน |   | เพื่อ | ถ่ายทอด | ถึงชีวิต | ความเป็นอยู่ | ของ | หญิงสาว | ชาวบ้าน | หลัง | เสร็จ | งาน |   | ลักษณะ | การแสดง | มี | ความ | สนุกสนาน |   | สอดแทรก | เอกลักษณ์ | ภูมิปัญญา | วัฒนธรรม |   | อัน | ทรงคุณค่า | ของ | ชาว | อีสาน"
"22","วิรัชสราญรมย์ ","เป็น | การแสดง | ที่ | ได้ | แนวคิด | มาจาก | ค่านิยม | การแต่งกาย | ของ | บุรุษ | และ | สตรี | ใน | สมัย | รัชกาล | ที่ |   | 6 |   | โดย | ได้รับ | อิทธิพล | มาจาก | ชาติ | ตะวันตก |   | นำเสนอ | ท่า | ทางการ | เต้น | และ | รำ | ประกอบ | ท่วงทำนอง | เพลงไทย | และ | เพลงสากล |   | อัน | แสดงให้เห็น | ถึง | การ | ผสมผสาน | ของ | สอง | วัฒนธรรม"
"23","สยามภารตะ ","เป็น | การแสดง | ที่ | ผสมผสาน | ระหว่าง | นาฏศิลป์อินเดีย | และ | นาฏศิลป์ไทย |   | การแสดง | สื่อ | ถึง | เรื่องราว | การ | ถ่ายทอด | อารยธรรม | และ | อิทธิพล | ทางวัฒนธรรม | ของ | อินเดีย | สู่ | ดินแดน | สยาม |   | โดย | ผ่าน | ระยะเวลา | การหลอมรวม |   | ตลอดจน | ผสมผสาน | เป็น | รูปแบบ | นาฏศิลป์ไทย | ที่ | งดงาม |   | ใช้ | กระบวนท่ารำ | การเคลื่อนไหว | แบบ | นาฏศิลป์อินเดีย | ประเภท | โอดิสสี |   | ภารตนาฏยัม |   | สลับ | กับ | ท่า | รำ | ต้นแบบ | จาก | การแสดง | ราชสำนัก | ของ | ไทย"
"24","สักการะเทวราช ","เป็น | การแสดง | ที่ | ได้ | แนวคิด | มาจาก | พระราชพิธี | อินทราภิเษก |   | ใน | สมัย | อยุธยา |   | ซึ่ง | พบ | ว่า | มี | การแสดง | มหรสพ | ใน | ช่วง | ท้าย | ของ | พระราชพิธี |   | สร้างสรรค์ | เครื่องแต่งกาย | และ | เครื่องประดับ | จาก | งานประติมากรรม | และ | เครื่อง | ทรง | พระพุทธรูป | สมัย | อยุธยา |   | สร้างสรรค์ | ท่า | รำ | จาก | ภาพ | ลายเส้น | ตำรา | รำ | ต้น | กรุงรัตนโกสินทร์ |   | ผสมผสาน | ท่า | นาฏศิลป์ไทย | พื้นฐาน |   | รูปแบบ | การแสดง | แสดงถึง | การ | บูชา | และ | เทิดทูน | องค์ | พระมหากษัตริย์ | ดุจดัง | พระอินทร์"
"25","ออเจ้าชาวกรุงศรี ","เป็น | การแสดง | ที่ | ได้ | แนวคิด | มาจาก | สตรี | ใน | ราชสำนัก |   | ที่ | พร้อม | ไป | ด้วย | ความงาม |   | กิริยา | เรียบร้อย |   | การนุ่งห่ม | อาภรณ์ | เครื่องประดับ | ทรงคุณค่า | และ | การดำเนินชีวิต | ด้วย | ความ | สุนทรีย์ | ตาม | รูปแบบ | กุลสตรี |   | ด้วย | เสียงดนตรี | ที่ | ไพเราะ |   | นำ | ย้อน | วันวาน | แห่ง | ความทรงจำ"
"26","ดาบสองมือ","เป็น | ศิลปะ | การต่อสู้ | ป้องกันตัว | ของ | ไทย | แต่ | โบราณ |   | ผู้ใช้ | ดาบ | ต้อง | มี | ความชำนาญ | ใน | การ | ใช้ | ดาบ | ของ | ตน |   | ฟาดฟัน | และ | รับรอง | ป้องกัน | อาวุธ | จาก | ฝ่าย | ศัตรู |   | ด้วย | ความคล่องแคล่ว | ว่องไว"
"27","พลองไม้สั้น","เป็น | ศิลปะ | การต่อสู้ | ชนิด | หนึ่ง | ของ | ไทย | แต่ | โบราณ |   | พลอง | เป็น | อาวุธ | ยาว | ใช้ | สำหรับ | ตี | หรือ | กระทุ้ง |   | ไม้สั้น | เป็น | อาวุธ | สั้น | สวม | ทับ | แขน | ท่อน | ปลาย |   | ผู้ใช้ | ไม้สั้น | ต้อง | มี | ความว่องไว |   | มัก | เป็น | ฝ่าย | รุก | เข้า | ประชิดตัว | คู่ต่อสู้ |   | พลอง | ไม้สั้น | เป็น | การแสดง | การต่อสู้ | แบบ | ตัวต่อตัว |   | แบ่ง | เป็น |   | 2 |   | ฝ่าย |   | นิยม | แบ่ง | เป็น | ฝ่าย | สีแดง | และ | สีน้ำเงิน |   | ผู้แสดง | ต้อง | ผ่าน | การ | ฝึกหัด | ขั้นพื้นฐาน |   | จนถึง | ฝึก | ท่า | ตี | หลัก |   | ประกอบด้วย |   | การ | ตี | รุก |   | การ | ตี | รับ |   | และ | การ | ตี | ลูกไม้ |   | จน | เกิด | ความชำนาญ | สามารถ | จดจำ | กระบวนท่า | ต่อสู้ | ได้ | เป็น | อย่าง | ดี"
"28","มวยคาดเชือก","เป็น | การแสดง | ศิลปะ | การต่อสู้ | มวยไทย | สมัยโบราณ |   | โดย | การ | ใช้ | เชือก | พัน | ที่ | มือ | และ | ช่วง | ปลาย | แขน | ทั้งสอง |   | ศิลปะ | มวยไทย | คือ |   | การ | ผสมผสาน | การ | ใช้ | หมัด |   | เท้า |   | เข่า |   | ศอก |   | มี | แม่ไม้มวย | ทั้ง | ท่า | รุก | และ | ท่า | รับ | สำหรับ | ใช้ | ใน | การต่อสู้ |   | ผู้แสดง | จึง | ต้อง | ผ่าน | การ | ฝึก | เบื้องต้น | ใน | การ | ใช้ | กระบวนท่า | ให้ | คล่องแคล่ว"
"29","ระบำชาวนา","เป็น | การแสดง | ที่ | สะท้อน | ให้ | เห็น | วิถี | การประกอบอาชีพ | กสิกรรม | ของ | ชาวนา |   | ประกอบด้วย |   | การไถ |   | หว่าน |   | และ | การ | เกี่ยวข้าว | ใน | นา | ด้วย | ความสุข | ใช้ | ผู้แสดง | ชาย | และ | หญิง |   | เปรียบเสมือน | เป็น | ชาวนา"
"30","รำเถิดเทิง","เรียก | อีก | อย่างว่า | รำ | กลองยาว |   | เป็น | การแสดง | รำ | หยอกล้อ | ยั่วเย้า | ของ | ฝ่าย | ชาย | และ | ฝ่าย | หญิง |   | โดย | มี | การตีกลอง | ยาว | เป็นจังหวะ |   | ประกอบ | การแสดง | ที่ | สนุกสนาน | รื่นเริง"
"31","รำวงมาตรฐาน","เป็น | การแสดง | ที่ | ปรับปรุง | มาจาก | การ | รำโทน |   | นิยม | เป็น | การละเล่น | รื่นเริง | ประจำ | ฤดูกาล | ของ | ไทย | ภาคกลาง |   | ซึ่ง | กระบวนท่ารำ | จะ | กำหนด | ไป | ตามเพลง |   | รวม | ทั้งสิ้น | 10 |   | เพลง |   | คือ |   | เพลงงามแสงเดือน |   | เพลงชาวไทย |   | เพลงรำซิมารำ |   | เพลงคืนเดือนหงาย |   | เพลงดวงจันทร์วันเพ็ญ |   | เพลงดอกไม้ของชาติ |   | เพลงดวงจันทร์ขวัญฟ้า |   | เพลงหญิงไทยใจงาม |   | เพลงบูชานักรบ |   | และ | เพลงยอดชายใจหาญ"
"32","รำสีนวล","เป็น | ศิลปะการแสดง | ที่ | สวยงาม | ทั้ง | ท่า | รำ | และ | เพลง | ขับร้อง | ที่ | มี | ความไพเราะ |   | ลักษณะ | ท่า | รำ | และ | คำร้อง |   | หมายถึง | อิริยาบถ | ที่ | นุ่มนวล | อ่อนช้อย | ของ | กุลสตรี |   | นิยม | จัดแสดง | ใน | งาน | ทั่วไป"
"33","โนรา","เป็น | ศิลปะการแสดง | ที่ | เก่าแก่ | ของ | ชาวไทย | ภาคใต้ |   | มีแบบแผน | สืบ | ต่อกัน | มา | หลาย | ร้อย | ปี |   | ท่า | รำ | โนรา | บรรยาย | ถึง | ลักษณะ | ท่า | รำ | ของ | กินรี |   | และ | ใช้ | สำหรับ | เป็น | การรำ | บูชาครู |   | เพื่อ | ความ | สวัสดิมงคล |   | ยูเนสโก | ประกาศ | รับรอง | ขึ้นทะเบียน | เป็น | มรดกภูมิปัญญาทางวัฒนธรรม | ที่ | จับต้อง | ไม่ | ได้ | ของ | มนุษยชาติ"
"34","รองเง็ง","เป็น | การละเล่น | ของ | ชาวไทย | ทาง | ภาคใต้ |   | ที่ | ได้รับ | อิทธิพล | ของ | ชาว | ตะวันตก | โดยเฉพาะ | สเปน | และ | โปรตุเกส | ที่ | ติดต่อ | ค้าขาย | กับ | ชาว | มลายู |   | โดย | เผยแพร่ | มา | ทาง | จังหวัด | ชายแดน | ทาง | ตอน | ใต้ | ของ | ไทย |   | ผู้แสดง | ประกอบด้วย | ชาย | หญิง | รำ | เป็น | คู่ | นิยม | แสดง | ใน | งานรื่นเริง | ทั่วไป"
"35","ระบำตารีกีปัส","เป็น | การแสดง | รำพัด | ทาง | ภาคใต้ | ของ | ไทย |   | ผู้แสดง | หญิง | ถือ | พัด | ทั้ง |   | 2 |   | มือ |   | ร่ายรำ | ประกอบ | เพลง | ที่ | บรรเลง | ด้วย | เครื่องดนตรีพื้นเมือง | ภาคใต้ | ผสมผสาน | เครื่องประกอบจังหวะ | และ | เครื่องดนตรีตะวันตก | ที่ | มี | ความไพเราะ"
"36","ระบำตารีบุหงา","เป็น | ภาษามลายู |   | “ | ตารี | ” |   | แปล | ว่า |   | รำ | หรือ | ระบำ |   | “ | บุหงา | ” |   | แปล | ว่า |   | ดอกไม้ |   | ตารีบุหงา |   | จึง | หมายถึง |   | ระบำ | ดอกไม้ |   | ได้ | แนวคิด | มาจาก | ช่อดอกไม้ | ที่ | ใช้ | แทน | ของที่ระลึก | เพื่อ | มอบให้ | แขก | ที่มา | ร่วมใน | งานแต่งงาน |   | ของ | ชาวไทย | มุสลิม |   | ผู้แสดง | สวม | เครื่องแต่งกาย | แบบ | พื้นบ้านภาคใต้ | ถือ | พาน | ดอกไม้ | ประกอบ | กระบวนท่ารำ | ที่ | งดงาม"
"37","ระบำร่อนแร่","เป็น | การแสดง | ทาง | ภาคใต้ | ของ | ไทย |   | มี | ลีลา | ท่า | รำ | ที่ | สื่อ | ความ | หมายถึง | การประกอบอาชีพ | หา | แร่ | จาก | แหล่งน้ำ | ธรรมชาติ | ของ | หญิงสาว |   | เริ่ม | ด้วย | การร่อนแร่ |   | เก็บ | แร่ |   | ประกอบ | จังหวะ | ดนตรี | ที่ | สนุกสนาน | รื่นเริง | ใจ"
