ลำดับ,ชื่อชุดการแสดง,words
22,วิรัชสราญรมย์,"ตะวันตก, ทิศตะวันตก, ท่าทาง, ธงไทย, นิสัย, รัชฎา, เพลงสากล, เพลงไทย"
23,สยามภารตะ,"กระบวนท่ารำ, กองไฟ, การหลอมรวม, การไถ, ดินแดน, ธงไทย, นาฏศิลป์อินเดีย, ภารตนาฏยัม, อารยธรรม, อินเดีย, โอดิสสี"
24,สักการะเทวราช,"กรุงรัตนโกสินทร์, การรบ, งานประติมากรรม, ตำรา, นิสัย, พระพุทธรูป, พระมหากษัตริย์, พระยา, พระราชพิธี, พระราม, พระลอ, พระอินทร์, มหรสพ, ลายเส้น, สวามี, อยุธยา, อินทราภิเษก, เครื่องประดับ, เทวดา, แต่งกายยืนเครื่องพระ"
25,ออเจ้าชาวกรุงศรี,"การนุ่งห่ม, กุลสตรี, มารดา, เครื่องประดับ"
26,พลองไม้สั้น,"กระทุ้ง, กระบวนท่ารำ, การดีด, การศึก, ขั้นพื้นฐาน, ความว่องไว, จารึก, ตัวต่อตัว, ต่อสู้, ธงไทย, ประชิดตัว, ผู้แสดง, ลูกไม้, สัตว์น้ำ, สีน้ำเงิน, สีแดง, ไม้สั้น"
27,มวยคาดเชือก,"กระบวนท่ารำ, การศึก, ความคล่องแคล่ว, จารึก, ต่อสู้, ผู้แสดง, มวยโบราณ, มวยไทย, รับใช้, สมัยโบราณ, สัตว์น้ำ, แม่ไม้มวย"
28,ระบำชาวนา,"การประกอบอาชีพ, การรบ, การแปร, การไถ, ชาวนา, ผู้แสดง, สะล้อ"
29,รำเถิดเทิง,"กลองยาว, การตีกลอง, งานรื่นเริง, นางรื่น, ยั่วเย้า, หยอกล้อ, เถิดเทิง"
30,รำวงมาตรฐาน,"กระบวนท่ารำ, การรบ, งานรื่นเริง, ชาวไทย, ที่รัก, ธงไทย, ภาคกลาง, ระบำมาตรฐาน, เพลงคืนเดือนหงาย, เพลงงามแสงเดือน, เพลงชาวไทย, เพลงดวงจันทร์ขวัญฟ้า, เพลงดวงจันทร์วันเพ็ญ, เพลงดอกไม้ของชาติ, เพลงบูชานักรบ, เพลงยอดชายใจหาญ, เพลงรำซิมารำ, เพลงหญิงไทยใจงาม"
31,รำสีนวล,"การขับร้อง, กุลสตรี, สีน้ำเงิน"
32,โนรา,"การขับร้อง, การรบ, กินรี, ชาวไทย, บูชาครู, ภาคใต้, มรดกภูมิปัญญาทางวัฒนธรรม, มีแบบแผน, มโนราห์, ยูเนสโก, สวัสดิมงคล"
33,รองเง็ง,"ค้าขาย, งานรื่นเริง, ชายแดน, ชาวไทย, ตะวันตก, ท่าทาง, ธงไทย, ผู้แสดง, ภาคใต้, มลายู, โปรตุเกส"
34,ระบำตารีกีปัส,"ตะวันตก, ตารี, ตารีกีปัส, ธงไทย, ผู้แสดง, ภาคใต้, สีน้ำเงิน, เครื่องดนตรี, เครื่องดนตรีตะวันตก, เครื่องดนตรีพื้นบ้าน, เครื่องประกอบจังหวะ, เครื่องประดับ"
35,ระบำตารีบุหงา,"กระบวนท่ารำ, ของที่ระลึก, งานแต่งงาน, ชาวไทย, ช่อดอกไม้, ตารี, ตารีบุหงา, ผู้แสดง, พื้นบ้านภาคใต้, ภาคใต้, มลายู, มุสลิม, รำลึก"
36,ระบำร่อนแร่,"การประกอบอาชีพ, การรบ, การร่อนแร่, การแปร, งานรื่นเริง, ธงไทย, นางรื่น, ภาคใต้, หญิงสาว, แหล่งน้ำ"
37,กลองสะบัดชัย,"กลองสะบัดชัย, การตีกลอง, การรบ, การศึก, ขบวนแห่, ข้าศึก, ความคล่องแคล่ว, ความว่องไว, ชาวบ้าน, ท่าทาง, ธงไทย, นิมิต, พิธีทางศาสนา, ภาคเหนือ, ล้านนา, สงคราม, สีน้ำเงิน, ออกรบ, โลดโผน"
38,ฟ้อนจันทราพาฝัน,"ชาวนา, ชาวเหนือ, ผู้หญิง, ศิลปินแห่งชาติ, หญิงสาว, ออกรบ, เพลงลาวคำหอม, แสงจันทร์"
39,ฟ้อนเจิง,"ชาวบ้าน, ต่อสู้, ธงไทย, ภาคเหนือ, ล้านนา"
40,ฟ้อนดวงเดือน,"การเกี้ยวพาราสี, ชายหนุ่ม, พระนิพนธ์, สีทอง, หญิงสาว, เพลงอัตราจังหวะสองชั้น"
41,ฟ้อนที,"ชาวเหนือ, ดนตรีพื้นบ้าน, ธงไทย, ภาคเหนือ, แม่ฮ่องสอน"
42,ฟ้อนเทียน,"กลางคืน, จุดไฟ, ภาคเหนือ, หญิงสาว"
43,ฟ้อนผาง,"จุดไฟ, ชาวบ้าน, ธงไทย, ผางประทีป, ผู้แสดง, ภาคเหนือ, ภาชนะดินเผา, มารดา, ล้านนา, เอาชนะ"
44,ฟ้อนมาลัย,"กรมศิลปากร, ข้าหลวง, ความสำนึก, นางพญาคำปิน, นางฟ้า, ผู้หญิง, พญาผานอง, พระชายา, พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว, พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว, พระพาย, พระยา, ราชสำนัก, ละครพันทาง, สำนึก, อาจารย์, เจ้าดารารัศมี, เชียงใหม่, เพลงฟ้อนดวงดอกไม้, เพลงสำเนียงลาว, โรงละครแห่งชาติ"
45,ฟ้อนรัก,"จับนาง, ท้าวพิชัยพิษณุกร, นางรื่น, นางโรย, นายขวัญ, นายแก้ว, พระนิพนธ์, พระพี่เลี้ยง, พระยา, พระราม, พระลอ, พระเจ้าบรมวงศ์เธอกรมพระนราธิปประพันธ์พงศ์, พระเพื่อน, พระแพง, รำลึก, ละครพันทาง, ลิลิตพระลอ, แมนสรวง"
46,ฟ้อนเล็บ,"ต้นรัง, ธงไทย, ผู้มาเยือน, ผู้แสดง, ภาคเหนือ, สีทอง"
47,ฟ้อนสาวไหม,"ดนตรีพื้นบ้าน, ทอผ้า, ผ้าไหม, ภาคเหนือ, สะล้อ, เครื่องดนตรี, เครื่องดนตรีพื้นบ้าน, แหล่งน้ำ"
48,ระบำเก็บใบชา,"การเก็บใบชา, การเดินทาง, งานรื่นเริง, ชาวพื้นเมือง, ชาวเขา, ธงไทย, ผึ่งแดด, ผู้แสดง, ภาคเหนือ, ใบชา, ไหล่เขา"
49,กระทบสากหรือกระทบไม้,"กระทบไม้, การเกี้ยวพาราสี, ชาวไทย, ธงไทย, นิสัย, พระจันทร์, ภาคอีสาน, สากตำข้าว, สุรินทร์, อีสาน, เครื่องประกอบจังหวะ, เครื่องประดับ, เต้นสาก"
50,เซิ้งกระติบข้าว,"กระบวนท่ารำ, การดีด, การปั้น, การเดินทาง, ข้าวเหนียว, งานรื่นเริง, ชาวนา, ชาวภูไท, ที่รัก, ท่าทาง, หญิงสาว"
51,เซิ้งตังหวาย,"การขับร้อง, ธงไทย, ลำตังหวาย, แม่น้ำโขง, แหล่งน้ำ"
52,เซิ้งไทภูเขา,"การเดินทาง, ขอขมา, ชาวภูไท, ชาวไทย, ผีภู, ภูเขา, ย่านาง, วัตถุดิบ, หน่อไม้, เจ้าที่เจ้าทาง, เทือกเขาภูพาน, ไทภูเขา"
53,เซิ้งโปงลาง,"การเกี้ยวพาราสี, ชายหนุ่ม, ผู้แสดง, มารดา, สังสรรค์, หญิงสาว, เครื่องดนตรี, แหล่งน้ำ, โปงลาง"
54,เซิ้งสวิง,"กระบวนท่ารำ, การจับปลา, การประกอบอาชีพ, ท่าทาง, ผู้แสดง, ภาคตะวันออกเฉียงเหนือ, สัตว์น้ำ, สีน้ำเงิน, หยอกล้อ"
55,ฟ้อนภูไท,"การรบ, กาฬสินธุ์, งานรื่นเริง, ชาวภูไท, ดินแดน, นครพนม, มุกดาหาร, สกลนคร, สัตว์น้ำ, สายสืบ, สีแดง, เทือกเขาภูพาน, แม่น้ำโขง, แหล่งน้ำ"
56,ฟ้อนภูไท 3 เผ่า,"การปั้น, การเกี้ยวพาราสี, กาฬสินธุ์, ชาวภูไท, ต่อสู้, นครพนม, ผู้แสดง, มวยโบราณ, สกลนคร, สีทอง, เชิงมวย, เทือกเขาภูพาน"
57,ฟ้อนหมากกั๊บแก๊บลำเพลิน,"การขับร้อง, การรบ, ดนตรีพื้นบ้าน, ฟันปลา, ภาคอีสาน, ลำเพลิน, สัตว์น้ำ, สีน้ำเงิน, หมากกั๊บแก๊บ, หยอกล้อ, อีสาน, เครื่องดนตรี, ไม้ยาว, ไม้สั้น"
58,กราววีรชัยยักษ์,"กระบวนท่ารำ, กราววีรชัยลิง, กองทัพ, ความพร้อมเพรียง, จัดทัพ, ท่าทาง"
59,กราววีรชัยลิง,"กราววีรชัยลิง, กองทัพ, การรบ, กิริยาอาการ, ความคล่องแคล่ว, ความว่องไว, ซุกซน, ต่อสู้, ท่าทาง, พระยา, พระราม, วานร, สิบแปดมงกุฎ, สีน้ำเงิน"
60,การแสดงโขนเรื่องรามเกียรติ์ ชุดยกรบ,"กรุงลงกา, กองทัพ, การขึ้นลอย, การรบ, การแปร, ชั้นเชิง, ทศกัณฐ์, พระยา, พระราม, พระลอ, พระลักษมณ์, รำลึก, วานร, สงคราม, สีน้ำเงิน, ไพร่พล"
61,การแสดงโขนเรื่องรามเกียรติ์ ตอน  จองถนน,"กรุงลงกา, การแปร, ขีดขิน, จองถนน, ชามพูวราช, ทะเล, นิมิต, พระยา, พระราม, พระเมรุ, พลลิง, วานร, วิดน้ำ, สมควร, สำเภา, อาสา, เมืองขีดขิน, เมืองชมพู, ไพร่พล"
62,การแสดงโขนเรื่องรามเกียรติ์ ตอน  นารายณ์ปราบนนทก,"การแปร, ที่รัก, นนทก, นิ้วเพชร, พระนารายณ์, พระยา, พระลอ, พระศิวะ, พระอิศวร, รับใช้, เขาไกลลาศ, เทวดา"
63,การแสดงโขนเรื่องรามเกียรติ์ ตอน  ศึกแสงอาทิตย์,"กองทัพ, การรบ, การศึก, การแปร, ทศกัณฐ์, พญาขร, พระพรหม, พระยา, พระราม, พิเภก, มังกรกัณฐ์, อนุชา, อุบาย, แว่นแก้วสุรกานต์, แสงอาทิตย์, โอรส"
64,การแสดงโขนเรื่องรามเกียรติ์ ตอน  หนุมานชาญสมร,"กรุงลงกา, กองทัพ, การแปร, การให้กำเนิด, กุณฑล, ขนเพชร, จำกาย, ฉลองพระองค์, ทหารเอก, นางสวาหะ, บิดา, ฝากตัว, พระนารายณ์, พระพาย, พระยา, พระราม, พระลอ, พระศิวะ, พระอิศวร, พละกำลัง, พลับพลา, รับใช้, วานร, สวามิภักดิ์, สวามี, หนุมาน, อวตาร, เขี้ยวแก้ว"
65,การแสดงโขนเรื่องรามเกียรติ์ ตอน กุมภกรรณพุ่งหอกโมกขศักดิ์,"กรุงลงกา, การยุติ, การศึก, การุณราช, การแปร, กุมภกรรณ, ขับไล่, จารึก, ดำรงตำแหน่ง, ทศกัณฐ์, นางสีดา, พระพรหม, พระยา, พระราม, มัยราพณ์, ยุติธรรม, รับอาสา, ร้ายกาจ, สงคราม, สัจจะ, สีน้ำเงิน, หอกโมกขศักดิ์, อนุชา, อาสา, อุปราช"
66,การแสดงโขนเรื่องรามเกียรติ์ ตอน ขับพิเภก,"กรุงลงกา, กะลา, การศึก, การแปร, ขับไล่, จารึก, จุดไฟ, ตะวันตก, ทศกัณฐ์, ทำนาย, ทิศตะวันตก, ทิศตะวันออก, นางสีดา, นางใน, น้ำมันยาง, ปราชัย, พญาขร, พระญาติ, พระยา, พระราม, พระลอ, พระลาน, พลลิง, พิเภก, รัชฎา, รับใช้, ร้อนแรง, ร้ายกาจ, สมบัติ, สวามี, สะเดาะเคราะห์, สำมนักขา, ออกรบ, เจ้าเมือง, ให้ร้าย, ไฟไหม้, ไส้กะลา"
67,การแสดงโขนเรื่องรามเกียรติ์ ตอน นางลอย,"กรุงลงกา, กองทัพ, การยุติ, การศึก, การแปร, ทศกัณฐ์, ทำนาย, นางสีดา, พระยา, พระราม, พลับพลา, พิเภก, ย่านาง, สงคราม, สะเดาะเคราะห์, สีน้ำเงิน, เบญกาย, แปลงกาย, แหล่งน้ำ"
68,การแสดงโขนเรื่องรามเกียรติ์ ตอน พระคเณศเสียงา,"การแปร, จับนาง, จารึก, ตัวพระ, ต่อสู้, ทำนาย, บิดา, ปรศุราม, ปารวตี, พระคเณศ, พระตำหนัก, พระนารายณ์, พระยา, พระลอ, พระศิวะ, พระอิศวร, สีน้ำเงิน, อวตาร, เขาไกรลาส, โมโห"
69,การแสดงโขนเรื่องรามเกียรติ์ ตอน พระรามตามกวาง,"กวางทอง, กากนาสูร, การแปร, กาลสูร, ทศกัณฐ์, นางสีดา, พระพาย, พระยา, พระราม, มารีศ, อุบาย, แปลงกาย"
70,การแสดงโขนเรื่องรามเกียรติ์ ตอน พาลีสอนน้อง,"การรบ, การแปร, ขีดขิน, ผู้ครองนคร, พระมหากษัตริย์, พระยา, พระราม, พาลี, รับใช้, สมมุติเทพ, สุครีพ, หลักราชการ, อนุชา, อเนก"
71,การแสดงโขนเรื่องรามเกียรติ์ ตอน ลักสีดา,"กรุงลงกา, กวางทอง, การแปร, ขอความช่วยเหลือ, คำบอกเล่า, จำกาย, ทศกัณฐ์, นางสีดา, พระยา, พระราม, พระลอ, พระลักษมณ์, มารีศ, รำลึก, ฤาษี, สำมนักขา, สีแดง"
72,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกพรหมาสตร์,"กองทัพ, การศึก, การุณราช, การแปร, กาลสูร, ช้างเอราวัณ, ทศกัณฐ์, นางฟ้า, พรหมาสตร์, พระยา, พระราม, พระลอ, พระอินทร์, มังกรกัณฐ์, รุทการ, สังหาร, สิ้นชีวิต, หลงกล, อินทรชิต, เทวดา, แปลงกาย, แสงอาทิตย์, ไพร่พล"
73,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกวิรุญจำบัง,"กรุงลงกา, การศึก, การแปร, จับนาง, จารึก, ทศกัณฐ์, ท้าวลัสเตียน, ท้าวสัทธาสูร, นางสีดา, นิลพาหุ, น้องชาย, บิดา, พญาทูษณ์, พระยา, พระราม, มารดา, รัชฎา, รับอาสา, รำคู่, วานร, วิรุญจำบัง, สงคราม, สัทธาสูร, สีน้ำเงิน, หายตัว, อาสา, เจ้าเมือง, โอรส"
74,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกวิรุญมุข,"การรบ, การศึก, การแปร, ขัดตาทัพ, ข่ายเหล็ก, ชามพูวราช, ตัวพระ, ทศกัณฐ์, ทำนาย, พระยา, พระราม, พระลอ, พระลักษมณ์, พลลิง, พิเภก, มังกรกัณฐ์, รับอาสา, รำลึก, วิรุญจำบัง, วิรุญมุข, ศรนาคบาศ, สมรภูมิ, หนุมาน, หายตัว, อาสา, อินทรชิต, เขาอังกาศ, เดินอากาศ, โอรส"
75,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกสัทธาสูร,"การรบ, การศึก, การแปร, ขี่ม้า, ข่ายเพชร, ดินดาล, ต่อสู้, ทศกัณฐ์, ทอผ้า, พระยา, พระราม, ฟองน้ำ, ภูเขา, วานร, วานรินทร์, วิรุญจำบัง, ศรพาลจันทร์, สัทธาสูร, หนุมาน, หลบหนี, อุบาย, เขาสัตภัณฑ์, เทวดา"
76,การแสดงโขนเรื่องรามเกียรติ์ ตอน สามจับ,"การแปร, กุมภกรรณ, ต่อสู้, ต้นรัง, ถอยทัพ, สุครีพ, หนุมาน, หมดแรง, องคต, อุบาย, เอาชนะ"
77,การแสดงโขนเรื่องรามเกียรติ์ ตอน สุครีพถอนต้นรัง,"การศึก, การแปร, กุมภกรรณ, ต้นรัง, ถอยทัพ, ทศกัณฐ์, ทัพหน้า, พลับพลา, ฤดูฝน, สุครีพ, หนุมาน, หมดแรง, องคต, อนุชา, อุบาย, เชษฐา, เอาชนะ"
78,กินนรีร่อนออกมโนราห์บูชายัญ,"กระบวนท่ารำ, กินรี, ที่รัก, บูชายัญ, มโนราห์, ละครชาตรี, สระอโนดาต, เล่นน้ำ"
79,เมขลา รามสูร,"การเดินทาง, การไถ, จับนาง, ดวงแก้ว, ตำนาน, ทะเล, ธงไทย, นางฟ้า, มูลเหตุ, รามสูร, ฤดูฝน, วสันตฤดู, อสูร, เทพธิดา, เทพนิยาย, เทพบุตร, เทวดา, เมขลา"
80,รจนาเสี่ยงพวงมาลัย,"นางใน, บุปเพสันนิวาส, พระลอ, พระสังข์, พวงมาลัย, รจนา, รูปทอง, รูปนอก, สวามี, สังข์ทอง, เจ้าหญิง, เจ้าเงาะ"
81,ระบำกรับ,"กรับพวง, จับระบำ, ผู้แสดง, ฝ่ามือ, ออกรบ, เครื่องดนตรี"
82,ระบำกฤดาภินิหาร,"กรมศิลปากร, การรบ, นางฟ้า, นางสีดา, ศุภลักษณ์, เกียรติศักดิ์ไทย, เทวดา"
83,ระบำกินรีร่อน,"การรบ, กินรี, ผู้หญิง, สระอโนดาต, เขาไกรลาส, เล่นน้ำ"
84,ระบำฉิ่ง,"ผู้แสดง, รัวฉิ่ง, เครื่องดนตรี"
85,ระบำชุดไทยพระราชนิยม,"ฉลองพระองค์, พระบรมราชชนนีพับปีหลวง, พระยา, พระราม, พระลอ, มวยไทย, ไทยจักรพรรดิ์, ไทยจักรี, ไทยจิตรลดา, ไทยดุสิต, ไทยทรงดำ, ไทยบรมพิมาน, ไทยศิวาลัย, ไทยอมรินทร์, ไทยเรือนต้น"
86,ระบำดาวดึงส์,"จับระบำ, ดาวดึงส์, ทิพยวิมาน, ผู้แสดง, พระลอ, พระอินทร์, ระบำมาตรฐาน, รำมาตรฐาน, ละครดึกดำบรรพ์, สังข์ทอง, เทพธิดา, เทพบุตร, แต่งกายยืนเครื่องพระ"
87,ระบำเทพบันเทิง,"ชาวนา, ผู้แสดง, ระบำมาตรฐาน, รำมาตรฐาน, ละครใน, องค์ปะตาระกาหลา, อิเหนา, เทพธิดา, เทพบุตร, แต่งกายยืนเครื่องพระ"
88,ระบำนพรัตน์,"ทับทิม, บุษราคัม, ผู้แสดง, มรกต, อัญมณี, เพทาย, โกเมน, ไพฑูรย์"
89,ระบำพรมมาสตร์,"กลยุทธ, กลางอากาศ, กองทัพ, การรบ, การศึก, การุณราช, ช้างเอราวัณ, ทศกัณฐ์, นางฟ้า, นางใน, พรหมาสตร์, พระลอ, พระลักษมณ์, พระอินทร์, รำลึก, วานร, สงคราม, สีน้ำเงิน, อินทรชิต, เทพบุตร, เทวดา, แปลงกาย, โอรส"
90,ระบำย่องหงิด,"กระบวนท่ารำ, การรบ, การแปร, งานรื่นเริง, จับระบำ, นางฟ้า, ละครใน, วาดรูป, ศุภลักษณ์, อาสา, อุณรุท, อุษา, เทพธิดา, เทพบุตร, เทวดา"
91,ระบำวิชนี,"ความสำนึก, นางใน, ผู้แสดง, ราชสำนัก, วิชนี, สภาพอากาศ, สำนึก, หญิงสาว"
92,ระบำศรีชยสิงห์,"กาญจนบุรี, จารึก, ดินแดน, นางอัปสราบายน, ปราสาทพระขรรค์, ปราสาทเมืองสิงห์, พระเจ้าชัยวรมัน, ภาพจำหลัก, แควน้อย, แหล่งน้ำ"
93,รำซัดชาตรี,"การรบ, ตารี, ที่รัก, ผู้แสดง, รำคู่, รำพัด, ละครชาตรี, ละครใน, เบิกโรง, ไหว้ครู"
94,รำเบิกโรงดอกไม้เงินทอง,"ดอกไม้เงิน, ผู้แสดง, พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว, พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว, พระยา, พระลอ, ละครใน, สวัสดิมงคล, เบิกโรง, แต่งกายยืนเครื่องพระ"
95,รำประเลง,"การรบ, ปิดหน้า, ผู้แสดง, รังควาญ, ละครใน, สวัสดิมงคล, สิ่งศักดิ์สิทธิ์, หลงกล, หางนกยูง, อิทธิฤทธิ์, อุปสรรค, เทวดา, เบิกโรง, เพลงกลม, เพลงชำนาญ, เพลงหน้าพาทย์, เรื่องใหญ่, เสนียดจัญไร, แต่งกายยืนเครื่องพระ, โคมเวียน"
96,รำฝรั่งคู่,"การรบ, จีนรัว, จีนรำพัด, ตะเขิ่ง, ผู้แสดง, รำคู่, รำพัด, เจ้าเซ็น, เพลงฉิ่ง, เพลงฝรั่งรำเท้า, เพลงเร็ว, แต่งกายยืนเครื่องพระ"
97,รำพลายชุมพล,"การรบ, การศึก, ขุนช้าง, ขุนแผน, ชุมพร, พระไวย, พลายชุมพล, รำเดี่ยว, ละครเสภา, ออกรบ, เพลงมอญดูดาว, แก้แค้น, แตกทัพ"
98,รำมโนห์ราบูชายัญ,"กองไฟ, การรบ, บินหนี, บูชายัญ, ผู้หญิง, เขาไกรลาส"
99,รำแม่บท,"กระบวนท่ารำ, การรบ, การศึก, จารึก, ระบำมาตรฐาน, รำมาตรฐาน, ล้านนา, แต่งกายยืนเครื่องพระ, แม่บท"
100,หนุมานจับนางเบญกาย,"การเกี้ยวพาราสี, การไถ, จับนาง, ทศกัณฐ์, นางสีดา, นางใน, พระยา, พระราม, มูลเหตุ, ยักษิณี, ลอยน้ำ, วานร, หนุมาน, หลบหนี, หายตัว, อุบาย, เบญกาย"
101,หนุมานจับนางสุพรรณมัจฉา,"กระบวนท่ารำ, กรุงลงกา, กองทัพ, การเกี้ยวพาราสี, การเดินทาง, การไถ, ก้อนหิน, จับนาง, ชาวนา, นางสีดา, บริวาร, ผู้หญิง, พระยา, พระราม, มหาสมุทร, มูลเหตุ, วานร, สัตว์น้ำ, สุพรรณมัจฉา, หนุมาน"
102,ระบำเซียงแสน,"การปั้น, จิตรกรรม, ปูนปั้น, พุทธศตวรรษ, ภาคตะวันออกเฉียงเหนือ, ภาคเหนือ, ภาพจิตรกรรมฝาผนัง, มลายู, ระบำโบราณคดี, สี่ภาค, โบราณสถาน"
103,ระบำทวารวดี,"การดีด, จิตรกรรม, ดินแดน, นิสัย, พุทธศตวรรษ, ระบำโบราณคดี, สมัยทวารวดี, เชื้อชาติ, โบราณวัตถุ"
104,ระบำลพบุรี,"การรบ, ดินแดน, ทับหลัง, นครราชสีมา, บุรีรัมย์, ปราสาทพนมรุ้ง, ปราสาทหินพิมาย, พุทธศตวรรษ, ระบำโบราณคดี, สมัยลพบุรี, หน้าบัน"
105,ระบำศรีวิชัย,"การรบ, ชุมพร, ดินแดน, นครศรีธรรมราช, ปัตตานี, พุทธศตวรรษ, มลายู, ระบำโบราณคดี, สมัยศรีวิชัย, หมู่เกาะ, หลักฐาน, อินโดนีเซีย, แหลมมลายู, โบราณวัตถุ"
106,ระบำสุโขทัย,"การปั้น, งานประติมากรรม, ปางลีลา, ปูนปั้น, พระพุทธรูป, พุทธศตวรรษ, ระบำโบราณคดี, สมัยสุโขทัย, หล่อสำริด"
107,ฉุยฉายทศกัณฐ์ลงสวน,"กรุงลงกา, ความภาคภูมิใจ, ฉุยฉาย, ทศกัณฐ์, นางสีดา, พวงมาลัย, สะล้อ"
108,ฉุยฉายเบญกาย,"การยุติ, ความภาคภูมิใจ, ฉุยฉาย, ทศกัณฐ์, นางสีดา, พระยา, พระราม, สงคราม, สีน้ำเงิน, อุบาย, เบญกาย, แปลงกาย"
109,ฉุยฉายพราหมณ์,"ฉุยฉาย, พระคเณศ, พระนารายณ์, พระยา, พระลอ, พระศิวะ, พระอิศวร, พระอุมา, พราหมณ์), มเหสี, สีทอง, (ฮินดู, เทพเจ้า, เบิกโรง, แปลงกาย"
110,ฉุยฉายยอพระกลิ่น,"การเดินทาง, ความภาคภูมิใจ, ฉุยฉาย, พระลอ, พระสวามี, มณีพิชัย, ยอพระกลิ่น, ละครนอก, ละครใน, สวามี"
