item,gold_tokens,predicted_tokens,TP,FP,FN,FP_words,FN_words
ระบำม้า,การเดินทาง,"กระทบไม้, กะลา, การเดินทาง, จับระบำ, พระนารายณ์, มโนราห์, ระบำมาตรฐาน, รำเดี่ยว, สีแดง, หลงกล, อสูร, อาสา, เชษฐา, แปลงกาย, ไทยทรงดำ",1,14,0,"กระทบไม้, กะลา, จับระบำ, พระนารายณ์, มโนราห์, ระบำมาตรฐาน, รำเดี่ยว, สีแดง, หลงกล, อสูร, อาสา, เชษฐา, แปลงกาย, ไทยทรงดำ",
ระบำอยุธยา,"ระบำโบราณคดี, ศิลปหัตถกรรม, เป็นครั้งแรก","จับระบำ, มโนราห์, ระบำโบราณคดี, ศิลปหัตถกรรม, ศิลปินแห่งชาติ, สังคีตศิลป์, สีน้ำเงิน, สีแดง, องคต, อยุธยา, เป็นครั้งแรก",3,8,0,"จับระบำ, มโนราห์, ศิลปินแห่งชาติ, สังคีตศิลป์, สีน้ำเงิน, สีแดง, องคต, อยุธยา",
รับขวัญข้าว,"การทำขวัญ, จารีตประเพณี, ธัญญาหาร, ผู้มีพระคุณ, พืชพรรณ, รุ่นหลัง, หล่อเลี้ยง","กะลา, การทำขวัญ, จารีตประเพณี, ชาวนา, ตารี, ต่อสู้, ธัญญาหาร, นายขวัญ, บิดา, บูชาครู, ผู้มีพระคุณ, พระคเณศ, พืชพรรณ, มรกต, รจนา, รุ่นหลัง, สวามี, สะล้อ, สังสรรค์, สีน้ำเงิน, สีแดง, หล่อเลี้ยง, อสูร, อาสา, อีสาน, ใบชา, ไทยทรงดำ",7,20,0,"กะลา, ชาวนา, ตารี, ต่อสู้, นายขวัญ, บิดา, บูชาครู, พระคเณศ, มรกต, รจนา, สวามี, สะล้อ, สังสรรค์, สีน้ำเงิน, สีแดง, อสูร, อาสา, อีสาน, ใบชา, ไทยทรงดำ",
ล่องใต้,"การประกอบอาชีพ, ดินแดน, ภาคใต้","การประกอบอาชีพ, การรบ, การแปร, ความสำนึก, ดินแดน, บิดา, ภาคใต้, สะล้อ, สังสรรค์, สีน้ำเงิน, สีแดง, องคต, แหล่งน้ำ",3,10,0,"การรบ, การแปร, ความสำนึก, บิดา, สะล้อ, สังสรรค์, สีน้ำเงิน, สีแดง, องคต, แหล่งน้ำ",
ลายเกราะ,"ดนตรีพื้นบ้าน, ภาคอีสาน, อีสาน","กะลา, ดนตรีพื้นบ้าน, ตารี, บิดา, ปางลีลา, พระลอ, พาลี, ภาคอีสาน, มลายู, ลายเส้น, สัตว์น้ำ, สีน้ำเงิน, สีแดง, อาสา, อีสาน, เกราะลอ, เครื่องดนตรี, เครื่องดนตรีพื้นบ้าน, แหล่งน้ำ",3,16,0,"กะลา, ตารี, บิดา, ปางลีลา, พระลอ, พาลี, มลายู, ลายเส้น, สัตว์น้ำ, สีน้ำเงิน, สีแดง, อาสา, เกราะลอ, เครื่องดนตรี, เครื่องดนตรีพื้นบ้าน, แหล่งน้ำ",
ลีลาหมากแก๊ป,"ชาวบ้าน, ดนตรีพื้นบ้าน, หญิงสาว, อีสาน, ไม้ยาว, ไม้สั้น","การปั้น, ข้าหลวง, ความสำนึก, ชาวบ้าน, ดนตรีพื้นบ้าน, ตารี, ทหารเอก, บิดา, ปางลีลา, ภาคอีสาน, มรดกภูมิปัญญาทางวัฒนธรรม, สีทอง, สีน้ำเงิน, สีแดง, หญิงสาว, หมากกั๊บแก๊บ, องคต, อาสา, อีสาน, เครื่องดนตรี, เครื่องดนตรีพื้นบ้าน, เครื่องประกอบจังหวะ, เครื่องประดับ, ไม้ยาว, ไม้สั้น",6,19,0,"การปั้น, ข้าหลวง, ความสำนึก, ตารี, ทหารเอก, บิดา, ปางลีลา, ภาคอีสาน, มรดกภูมิปัญญาทางวัฒนธรรม, สีทอง, สีน้ำเงิน, สีแดง, หมากกั๊บแก๊บ, องคต, อาสา, เครื่องดนตรี, เครื่องดนตรีพื้นบ้าน, เครื่องประกอบจังหวะ, เครื่องประดับ",
สยามภารตะ,"กระบวนท่ารำ, การหลอมรวม, ดินแดน, ราชสำนัก, อารยธรรม, อินเดีย","กระบวนท่ารำ, กองไฟ, การหลอมรวม, การไถ, ดินแดน, ทะเล, ธงไทย, นาฏศิลป์อินเดีย, ภารตนาฏยัม, รจนา, ราชสำนัก, วานร, สีแดง, อารยธรรม, อินเดีย, เพลงไทย, โอดิสสี, ไทยทรงดำ",6,12,0,"กองไฟ, การไถ, ทะเล, ธงไทย, นาฏศิลป์อินเดีย, ภารตนาฏยัม, รจนา, วานร, สีแดง, เพลงไทย, โอดิสสี, ไทยทรงดำ",
สักการะเทวราช,"กรุงรัตนโกสินทร์, งานประติมากรรม, ตำรา, พระพุทธรูป, พระมหากษัตริย์, พระราชพิธี, พระอินทร์, มหรสพ, ลายเส้น, อยุธยา, อินทราภิเษก, เครื่องประดับ","กรุงรัตนโกสินทร์, การรบ, งานประติมากรรม, ตำรา, นักษัตร, นาฏกรรม, นิสัย, บิดา, พระจันทร์, พระพุทธรูป, พระมหากษัตริย์, พระยา, พระราชพิธี, พระราม, พระลอ, พระศิวะ, พระอินทร์, พระอิศวร, พระอุมา, มหรสพ, มโนราห์, ราชสำนัก, ลายเส้น, วานร, วานรินทร์, สวามี, สังสรรค์, สีแดง, สุรินทร์, องคต, อยุธยา, อินทรชิต, อินทราภิเษก, เครื่องประดับ, เทวดา, เรื่องใหญ่, แต่งกายยืนเครื่องพระ, แปลงกาย, แหล่งน้ำ, ใบชา, ไทยทรงดำ, ไทยอมรินทร์",12,30,0,"การรบ, นักษัตร, นาฏกรรม, นิสัย, บิดา, พระจันทร์, พระยา, พระราม, พระลอ, พระศิวะ, พระอิศวร, พระอุมา, มโนราห์, ราชสำนัก, วานร, วานรินทร์, สวามี, สังสรรค์, สีแดง, สุรินทร์, องคต, อินทรชิต, เทวดา, เรื่องใหญ่, แต่งกายยืนเครื่องพระ, แปลงกาย, แหล่งน้ำ, ใบชา, ไทยทรงดำ, ไทยอมรินทร์",
ออเจ้าชาวกรุงศรี,"การนุ่งห่ม, กุลสตรี, ราชสำนัก, เครื่องประดับ","การนุ่งห่ม, กุลสตรี, ขบวนแห่, ตารี, บิดา, มารดา, มโนราห์, ราชสำนัก, ร้ายกาจ, วานร, สีน้ำเงิน, สีแดง, สุรินทร์, เครื่องประดับ",4,10,0,"ขบวนแห่, ตารี, บิดา, มารดา, มโนราห์, ร้ายกาจ, วานร, สีน้ำเงิน, สีแดง, สุรินทร์",
ดาบสองมือ,"ความคล่องแคล่ว, ฟาดฟัน",,0,0,2,,"ความคล่องแคล่ว, ฟาดฟัน"
พลองไม้สั้น,"กระทุ้ง, ขั้นพื้นฐาน, ความว่องไว, ตัวต่อตัว, ต่อสู้, ประชิดตัว, ผู้แสดง, ลูกไม้, สีน้ำเงิน, สีแดง, ไม้สั้น","กระทุ้ง, กระบวนท่ารำ, การดีด, การปั้น, การศึก, ขั้นพื้นฐาน, ความว่องไว, จารึก, ตัวต่อตัว, ตารี, ตีลังกา, ต่อสู้, ธงไทย, ประชิดตัว, ผู้แสดง, พระลอ, มโนราห์, ลอยกระทง, ลูกไม้, สัตว์น้ำ, สีน้ำเงิน, สีแดง, อสูร, อาสา, เพลงอัตราจังหวะสองชั้น, แหล่งน้ำ, ไม้สั้น",11,16,0,"กระบวนท่ารำ, การดีด, การปั้น, การศึก, จารึก, ตารี, ตีลังกา, ธงไทย, พระลอ, มโนราห์, ลอยกระทง, สัตว์น้ำ, อสูร, อาสา, เพลงอัตราจังหวะสองชั้น, แหล่งน้ำ",
มวยคาดเชือก,"ผู้แสดง, มวยไทย, สมัยโบราณ","กระบวนท่ารำ, การศึก, ความคล่องแคล่ว, จารึก, ต่อสู้, ผู้แสดง, มวยโบราณ, มวยไทย, มัยราพณ์, มโนราห์, รับอาสา, รับใช้, สมัยโบราณ, สัตว์น้ำ, สีแดง, องคต, อสูร, แม่ไม้มวย, แหล่งน้ำ",3,16,0,"กระบวนท่ารำ, การศึก, ความคล่องแคล่ว, จารึก, ต่อสู้, มวยโบราณ, มัยราพณ์, มโนราห์, รับอาสา, รับใช้, สัตว์น้ำ, สีแดง, องคต, อสูร, แม่ไม้มวย, แหล่งน้ำ",
ระบำชาวนา,"การประกอบอาชีพ, การไถ, ชาวนา, ผู้แสดง","การประกอบอาชีพ, การรบ, การแปร, การไถ, จับระบำ, ชาวนา, ชาวเขา, ผู้แสดง, รำเดี่ยว, วานร, สะล้อ, สีน้ำเงิน, สีแดง, ใบชา",4,10,0,"การรบ, การแปร, จับระบำ, ชาวเขา, รำเดี่ยว, วานร, สะล้อ, สีน้ำเงิน, สีแดง, ใบชา",
รำเถิดเทิง,"กลองยาว, การตีกลอง, ยั่วเย้า, หยอกล้อ","กลองยาว, การตีกลอง, งานรื่นเริง, ตารี, นางรื่น, ยั่วเย้า, วานร, สีแดง, หยอกล้อ, เถิดเทิง, แหล่งน้ำ",4,7,0,"งานรื่นเริง, ตารี, นางรื่น, วานร, สีแดง, เถิดเทิง, แหล่งน้ำ",
รำวงมาตรฐาน,"กระบวนท่ารำ, เพลงคืนเดือนหงาย, เพลงงามแสงเดือน, เพลงชาวไทย, เพลงดวงจันทร์ขวัญฟ้า, เพลงดวงจันทร์วันเพ็ญ, เพลงดอกไม้ของชาติ, เพลงบูชานักรบ, เพลงยอดชายใจหาญ, เพลงรำซิมารำ, เพลงหญิงไทยใจงาม","กระบวนท่ารำ, กลางคืน, กะลา, การรบ, งานรื่นเริง, ชาวภูไท, ชาวไทย, ดอกไม้เงิน, ตำรา, ทะเล, ที่รัก, ธงไทย, นางรื่น, น้องชาย, บูชายัญ, ภาคกลาง, ระบำมาตรฐาน, รำมาตรฐาน, วานร, สีแดง, เพลงกลม, เพลงคืนเดือนหงาย, เพลงงามแสงเดือน, เพลงฉิ่ง, เพลงชาวไทย, เพลงดวงจันทร์ขวัญฟ้า, เพลงดวงจันทร์วันเพ็ญ, เพลงดอกไม้ของชาติ, เพลงบูชานักรบ, เพลงยอดชายใจหาญ, เพลงรำซิมารำ, เพลงหญิงไทยใจงาม, เพลงเร็ว, เพลงไทย, แสงจันทร์, แหล่งน้ำ, ใบชา, ไทยทรงดำ",11,27,0,"กลางคืน, กะลา, การรบ, งานรื่นเริง, ชาวภูไท, ชาวไทย, ดอกไม้เงิน, ตำรา, ทะเล, ที่รัก, ธงไทย, นางรื่น, น้องชาย, บูชายัญ, ภาคกลาง, ระบำมาตรฐาน, รำมาตรฐาน, วานร, สีแดง, เพลงกลม, เพลงฉิ่ง, เพลงเร็ว, เพลงไทย, แสงจันทร์, แหล่งน้ำ, ใบชา, ไทยทรงดำ",
รำสีนวล,กุลสตรี,"การขับร้อง, กุลสตรี, ตารี, ทะเล, พระลักษมณ์, สีน้ำเงิน, สีแดง, เกราะลอ",1,7,0,"การขับร้อง, ตารี, ทะเล, พระลักษมณ์, สีน้ำเงิน, สีแดง, เกราะลอ",
โนรา,"กินรี, ชาวไทย, บูชาครู, ภาคใต้, มรดกภูมิปัญญาทางวัฒนธรรม, มีแบบแผน, ยูเนสโก, สวัสดิมงคล","การขับร้อง, การรบ, กินรี, ชาวภูไท, ชาวไทย, ทะเล, บูชาครู, ภาคใต้, มรกต, มรดกภูมิปัญญาทางวัฒนธรรม, มีแบบแผน, มโนราห์, ยูเนสโก, วานร, สมรภูมิ, สวัสดิมงคล, สีน้ำเงิน, สีแดง, เพลงชาวไทย, ใบชา",8,12,0,"การขับร้อง, การรบ, ชาวภูไท, ทะเล, มรกต, มโนราห์, วานร, สมรภูมิ, สีน้ำเงิน, สีแดง, เพลงชาวไทย, ใบชา",
รองเง็ง,"ค้าขาย, งานรื่นเริง, ชายแดน, ชาวไทย, ตะวันตก, ผู้แสดง, ภาคใต้, มลายู, โปรตุเกส","กลองยาว, การเดินทาง, ค้าขาย, งานรื่นเริง, ชายแดน, ชาวภูไท, ชาวไทย, ตะวันตก, ทะเล, ทิศตะวันตก, ท่าทาง, ธงไทย, นางรื่น, น้องชาย, น้องสาว, ผู้แสดง, ภาคใต้, มลายู, วานร, สีแดง, หญิงสาว, เพลงชาวไทย, แหล่งน้ำ, โปรตุเกส, ใบชา",9,16,0,"กลองยาว, การเดินทาง, ชาวภูไท, ทะเล, ทิศตะวันตก, ท่าทาง, ธงไทย, นางรื่น, น้องชาย, น้องสาว, วานร, สีแดง, หญิงสาว, เพลงชาวไทย, แหล่งน้ำ, ใบชา",
ระบำตารีกีปัส,"ผู้แสดง, ภาคใต้, รำพัด, เครื่องดนตรีตะวันตก, เครื่องประกอบจังหวะ","จับระบำ, ชาวพื้นเมือง, ตะวันตก, ตารี, ตารีกีปัส, ทิศตะวันตก, ธงไทย, ผู้แสดง, ภาคใต้, ระบำมาตรฐาน, สีน้ำเงิน, สีแดง, เกราะลอ, เครื่องดนตรี, เครื่องดนตรีตะวันตก, เครื่องดนตรีพื้นบ้าน, เครื่องประกอบจังหวะ, เครื่องประดับ, เพลงไทย",4,15,1,"จับระบำ, ชาวพื้นเมือง, ตะวันตก, ตารี, ตารีกีปัส, ทิศตะวันตก, ธงไทย, ระบำมาตรฐาน, สีน้ำเงิน, สีแดง, เกราะลอ, เครื่องดนตรี, เครื่องดนตรีพื้นบ้าน, เครื่องประดับ, เพลงไทย",รำพัด
ระบำตารีบุหงา,"กระบวนท่ารำ, ของที่ระลึก, งานแต่งงาน, ชาวไทย, ช่อดอกไม้, ตารีบุหงา, ผู้แสดง, พื้นบ้านภาคใต้, มุสลิม","กระบวนท่ารำ, ของที่ระลึก, งานแต่งงาน, จับระบำ, ชาวภูไท, ชาวไทย, ช่อดอกไม้, ตารี, ตารีบุหงา, น้องชาย, บิดา, ผู้แสดง, พื้นบ้านภาคใต้, ภาคใต้, มลายู, มุสลิม, ระบำมาตรฐาน, รำลึก, สีแดง, หน่อไม้, องคต, เพลงชาวไทย, เรื่องใหญ่, แปลงกาย, แหล่งน้ำ, ไทยดุสิต",9,17,0,"จับระบำ, ชาวภูไท, ตารี, น้องชาย, บิดา, ภาคใต้, มลายู, ระบำมาตรฐาน, รำลึก, สีแดง, หน่อไม้, องคต, เพลงชาวไทย, เรื่องใหญ่, แปลงกาย, แหล่งน้ำ, ไทยดุสิต",
ระบำร่อนแร่,"การประกอบอาชีพ, การร่อนแร่, ภาคใต้, หญิงสาว, แหล่งน้ำ","การประกอบอาชีพ, การรบ, การร่อนแร่, การเดินทาง, การแปร, งานรื่นเริง, จับระบำ, ตารี, ธงไทย, นางรื่น, ภาคใต้, รจนา, ร่มเย็น, ร้อนแรง, วานร, สีน้ำเงิน, สีแดง, หญิงสาว, เครื่องประกอบจังหวะ, แหล่งน้ำ",5,15,0,"การรบ, การเดินทาง, การแปร, งานรื่นเริง, จับระบำ, ตารี, ธงไทย, นางรื่น, รจนา, ร่มเย็น, ร้อนแรง, วานร, สีน้ำเงิน, สีแดง, เครื่องประกอบจังหวะ",
กลองสะบัดชัย,"กลองสะบัดชัย, การตีกลอง, ขบวนแห่, ข้าศึก, ท่าทาง, พิธีทางศาสนา, ภาคเหนือ, ล้านนา, ออกรบ, โลดโผน","กรมศิลปากร, กลองยาว, กลองสะบัดชัย, การตีกลอง, การรบ, การศึก, ขบวนแห่, ข้าศึก, ความคล่องแคล่ว, ความว่องไว, ชาวบ้าน, ชาวเหนือ, ตารี, ท่าทาง, ธงไทย, นนทก, นิมิต, พิธีทางศาสนา, ภาคเหนือ, รังควาญ, ล้านนา, สงคราม, สีทอง, สีน้ำเงิน, สีแดง, องคต, อสูร, ออกรบ, อาสา, แหล่งน้ำ, โลดโผน",10,21,0,"กรมศิลปากร, กลองยาว, การรบ, การศึก, ความคล่องแคล่ว, ความว่องไว, ชาวบ้าน, ชาวเหนือ, ตารี, ธงไทย, นนทก, นิมิต, รังควาญ, สงคราม, สีทอง, สีน้ำเงิน, สีแดง, องคต, อสูร, อาสา, แหล่งน้ำ",
ฟ้อนจันทราพาฝัน,"ชาวเหนือ, หญิงสาว, เพลงลาวคำหอม, แสงจันทร์","กวางทอง, การขับร้อง, การปั้น, ชาวนา, ชาวเหนือ, ผู้หญิง, ภาคเหนือ, มโนราห์, ศิลปินแห่งชาติ, สีน้ำเงิน, หญิงสาว, ออกรบ, เพลงกลม, เพลงลาวคำหอม, เพลงอัตราจังหวะสองชั้น, แสงจันทร์, แหล่งน้ำ",4,13,0,"กวางทอง, การขับร้อง, การปั้น, ชาวนา, ผู้หญิง, ภาคเหนือ, มโนราห์, ศิลปินแห่งชาติ, สีน้ำเงิน, ออกรบ, เพลงกลม, เพลงอัตราจังหวะสองชั้น, แหล่งน้ำ",
ฟ้อนเจิง,"ภาคเหนือ, ล้านนา","การปั้น, ชาวบ้าน, ชาวเหนือ, ต่อสู้, ธงไทย, นนทก, น้องชาย, น้องสาว, ภาคเหนือ, ล้านนา, สีแดง, อสูร, แหล่งน้ำ",2,11,0,"การปั้น, ชาวบ้าน, ชาวเหนือ, ต่อสู้, ธงไทย, นนทก, น้องชาย, น้องสาว, สีแดง, อสูร, แหล่งน้ำ",
ฟ้อนดวงเดือน,"การเกี้ยวพาราสี, ชายหนุ่ม, พระนิพนธ์, หญิงสาว, เพลงอัตราจังหวะสองชั้น","การปั้น, การเกี้ยวพาราสี, ชายหนุ่ม, ตำรา, น้องชาย, พระนิพนธ์, วานร, สีทอง, สีแดง, หญิงสาว, เทพเจ้า, เพลงสำเนียงลาว, เพลงอัตราจังหวะสองชั้น, เพลงไทย, แหล่งน้ำ",5,10,0,"การปั้น, ตำรา, น้องชาย, วานร, สีทอง, สีแดง, เทพเจ้า, เพลงสำเนียงลาว, เพลงไทย, แหล่งน้ำ",
ฟ้อนที,"ดนตรีพื้นบ้าน, ภาคเหนือ, แม่ฮ่องสอน","ชาวเหนือ, ดนตรีพื้นบ้าน, ตารี, ธงไทย, พื้นบ้านภาคใต้, ภาคเหนือ, ร่มเย็น, เครื่องดนตรีพื้นบ้าน, แม่ฮ่องสอน, แหล่งน้ำ",3,7,0,"ชาวเหนือ, ตารี, ธงไทย, พื้นบ้านภาคใต้, ร่มเย็น, เครื่องดนตรีพื้นบ้าน, แหล่งน้ำ",
