item,gold_tokens,predicted_tokens,TP,FP,FN,FP_words,FN_words
นาฏยมวยไทย,"บรรพบุรุษ, มวยโบราณ, ศิลปะป้องกันตัว","บรรพบุรุษ, มวยโบราณ, มวยไทย, ศิลปะป้องกันตัว",3,1,0,มวยไทย,
ผืนไท,"ธงไทย, พระมหากษัตริย์, ร่มเย็น, อาณาประชาราษฎร์, เชื้อชาติ","ธงไทย, พระมหากษัตริย์, ร่มเย็น, อาณาประชาราษฎร์",4,0,1,,เชื้อชาติ
พนาธาร,ผูกพัน,ผูกพัน,1,0,0,,
ฟ้อนขันดอก,"กระบวนท่ารำ, ขันดอก, ภาคเหนือ, ล้านนา","กระบวนท่ารำ, ขันดอก, ภาคเหนือ, ล้านนา",4,0,0,,
ฟ้อนลีลาวดี,"ต้นลีลาวดี, ต้นไม้, พระอุโบสถ, ร่มเย็น, วังหน้า, สุทธาวาส","ต้นลีลาวดี, ต้นไม้, พระอุโบสถ, ร่มเย็น, วังหน้า, สุทธาวาส",6,0,0,,
ระบำม้า,การเดินทาง,การเดินทาง,1,0,0,,
ระบำอยุธยา,"ระบำโบราณคดี, ศิลปหัตถกรรม, เป็นครั้งแรก","ระบำโบราณคดี, ศิลปหัตถกรรม, ศิลปินแห่งชาติ, สังคีตศิลป์, อยุธยา, เป็นครั้งแรก",3,3,0,"ศิลปินแห่งชาติ, สังคีตศิลป์, อยุธยา",
รับขวัญข้าว,"การทำขวัญ, จารีตประเพณี, ธัญญาหาร, ผู้มีพระคุณ, พืชพรรณ, รุ่นหลัง, หล่อเลี้ยง","การทำขวัญ, จารีตประเพณี, ธัญญาหาร, ผู้มีพระคุณ, พืชพรรณ, รุ่นหลัง, หล่อเลี้ยง",7,0,0,,
ล่องใต้,"การประกอบอาชีพ, ดินแดน, ภาคใต้","การประกอบอาชีพ, ดินแดน, ภาคใต้",3,0,0,,
ลายเกราะ,"ดนตรีพื้นบ้าน, ภาคอีสาน, อีสาน","ดนตรีพื้นบ้าน, ภาคอีสาน, อีสาน, เกราะลอ, เครื่องดนตรี, เครื่องดนตรีพื้นบ้าน",3,3,0,"เกราะลอ, เครื่องดนตรี, เครื่องดนตรีพื้นบ้าน",
ลีลาหมากแก๊ป,"ชาวบ้าน, ดนตรีพื้นบ้าน, หญิงสาว, อีสาน, ไม้ยาว, ไม้สั้น","ชาวบ้าน, ดนตรีพื้นบ้าน, หญิงสาว, หมากกั๊บแก๊บ, อีสาน, เครื่องดนตรี, เครื่องดนตรีพื้นบ้าน, ไม้ยาว, ไม้สั้น",6,3,0,"หมากกั๊บแก๊บ, เครื่องดนตรี, เครื่องดนตรีพื้นบ้าน",
สยามภารตะ,"กระบวนท่ารำ, การหลอมรวม, ดินแดน, ราชสำนัก, อารยธรรม, อินเดีย","กระบวนท่ารำ, การหลอมรวม, ดินแดน, นาฏศิลป์อินเดีย, ภารตนาฏยัม, อารยธรรม, อินเดีย, โอดิสสี",5,3,1,"นาฏศิลป์อินเดีย, ภารตนาฏยัม, โอดิสสี",ราชสำนัก
สักการะเทวราช,"กรุงรัตนโกสินทร์, งานประติมากรรม, ตำรา, พระพุทธรูป, พระมหากษัตริย์, พระราชพิธี, พระอินทร์, มหรสพ, ลายเส้น, อยุธยา, อินทราภิเษก, เครื่องประดับ","กรุงรัตนโกสินทร์, การรบ, งานประติมากรรม, ตำรา, พระพุทธรูป, พระมหากษัตริย์, พระราชพิธี, พระอินทร์, มหรสพ, ลายเส้น, อยุธยา, อินทราภิเษก, เครื่องประดับ",12,1,0,การรบ,
ออเจ้าชาวกรุงศรี,"การนุ่งห่ม, กุลสตรี, ราชสำนัก, เครื่องประดับ","การนุ่งห่ม, กุลสตรี, เครื่องประดับ",3,0,1,,ราชสำนัก
ดาบสองมือ,"ความคล่องแคล่ว, ฟาดฟัน",,0,0,2,,"ความคล่องแคล่ว, ฟาดฟัน"
พลองไม้สั้น,"กระทุ้ง, ขั้นพื้นฐาน, ความว่องไว, ตัวต่อตัว, ต่อสู้, ประชิดตัว, ผู้แสดง, ลูกไม้, สีน้ำเงิน, สีแดง, ไม้สั้น","กระทุ้ง, ขั้นพื้นฐาน, ความว่องไว, ตัวต่อตัว, ต่อสู้, ประชิดตัว, ผู้แสดง, ลูกไม้, สัตว์น้ำ, สีแดง, ไม้สั้น",10,1,1,สัตว์น้ำ,สีน้ำเงิน
มวยคาดเชือก,"ผู้แสดง, มวยไทย, สมัยโบราณ","ความคล่องแคล่ว, ต่อสู้, ผู้แสดง, มวยไทย, รับใช้, สมัยโบราณ, สัตว์น้ำ, แม่ไม้มวย",3,5,0,"ความคล่องแคล่ว, ต่อสู้, รับใช้, สัตว์น้ำ, แม่ไม้มวย",
ระบำชาวนา,"การประกอบอาชีพ, การไถ, ชาวนา, ผู้แสดง","การประกอบอาชีพ, การไถ, ชาวนา, ผู้แสดง",4,0,0,,
รำเถิดเทิง,"กลองยาว, การตีกลอง, ยั่วเย้า, หยอกล้อ","กลองยาว, การตีกลอง, งานรื่นเริง, ยั่วเย้า, หยอกล้อ, เถิดเทิง",4,2,0,"งานรื่นเริง, เถิดเทิง",
รำวงมาตรฐาน,"กระบวนท่ารำ, เพลงคืนเดือนหงาย, เพลงงามแสงเดือน, เพลงชาวไทย, เพลงดวงจันทร์ขวัญฟ้า, เพลงดวงจันทร์วันเพ็ญ, เพลงดอกไม้ของชาติ, เพลงบูชานักรบ, เพลงยอดชายใจหาญ, เพลงรำซิมารำ, เพลงหญิงไทยใจงาม","กระบวนท่ารำ, การรบ, ชาวไทย, ภาคกลาง, เพลงคืนเดือนหงาย, เพลงงามแสงเดือน, เพลงชาวไทย, เพลงดวงจันทร์ขวัญฟ้า, เพลงดวงจันทร์วันเพ็ญ, เพลงดอกไม้ของชาติ, เพลงบูชานักรบ, เพลงยอดชายใจหาญ, เพลงรำซิมารำ, เพลงหญิงไทยใจงาม",11,3,0,"การรบ, ชาวไทย, ภาคกลาง",
รำสีนวล,กุลสตรี,"การขับร้อง, กุลสตรี",1,1,0,การขับร้อง,
โนรา,"กินรี, ชาวไทย, บูชาครู, ภาคใต้, มรดกภูมิปัญญาทางวัฒนธรรม, มีแบบแผน, ยูเนสโก, สวัสดิมงคล","กินรี, ชาวไทย, บูชาครู, ภาคใต้, มรดกภูมิปัญญาทางวัฒนธรรม, มีแบบแผน, มโนราห์, ยูเนสโก, สวัสดิมงคล",8,1,0,มโนราห์,
รองเง็ง,"ค้าขาย, งานรื่นเริง, ชายแดน, ชาวไทย, ตะวันตก, ผู้แสดง, ภาคใต้, มลายู, โปรตุเกส","ค้าขาย, งานรื่นเริง, ชายแดน, ชาวไทย, ตะวันตก, ผู้แสดง, ภาคใต้, มลายู, โปรตุเกส",9,0,0,,
ระบำตารีกีปัส,"ผู้แสดง, ภาคใต้, รำพัด, เครื่องดนตรีตะวันตก, เครื่องประกอบจังหวะ","ตะวันตก, ตารี, ตารีกีปัส, ผู้แสดง, ภาคใต้, เครื่องดนตรี, เครื่องดนตรีตะวันตก, เครื่องประกอบจังหวะ",4,4,1,"ตะวันตก, ตารี, ตารีกีปัส, เครื่องดนตรี",รำพัด
ระบำตารีบุหงา,"กระบวนท่ารำ, ของที่ระลึก, งานแต่งงาน, ชาวไทย, ช่อดอกไม้, ตารีบุหงา, ผู้แสดง, พื้นบ้านภาคใต้, มุสลิม","กระบวนท่ารำ, ของที่ระลึก, งานแต่งงาน, ชาวไทย, ช่อดอกไม้, ตารี, ตารีบุหงา, ผู้แสดง, พื้นบ้านภาคใต้, ภาคใต้, มลายู, มุสลิม, รำลึก",9,4,0,"ตารี, ภาคใต้, มลายู, รำลึก",
ระบำร่อนแร่,"การประกอบอาชีพ, การร่อนแร่, ภาคใต้, หญิงสาว, แหล่งน้ำ","การประกอบอาชีพ, การร่อนแร่, งานรื่นเริง, ภาคใต้, หญิงสาว",4,1,1,งานรื่นเริง,แหล่งน้ำ
กลองสะบัดชัย,"กลองสะบัดชัย, การตีกลอง, ขบวนแห่, ข้าศึก, ท่าทาง, พิธีทางศาสนา, ภาคเหนือ, ล้านนา, ออกรบ, โลดโผน","กลองสะบัดชัย, การตีกลอง, การรบ, การศึก, ขบวนแห่, ข้าศึก, ความคล่องแคล่ว, ความว่องไว, ท่าทาง, พิธีทางศาสนา, ภาคเหนือ, ล้านนา, สงคราม, สีน้ำเงิน, ออกรบ, โลดโผน",10,6,0,"การรบ, การศึก, ความคล่องแคล่ว, ความว่องไว, สงคราม, สีน้ำเงิน",
ฟ้อนจันทราพาฝัน,"ชาวเหนือ, หญิงสาว, เพลงลาวคำหอม, แสงจันทร์","ชาวเหนือ, ผู้หญิง, ศิลปินแห่งชาติ, หญิงสาว, เพลงลาวคำหอม, แสงจันทร์",4,2,0,"ผู้หญิง, ศิลปินแห่งชาติ",
ฟ้อนเจิง,"ภาคเหนือ, ล้านนา","ต่อสู้, ภาคเหนือ, ล้านนา",2,1,0,ต่อสู้,
ฟ้อนดวงเดือน,"การเกี้ยวพาราสี, ชายหนุ่ม, พระนิพนธ์, หญิงสาว, เพลงอัตราจังหวะสองชั้น","การเกี้ยวพาราสี, ชายหนุ่ม, พระนิพนธ์, หญิงสาว, เพลงอัตราจังหวะสองชั้น",5,0,0,,
ฟ้อนที,"ดนตรีพื้นบ้าน, ภาคเหนือ, แม่ฮ่องสอน","ดนตรีพื้นบ้าน, ภาคเหนือ, แม่ฮ่องสอน",3,0,0,,
ฟ้อนเทียน,"กลางคืน, จุดไฟ, ภาคเหนือ, หญิงสาว","กลางคืน, จุดไฟ, ภาคเหนือ, หญิงสาว",4,0,0,,
ฟ้อนผาง,"จุดไฟ, ผางประทีป, ผู้แสดง, ภาคเหนือ, ภาชนะดินเผา, ล้านนา","จุดไฟ, ผางประทีป, ผู้แสดง, ภาคเหนือ, ภาชนะดินเผา, ล้านนา",6,0,0,,
ฟ้อนมาลัย,"กรมศิลปากร, ข้าหลวง, นางพญาคำปิน, พญาผานอง, พระชายา, พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว, ราชสำนัก, ละครพันทาง, อาจารย์, เจ้าดารารัศมี, เชียงใหม่, เพลงฟ้อนดวงดอกไม้, เพลงสำเนียงลาว, โรงละครแห่งชาติ","กรมศิลปากร, ข้าหลวง, นางพญาคำปิน, ผู้หญิง, พญาผานอง, พระชายา, พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว, พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว, ราชสำนัก, ละครพันทาง, อาจารย์, เจ้าดารารัศมี, เชียงใหม่, เพลงฟ้อนดวงดอกไม้, เพลงสำเนียงลาว, โรงละครแห่งชาติ",14,2,0,"ผู้หญิง, พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว",
ฟ้อนรัก,"ท้าวพิชัยพิษณุกร, นางรื่น, นางโรย, นายขวัญ, นายแก้ว, พระนิพนธ์, พระพี่เลี้ยง, พระลอ, พระเจ้าบรมวงศ์เธอกรมพระนราธิปประพันธ์พงศ์, พระเพื่อน, พระแพง, ละครพันทาง, ลิลิตพระลอ, แมนสรวง","ท้าวพิชัยพิษณุกร, นางรื่น, นางโรย, นายขวัญ, นายแก้ว, พระนิพนธ์, พระพี่เลี้ยง, พระลอ, พระเจ้าบรมวงศ์เธอกรมพระนราธิปประพันธ์พงศ์, พระเพื่อน, พระแพง, ละครพันทาง, ลิลิตพระลอ, แมนสรวง",14,0,0,,
ฟ้อนเล็บ,"ผู้มาเยือน, ผู้แสดง, ภาคเหนือ, สีทอง","ผู้มาเยือน, ผู้แสดง, ภาคเหนือ, สีทอง",4,0,0,,
ฟ้อนสาวไหม,"ดนตรีพื้นบ้าน, ทอผ้า, ผ้าไหม, ภาคเหนือ, สะล้อ","ดนตรีพื้นบ้าน, ทอผ้า, ผ้าไหม, ภาคเหนือ, สะล้อ, เครื่องดนตรี, เครื่องดนตรีพื้นบ้าน",5,2,0,"เครื่องดนตรี, เครื่องดนตรีพื้นบ้าน",
ระบำเก็บใบชา,"การเก็บใบชา, ชาวพื้นเมือง, ชาวเขา, ผึ่งแดด, ผู้แสดง, ภาคเหนือ, ใบชา, ไหล่เขา","การเก็บใบชา, การเดินทาง, งานรื่นเริง, ชาวพื้นเมือง, ชาวเขา, ผึ่งแดด, ผู้แสดง, ภาคเหนือ, ใบชา, ไหล่เขา",8,2,0,"การเดินทาง, งานรื่นเริง",
กระทบสากหรือกระทบไม้,"กระทบไม้, ชาวไทย, นิสัย, พระจันทร์, ภาคอีสาน, สากตำข้าว, สุรินทร์, เครื่องประกอบจังหวะ, เต้นสาก","กระทบไม้, การเกี้ยวพาราสี, ชาวไทย, นิสัย, พระจันทร์, ภาคอีสาน, สากตำข้าว, สุรินทร์, อีสาน, เครื่องประกอบจังหวะ, เต้นสาก",9,2,0,"การเกี้ยวพาราสี, อีสาน",
เซิ้งกระติบข้าว,"กระบวนท่ารำ, การดีด, การปั้น, ข้าวเหนียว, ชาวภูไท, ที่รัก, หญิงสาว","กระบวนท่ารำ, การดีด, การปั้น, ข้าวเหนียว, ชาวภูไท, ที่รัก, ท่าทาง, หญิงสาว",7,1,0,ท่าทาง,
เซิ้งตังหวาย,"การขับร้อง, ลำตังหวาย, แม่น้ำโขง","การขับร้อง, ลำตังหวาย, แม่น้ำโขง",3,0,0,,
เซิ้งไทภูเขา,"การเดินทาง, ขอขมา, ชาวภูไท, ชาวไทย, ผีภู, ภูเขา, ย่านาง, วัตถุดิบ, หน่อไม้, เจ้าที่เจ้าทาง, เทือกเขาภูพาน, ไทภูเขา","การเดินทาง, ขอขมา, ชาวภูไท, ชาวไทย, ผีภู, ภูเขา, ย่านาง, วัตถุดิบ, หน่อไม้, เจ้าที่เจ้าทาง, เทือกเขาภูพาน, ไทภูเขา",12,0,0,,
เซิ้งโปงลาง,"ชายหนุ่ม, ผู้แสดง, สังสรรค์, หญิงสาว, เครื่องดนตรี, โปงลาง","การเกี้ยวพาราสี, ชายหนุ่ม, ผู้แสดง, สังสรรค์, หญิงสาว, เครื่องดนตรี, โปงลาง",6,1,0,การเกี้ยวพาราสี,
เซิ้งสวิง,"กระบวนท่ารำ, การจับปลา, ผู้แสดง, สัตว์น้ำ, หยอกล้อ","กระบวนท่ารำ, การจับปลา, การประกอบอาชีพ, ท่าทาง, ผู้แสดง, ภาคตะวันออกเฉียงเหนือ, สัตว์น้ำ, หยอกล้อ",5,3,0,"การประกอบอาชีพ, ท่าทาง, ภาคตะวันออกเฉียงเหนือ",
ฟ้อนภูไท,"กาฬสินธุ์, ชาวภูไท, ดินแดน, นครพนม, มุกดาหาร, สกลนคร, สายสืบ, สีแดง, เทือกเขาภูพาน, แม่น้ำโขง","กาฬสินธุ์, ชาวภูไท, ดินแดน, นครพนม, มุกดาหาร, สกลนคร, สัตว์น้ำ, สายสืบ, สีแดง, เทือกเขาภูพาน, แม่น้ำโขง",10,1,0,สัตว์น้ำ,
ฟ้อนภูไท 3 เผ่า,"การเกี้ยวพาราสี, กาฬสินธุ์, ชาวภูไท, ต่อสู้, นครพนม, ผู้แสดง, มวยโบราณ, สกลนคร, เทือกเขาภูพาน","การเกี้ยวพาราสี, กาฬสินธุ์, ชาวภูไท, ต่อสู้, นครพนม, ผู้แสดง, มวยโบราณ, สกลนคร, เชิงมวย, เทือกเขาภูพาน",9,1,0,เชิงมวย,
ฟ้อนหมากกั๊บแก๊บลำเพลิน,"การขับร้อง, ดนตรีพื้นบ้าน, ฟันปลา, ภาคอีสาน, หยอกล้อ, อีสาน, เครื่องดนตรี, ไม้ยาว, ไม้สั้น","การขับร้อง, การรบ, ดนตรีพื้นบ้าน, ฟันปลา, ภาคอีสาน, ลำเพลิน, สัตว์น้ำ, หมากกั๊บแก๊บ, หยอกล้อ, อีสาน, เครื่องดนตรี, ไม้ยาว, ไม้สั้น",9,4,0,"การรบ, ลำเพลิน, สัตว์น้ำ, หมากกั๊บแก๊บ",
การแสดงโขนเรื่องรามเกียรติ์ ชุดยกรบ,"กรุงลงกา, กองทัพ, การขึ้นลอย, การรบ, ชั้นเชิง, ทศกัณฐ์, พระราม, พระลักษมณ์","กรุงลงกา, กองทัพ, การขึ้นลอย, การรบ, ชั้นเชิง, ทศกัณฐ์, พระราม, พระลักษมณ์, วานร, สงคราม, สีน้ำเงิน, ไพร่พล",8,4,0,"วานร, สงคราม, สีน้ำเงิน, ไพร่พล",
การแสดงโขนเรื่องรามเกียรติ์ ตอน  จองถนน,"กรุงลงกา, จองถนน, ชามพูวราช, ทะเล, นิมิต, พระราม, พระเมรุ, พลลิง, วิดน้ำ, สมควร, สำเภา, อาสา, เมืองขีดขิน, เมืองชมพู","กรุงลงกา, ขีดขิน, จองถนน, ชามพูวราช, ทะเล, นิมิต, พระราม, พระเมรุ, พลลิง, วานร, วิดน้ำ, สมควร, สำเภา, อาสา, เมืองขีดขิน, เมืองชมพู, ไพร่พล",14,3,0,"ขีดขิน, วานร, ไพร่พล",
การแสดงโขนเรื่องรามเกียรติ์ ตอน  นารายณ์ปราบนนทก,"นนทก, นิ้วเพชร, พระนารายณ์, พระอิศวร, รับใช้, เขาไกลลาศ, เทวดา","นนทก, นิ้วเพชร, พระนารายณ์, พระศิวะ, พระอิศวร, รับใช้, เขาไกลลาศ, เทวดา",7,1,0,พระศิวะ,
การแสดงโขนเรื่องรามเกียรติ์ ตอน  ศึกแสงอาทิตย์,"กองทัพ, ทศกัณฐ์, พญาขร, พระพรหม, พระราม, พิเภก, มังกรกัณฐ์, อนุชา, อุบาย, แว่นแก้วสุรกานต์, แสงอาทิตย์, โอรส","กองทัพ, การรบ, การศึก, ทศกัณฐ์, พญาขร, พระพรหม, พระราม, พิเภก, มังกรกัณฐ์, อนุชา, อุบาย, แว่นแก้วสุรกานต์, แสงอาทิตย์, โอรส",12,2,0,"การรบ, การศึก",
การแสดงโขนเรื่องรามเกียรติ์ ตอน  หนุมานชาญสมร,"กรุงลงกา, กองทัพ, การให้กำเนิด, กุณฑล, ขนเพชร, จำกาย, ทหารเอก, บิดา, ฝากตัว, พระนารายณ์, พระพาย, พระราม, พระอิศวร, พละกำลัง, พลับพลา, รับใช้, วานร, สวามิภักดิ์, หนุมาน, อวตาร, เขี้ยวแก้ว","กรุงลงกา, กองทัพ, การให้กำเนิด, กุณฑล, ขนเพชร, จำกาย, ทหารเอก, นางสวาหะ, บิดา, ฝากตัว, พระนารายณ์, พระพาย, พระราม, พระศิวะ, พระอิศวร, พละกำลัง, พลับพลา, รับใช้, วานร, สวามิภักดิ์, หนุมาน, อวตาร, เขี้ยวแก้ว",21,2,0,"นางสวาหะ, พระศิวะ",
การแสดงโขนเรื่องรามเกียรติ์ ตอน กุมภกรรณพุ่งหอกโมกขศักดิ์,"กรุงลงกา, การศึก, กุมภกรรณ, ขับไล่, ดำรงตำแหน่ง, ทศกัณฐ์, นางสีดา, พระพรหม, พระราม, มัยราพณ์, ยุติธรรม, รับอาสา, ร้ายกาจ, สัจจะ, หอกโมกขศักดิ์, อนุชา, อุปราช","กรุงลงกา, การยุติ, การศึก, กุมภกรรณ, ขับไล่, ดำรงตำแหน่ง, ทศกัณฐ์, นางสีดา, พระพรหม, พระราม, มัยราพณ์, ยุติธรรม, รับอาสา, ร้ายกาจ, สงคราม, สัจจะ, สีน้ำเงิน, หอกโมกขศักดิ์, อนุชา, อาสา, อุปราช",17,4,0,"การยุติ, สงคราม, สีน้ำเงิน, อาสา",
การแสดงโขนเรื่องรามเกียรติ์ ตอน ขับพิเภก,"กรุงลงกา, กะลา, การศึก, จุดไฟ, ทศกัณฐ์, ทำนาย, ทิศตะวันตก, ทิศตะวันออก, นางสีดา, น้ำมันยาง, ปราชัย, พระญาติ, พระราม, พระลาน, พิเภก, รับใช้, ร้อนแรง, สมบัติ, สะเดาะเคราะห์, สำมนักขา, ให้ร้าย, ไฟไหม้, ไส้กะลา","กรุงลงกา, กะลา, การศึก, ขับไล่, จุดไฟ, ตะวันตก, ทศกัณฐ์, ทำนาย, ทิศตะวันตก, ทิศตะวันออก, นางสีดา, น้ำมันยาง, ปราชัย, พระญาติ, พระราม, พระลาน, พิเภก, รับใช้, ร้อนแรง, สมบัติ, สะเดาะเคราะห์, สำมนักขา, ให้ร้าย, ไฟไหม้, ไส้กะลา",23,2,0,"ขับไล่, ตะวันตก",
การแสดงโขนเรื่องรามเกียรติ์ ตอน นางลอย,"กรุงลงกา, กองทัพ, ทศกัณฐ์, ทำนาย, นางสีดา, พระราม, พลับพลา, พิเภก, สงคราม, สะเดาะเคราะห์, เบญกาย","กรุงลงกา, กองทัพ, การยุติ, การศึก, ทศกัณฐ์, ทำนาย, นางสีดา, พระราม, พลับพลา, พิเภก, สงคราม, สะเดาะเคราะห์, สีน้ำเงิน, เบญกาย, แหล่งน้ำ",11,4,0,"การยุติ, การศึก, สีน้ำเงิน, แหล่งน้ำ",
การแสดงโขนเรื่องรามเกียรติ์ ตอน พระรามตามกวาง,"กวางทอง, กากนาสูร, ทศกัณฐ์, นางสีดา, พระยา, พระราม, มารีศ, แปลงกาย","กวางทอง, กากนาสูร, ทศกัณฐ์, นางสีดา, พระยา, พระราม, มารีศ, อุบาย, แปลงกาย",8,1,0,อุบาย,
การแสดงโขนเรื่องรามเกียรติ์ ตอน ลักสีดา,"กรุงลงกา, กวางทอง, ขอความช่วยเหลือ, คำบอกเล่า, จำกาย, ทศกัณฐ์, นางสีดา, พระราม, พระลักษมณ์, มารีศ, ฤาษี, สำมนักขา","กรุงลงกา, กวางทอง, ขอความช่วยเหลือ, คำบอกเล่า, จำกาย, ทศกัณฐ์, นางสีดา, พระราม, พระลักษมณ์, มารีศ, ฤาษี, สำมนักขา, สีแดง",12,1,0,สีแดง,
การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกพรหมาสตร์,"กองทัพ, การุณราช, กาลสูร, ช้างเอราวัณ, ทศกัณฐ์, นางฟ้า, พระราม, พระอินทร์, มังกรกัณฐ์, รุทการ, สังหาร, สิ้นชีวิต, หลงกล, อินทรชิต, เทวดา, แปลงกาย, แสงอาทิตย์, ไพร่พล","กองทัพ, การศึก, การุณราช, กาลสูร, ช้างเอราวัณ, ทศกัณฐ์, นางฟ้า, พรหมาสตร์, พระราม, พระอินทร์, มังกรกัณฐ์, รุทการ, สังหาร, สิ้นชีวิต, หลงกล, อินทรชิต, เทวดา, แปลงกาย, แสงอาทิตย์, ไพร่พล",18,2,0,"การศึก, พรหมาสตร์",
การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกวิรุญจำบัง,"กรุงลงกา, จารึก, ทศกัณฐ์, ท้าวลัสเตียน, ท้าวสัทธาสูร, นางสีดา, นิลพาหุ, น้องชาย, บิดา, พญาทูษณ์, พระราม, มารดา, รัชฎา, รับอาสา, หายตัว, เจ้าเมือง, โอรส","กรุงลงกา, การศึก, จารึก, ทศกัณฐ์, ท้าวลัสเตียน, ท้าวสัทธาสูร, นางสีดา, นิลพาหุ, น้องชาย, บิดา, พญาทูษณ์, พระราม, มารดา, รัชฎา, รับอาสา, วานร, วิรุญจำบัง, สงคราม, สัทธาสูร, สีน้ำเงิน, หายตัว, อาสา, เจ้าเมือง, โอรส",17,7,0,"การศึก, วานร, วิรุญจำบัง, สงคราม, สัทธาสูร, สีน้ำเงิน, อาสา",
การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกวิรุญมุข,"ขัดตาทัพ, ข่ายเหล็ก, ชามพูวราช, ทศกัณฐ์, พระราม, พระลักษมณ์, พลลิง, พิเภก, มังกรกัณฐ์, รับอาสา, วิรุญจำบัง, วิรุญมุข, ศรนาคบาศ, สมรภูมิ, หนุมาน, หายตัว, อินทรชิต, เขาอังกาศ, เดินอากาศ, โอรส","การรบ, การศึก, ขัดตาทัพ, ข่ายเหล็ก, ชามพูวราช, ทศกัณฐ์, พระราม, พระลักษมณ์, พลลิง, พิเภก, มังกรกัณฐ์, รับอาสา, วิรุญจำบัง, วิรุญมุข, ศรนาคบาศ, สมรภูมิ, หนุมาน, หายตัว, อาสา, อินทรชิต, เขาอังกาศ, เดินอากาศ, โอรส",20,3,0,"การรบ, การศึก, อาสา",
