ลำดับ,ชื่อชุดการแสดง,words
12,ผืนไท,"กรมศิลปากร, กะลา, การรบ, ขั้นพื้นฐาน, ธงไทย, นักษัตร, บิดา, พระชายา, พระมหากษัตริย์, พระอุมา, พาลี, ภาคกลาง, ภาคใต้, มรกต, ร่มเย็น, สังสรรค์, สีน้ำเงิน, สีแดง, ออกรบ, อาณาประชาราษฎร์, อาสา, เชื้อชาติ"
13,พนาธาร,"ขั้นพื้นฐาน, บิดา, ผูกพัน, สังสรรค์, สีน้ำเงิน, สีแดง"
14,ฟ้อนขันดอก,"กระบวนท่ารำ, การแปร, ขันดอก, ชาวเหนือ, ช่อดอกไม้, ดอกไม้เงิน, นานาชาติ, ภาคเหนือ, ล้านนา, สีน้ำเงิน, สีแดง, หน่อไม้, แหล่งน้ำ"
15,ฟ้อนลีลาวดี,"การรบ, ตารี, ต้นลีลาวดี, ต้นไม้, ทัพหน้า, บิดา, พระลอ, พระอุมา, พระอุโบสถ, ร่มเย็น, วังหน้า, สังสรรค์, สีน้ำเงิน, สีแดง, สุทธาวาส, เครื่องดนตรี, แหล่งน้ำ"
16,ระบำม้า,"กระทบไม้, กะลา, การเดินทาง, จับระบำ, พระนารายณ์, มโนราห์, ระบำมาตรฐาน, รำเดี่ยว, สีแดง, หลงกล, อสูร, อาสา, เชษฐา, แปลงกาย, ไทยทรงดำ"
17,ระบำอยุธยา,"จับระบำ, มโนราห์, ระบำโบราณคดี, ศิลปหัตถกรรม, ศิลปินแห่งชาติ, สังคีตศิลป์, สีน้ำเงิน, สีแดง, องคต, อยุธยา, เป็นครั้งแรก"
18,รับขวัญข้าว,"กะลา, การทำขวัญ, จารีตประเพณี, ชาวนา, ตารี, ต่อสู้, ธัญญาหาร, นายขวัญ, บิดา, บูชาครู, ผู้มีพระคุณ, พระคเณศ, พืชพรรณ, มรกต, รจนา, รุ่นหลัง, สวามี, สะล้อ, สังสรรค์, สีน้ำเงิน, สีแดง, หล่อเลี้ยง, อสูร, อาสา, อีสาน, ใบชา, ไทยทรงดำ"
19,ล่องใต้,"การประกอบอาชีพ, การรบ, การแปร, ความสำนึก, ดินแดน, บิดา, ภาคใต้, สะล้อ, สังสรรค์, สีน้ำเงิน, สีแดง, องคต, แหล่งน้ำ"
20,ลายเกราะ,"กะลา, ดนตรีพื้นบ้าน, ตารี, บิดา, ปางลีลา, พระลอ, พาลี, ภาคอีสาน, มลายู, ลายเส้น, สัตว์น้ำ, สีน้ำเงิน, สีแดง, อาสา, อีสาน, เกราะลอ, เครื่องดนตรี, เครื่องดนตรีพื้นบ้าน, แหล่งน้ำ"
21,ลีลาหมากแก๊ป,"การปั้น, ข้าหลวง, ความสำนึก, ชาวบ้าน, ดนตรีพื้นบ้าน, ตารี, ทหารเอก, บิดา, ปางลีลา, ภาคอีสาน, มรดกภูมิปัญญาทางวัฒนธรรม, สีทอง, สีน้ำเงิน, สีแดง, หญิงสาว, หมากกั๊บแก๊บ, องคต, อาสา, อีสาน, เครื่องดนตรี, เครื่องดนตรีพื้นบ้าน, เครื่องประกอบจังหวะ, เครื่องประดับ, ไม้ยาว, ไม้สั้น"
22,วิรัชสราญรมย์,"การปั้น, กุลสตรี, ตะวันตก, ตารี, ทะเล, ทิศตะวันตก, ท่าทาง, ธงไทย, นานาชาติ, นิสัย, บิดา, พาลี, รัชฎา, สีแดง, เพลงกลม, เพลงชาวไทย, เพลงสากล, เพลงอัตราจังหวะสองชั้น, เพลงไทย, แปลงกาย, แหล่งน้ำ"
23,สยามภารตะ,"กระบวนท่ารำ, กองไฟ, การหลอมรวม, การไถ, ดินแดน, ทะเล, ธงไทย, นาฏศิลป์อินเดีย, ภารตนาฏยัม, รจนา, ราชสำนัก, วานร, สีแดง, อารยธรรม, อินเดีย, เพลงไทย, โอดิสสี, ไทยทรงดำ"
24,สักการะเทวราช,"กรุงรัตนโกสินทร์, การรบ, งานประติมากรรม, ตำรา, นักษัตร, นาฏกรรม, นิสัย, บิดา, พระจันทร์, พระพุทธรูป, พระมหากษัตริย์, พระยา, พระราชพิธี, พระราม, พระลอ, พระศิวะ, พระอินทร์, พระอิศวร, พระอุมา, มหรสพ, มโนราห์, ราชสำนัก, ลายเส้น, วานร, วานรินทร์, สวามี, สังสรรค์, สีแดง, สุรินทร์, องคต, อยุธยา, อินทรชิต, อินทราภิเษก, เครื่องประดับ, เทวดา, เรื่องใหญ่, แต่งกายยืนเครื่องพระ, แปลงกาย, แหล่งน้ำ, ใบชา, ไทยทรงดำ, ไทยอมรินทร์"
25,ออเจ้าชาวกรุงศรี,"การนุ่งห่ม, กุลสตรี, ขบวนแห่, ตารี, บิดา, มารดา, มโนราห์, ราชสำนัก, ร้ายกาจ, วานร, สีน้ำเงิน, สีแดง, สุรินทร์, เครื่องประดับ"
26,พลองไม้สั้น,"กระทุ้ง, กระบวนท่ารำ, การดีด, การปั้น, การศึก, ขั้นพื้นฐาน, ความว่องไว, จารึก, ตัวต่อตัว, ตารี, ตีลังกา, ต่อสู้, ธงไทย, ประชิดตัว, ผู้แสดง, พระลอ, มโนราห์, ลอยกระทง, ลูกไม้, สัตว์น้ำ, สีน้ำเงิน, สีแดง, อสูร, อาสา, เพลงอัตราจังหวะสองชั้น, แหล่งน้ำ, ไม้สั้น"
27,มวยคาดเชือก,"กระบวนท่ารำ, การศึก, ความคล่องแคล่ว, จารึก, ต่อสู้, ผู้แสดง, มวยโบราณ, มวยไทย, มัยราพณ์, มโนราห์, รับอาสา, รับใช้, สมัยโบราณ, สัตว์น้ำ, สีแดง, องคต, อสูร, แม่ไม้มวย, แหล่งน้ำ"
28,ระบำชาวนา,"การประกอบอาชีพ, การรบ, การแปร, การไถ, จับระบำ, ชาวนา, ชาวเขา, ผู้แสดง, รำเดี่ยว, วานร, สะล้อ, สีน้ำเงิน, สีแดง, ใบชา"
29,รำเถิดเทิง,"กลองยาว, การตีกลอง, งานรื่นเริง, ตารี, นางรื่น, ยั่วเย้า, วานร, สีแดง, หยอกล้อ, เถิดเทิง, แหล่งน้ำ"
30,รำวงมาตรฐาน,"กระบวนท่ารำ, กลางคืน, กะลา, การรบ, งานรื่นเริง, ชาวภูไท, ชาวไทย, ดอกไม้เงิน, ตำรา, ทะเล, ที่รัก, ธงไทย, นางรื่น, น้องชาย, บูชายัญ, ภาคกลาง, ระบำมาตรฐาน, รำมาตรฐาน, วานร, สีแดง, เพลงกลม, เพลงคืนเดือนหงาย, เพลงงามแสงเดือน, เพลงฉิ่ง, เพลงชาวไทย, เพลงดวงจันทร์ขวัญฟ้า, เพลงดวงจันทร์วันเพ็ญ, เพลงดอกไม้ของชาติ, เพลงบูชานักรบ, เพลงยอดชายใจหาญ, เพลงรำซิมารำ, เพลงหญิงไทยใจงาม, เพลงเร็ว, เพลงไทย, แสงจันทร์, แหล่งน้ำ, ใบชา, ไทยทรงดำ"
31,รำสีนวล,"การขับร้อง, กุลสตรี, ตารี, ทะเล, พระลักษมณ์, สีน้ำเงิน, สีแดง, เกราะลอ"
32,โนรา,"การขับร้อง, การรบ, กินรี, ชาวภูไท, ชาวไทย, ทะเล, บูชาครู, ภาคใต้, มรกต, มรดกภูมิปัญญาทางวัฒนธรรม, มีแบบแผน, มโนราห์, ยูเนสโก, วานร, สมรภูมิ, สวัสดิมงคล, สีน้ำเงิน, สีแดง, เพลงชาวไทย, ใบชา"
33,รองเง็ง,"กลองยาว, การเดินทาง, ค้าขาย, งานรื่นเริง, ชายแดน, ชาวภูไท, ชาวไทย, ตะวันตก, ทะเล, ทิศตะวันตก, ท่าทาง, ธงไทย, นางรื่น, น้องชาย, น้องสาว, ผู้แสดง, ภาคใต้, มลายู, วานร, สีแดง, หญิงสาว, เพลงชาวไทย, แหล่งน้ำ, โปรตุเกส, ใบชา"
34,ระบำตารีกีปัส,"จับระบำ, ชาวพื้นเมือง, ตะวันตก, ตารี, ตารีกีปัส, ทิศตะวันตก, ธงไทย, ผู้แสดง, ภาคใต้, ระบำมาตรฐาน, สีน้ำเงิน, สีแดง, เกราะลอ, เครื่องดนตรี, เครื่องดนตรีตะวันตก, เครื่องดนตรีพื้นบ้าน, เครื่องประกอบจังหวะ, เครื่องประดับ, เพลงไทย"
35,ระบำตารีบุหงา,"กระบวนท่ารำ, ของที่ระลึก, งานแต่งงาน, จับระบำ, ชาวภูไท, ชาวไทย, ช่อดอกไม้, ตารี, ตารีบุหงา, น้องชาย, บิดา, ผู้แสดง, พื้นบ้านภาคใต้, ภาคใต้, มลายู, มุสลิม, ระบำมาตรฐาน, รำลึก, สีแดง, หน่อไม้, องคต, เพลงชาวไทย, เรื่องใหญ่, แปลงกาย, แหล่งน้ำ, ไทยดุสิต"
36,ระบำร่อนแร่,"การประกอบอาชีพ, การรบ, การร่อนแร่, การเดินทาง, การแปร, งานรื่นเริง, จับระบำ, ตารี, ธงไทย, นางรื่น, ภาคใต้, รจนา, ร่มเย็น, ร้อนแรง, วานร, สีน้ำเงิน, สีแดง, หญิงสาว, เครื่องประกอบจังหวะ, แหล่งน้ำ"
37,กลองสะบัดชัย,"กรมศิลปากร, กลองยาว, กลองสะบัดชัย, การตีกลอง, การรบ, การศึก, ขบวนแห่, ข้าศึก, ความคล่องแคล่ว, ความว่องไว, ชาวบ้าน, ชาวเหนือ, ตารี, ท่าทาง, ธงไทย, นนทก, นิมิต, พิธีทางศาสนา, ภาคเหนือ, รังควาญ, ล้านนา, สงคราม, สีทอง, สีน้ำเงิน, สีแดง, องคต, อสูร, ออกรบ, อาสา, แหล่งน้ำ, โลดโผน"
38,ฟ้อนจันทราพาฝัน,"กวางทอง, การขับร้อง, การปั้น, ชาวนา, ชาวเหนือ, ผู้หญิง, ภาคเหนือ, มโนราห์, ศิลปินแห่งชาติ, สีน้ำเงิน, หญิงสาว, ออกรบ, เพลงกลม, เพลงลาวคำหอม, เพลงอัตราจังหวะสองชั้น, แสงจันทร์, แหล่งน้ำ"
39,ฟ้อนเจิง,"การปั้น, ชาวบ้าน, ชาวเหนือ, ต่อสู้, ธงไทย, นนทก, น้องชาย, น้องสาว, ภาคเหนือ, ล้านนา, สีแดง, อสูร, แหล่งน้ำ"
40,ฟ้อนดวงเดือน,"การปั้น, การเกี้ยวพาราสี, ชายหนุ่ม, ตำรา, น้องชาย, พระนิพนธ์, วานร, สีทอง, สีแดง, หญิงสาว, เทพเจ้า, เพลงสำเนียงลาว, เพลงอัตราจังหวะสองชั้น, เพลงไทย, แหล่งน้ำ"
41,ฟ้อนที,"ชาวเหนือ, ดนตรีพื้นบ้าน, ตารี, ธงไทย, พื้นบ้านภาคใต้, ภาคเหนือ, ร่มเย็น, เครื่องดนตรีพื้นบ้าน, แม่ฮ่องสอน, แหล่งน้ำ"
42,ฟ้อนเทียน,"กลางคืน, กะลา, การปั้น, จุดไฟ, ชาวเหนือ, ภาคกลาง, ภาคเหนือ, ร้อนแรง, สีแดง, หญิงสาว, อินเดีย, แหล่งน้ำ"
43,ฟ้อนผาง,"จุดไฟ, ชาวบ้าน, ชาวเหนือ, ธงไทย, นนทก, น้องชาย, น้องสาว, ผางประทีป, ผู้แสดง, ภาคเหนือ, ภาชนะดินเผา, มวยโบราณ, มารดา, มโนราห์, ล้านนา, วานร, สมัยโบราณ, สีแดง, เอาชนะ, แหล่งน้ำ, โบราณสถาน"
44,ฟ้อนมาลัย,"กรมศิลปากร, กะลา, การขับร้อง, การปั้น, ข้าหลวง, ความสำนึก, ดอกไม้เงิน, ตารี, ตำรา, นางพญาคำปิน, นางฟ้า, นางรื่น, ผู้หญิง, พญาผานอง, พระชายา, พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว, พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว, พระพาย, พระยา, ราชสำนัก, รำเดี่ยว, ละครนอก, ละครพันทาง, สำนึก, สีน้ำเงิน, สีแดง, อาจารย์, อาสา, อินเดีย, อเนก, เจ้าดารารัศมี, เชียงใหม่, เพลงกลม, เพลงฟ้อนดวงดอกไม้, เพลงสำเนียงลาว, เรื่องใหญ่, แหล่งน้ำ, โรงละครแห่งชาติ, ไทยทรงดำ"
45,ฟ้อนรัก,"การขับร้อง, จับนาง, ท้าวพิชัยพิษณุกร, นักษัตร, นางรื่น, นางโรย, นาฏกรรม, นายขวัญ, นายแก้ว, บิดา, พระนิพนธ์, พระพี่เลี้ยง, พระมหากษัตริย์, พระยา, พระราชพิธี, พระราม, พระลอ, พระเจ้าบรมวงศ์เธอกรมพระนราธิปประพันธ์พงศ์, พระเพื่อน, พระแพง, มรกต, มโนราห์, รำลึก, ละครนอก, ละครพันทาง, ลิลิตพระลอ, วานร, สีน้ำเงิน, สีแดง, หล่อเลี้ยง, อสูร, เทพเจ้า, แมนสรวง, แหล่งน้ำ"
46,ฟ้อนเล็บ,"การขับร้อง, การปั้น, ชาวเหนือ, ตารี, ต้นรัง, ธงไทย, ผู้มาเยือน, ผู้แสดง, พลลิง, ภาคเหนือ, ร้อนแรง, สีทอง, สีน้ำเงิน, สีแดง, เพลงกลม, เพลงไทย, แหล่งน้ำ"
47,ฟ้อนสาวไหม,"การปั้น, ชาวเหนือ, ดนตรีพื้นบ้าน, ตารี, ทอผ้า, น้องสาว, ผ้าไหม, พื้นบ้านภาคใต้, ภาคเหนือ, มโนราห์, ร้อนแรง, สะล้อ, สีน้ำเงิน, อาสา, อเนก, เครื่องดนตรี, เครื่องดนตรีพื้นบ้าน, แหล่งน้ำ"
48,ระบำเก็บใบชา,"การปั้น, การเก็บใบชา, การเดินทาง, งานรื่นเริง, จับระบำ, ชาวบ้าน, ชาวพื้นเมือง, ชาวเขา, ชาวเหนือ, ทะเล, ธงไทย, นางรื่น, ผึ่งแดด, ผู้แสดง, ภาคเหนือ, ร่มเย็น, วานร, สีน้ำเงิน, สีแดง, เพลงไทย, แปลงกาย, แหล่งน้ำ, ใบชา, ไทยทรงดำ, ไหล่เขา"
49,กระทบสากหรือกระทบไม้,"กระทบไม้, กระทุ้ง, กลองยาว, การเกี้ยวพาราสี, ชาวพื้นเมือง, ชาวภูไท, ชาวไทย, ตำรา, ทะเล, ธงไทย, นิสัย, พระจันทร์, พระอินทร์, ภาคอีสาน, รจนา, ลำเพลิน, วานร, สากตำข้าว, สีน้ำเงิน, สีแดง, สุรินทร์, อสูร, อาสา, อีสาน, เครื่องประกอบจังหวะ, เครื่องประดับ, เต้นสาก, เพลงชาวไทย, เล่นน้ำ, แหล่งน้ำ, ให้ร้าย"
50,เซิ้งกระติบข้าว,"กระบวนท่ารำ, การดีด, การปั้น, การเดินทาง, กิริยาอาการ, ข้าวเหนียว, งานรื่นเริง, ชาวนา, ชาวพื้นเมือง, ชาวภูไท, ตารี, ที่รัก, ท่าทาง, นนทก, นักษัตร, นางรื่น, รังควาญ, สีน้ำเงิน, สีแดง, หญิงสาว, อาสา, แหล่งน้ำ, ใบชา"
51,เซิ้งตังหวาย,"กะลา, การขับร้อง, การจับปลา, การปั้น, ตารี, ธงไทย, มโนราห์, รจนา, ร้อนแรง, ลำตังหวาย, สังสรรค์, สีน้ำเงิน, สีแดง, เต้นสาก, แม่น้ำโขง, แหล่งน้ำ"
52,เซิ้งไทภูเขา,"การประกอบอาชีพ, การเก็บใบชา, การเดินทาง, ขอขมา, จิตรกรรม, ชาวภูไท, ชาวไทย, ผีภู, ภูเขา, ย่านาง, วัตถุดิบ, สีแดง, หน่อไม้, อสูร, อาสา, เจ้าที่เจ้าทาง, เทพเจ้า, เทือกเขาภูพาน, เมขลา, แหล่งน้ำ, ไทภูเขา"
53,เซิ้งโปงลาง,"การเกี้ยวพาราสี, การเดินทาง, งานรื่นเริง, ชายหนุ่ม, ตารี, ตีลังกา, นนทก, น้องชาย, ผู้แสดง, มารดา, วานร, สังสรรค์, สีแดง, หญิงสาว, หลักฐาน, หลักราชการ, เครื่องดนตรี, เครื่องดนตรีตะวันตก, เครื่องดนตรีพื้นบ้าน, แหล่งน้ำ, โปงลาง"
54,เซิ้งสวิง,"กระบวนท่ารำ, การจับปลา, การประกอบอาชีพ, การปั้น, ความสำนึก, ชาวพื้นเมือง, ตะวันตก, ตารี, ทิศตะวันออก, ท่าทาง, นนทก, ผู้หญิง, ผู้แสดง, พลับพลา, พาลี, ภาคตะวันออกเฉียงเหนือ, สัตว์น้ำ, สีน้ำเงิน, สีแดง, หญิงสาว, หยอกล้อ, เจ้าหญิง, แหล่งน้ำ"
55,ฟ้อนภูไท,"การยุติ, การรบ, กาฬสินธุ์, งานรื่นเริง, ชาวภูไท, ดินแดน, นครพนม, นนทก, นักษัตร, นางรื่น, มุกดาหาร, สกลนคร, สัตว์น้ำ, สายสืบ, สีน้ำเงิน, สีแดง, อาสา, เทือกเขาภูพาน, แม่น้ำโขง, แหล่งน้ำ, ไทยทรงดำ"
56,ฟ้อนภูไท 3 เผ่า,"การปั้น, การเกี้ยวพาราสี, กาฬสินธุ์, ชาวภูไท, ต่อสู้, นครพนม, น้องชาย, ปางลีลา, ปูนปั้น, ผู้แสดง, มวยโบราณ, มโนราห์, ร้อนแรง, ละครนอก, วานร, สกลนคร, สมัยโบราณ, สีทอง, สีแดง, อสูร, เชิงมวย, เทือกเขาภูพาน"
57,ฟ้อนหมากกั๊บแก๊บลำเพลิน,"กะลา, การขับร้อง, การปั้น, การรบ, ความสำนึก, ดนตรีพื้นบ้าน, ตารี, น้องชาย, น้องสาว, ผู้หญิง, ฟันปลา, ภาคอีสาน, ลำเพลิน, สัตว์น้ำ, สีน้ำเงิน, สีแดง, หญิงสาว, หมากกั๊บแก๊บ, หยอกล้อ, อาสา, อีสาน, เครื่องดนตรี, เครื่องดนตรีตะวันตก, เครื่องดนตรีพื้นบ้าน, เครื่องประกอบจังหวะ, เจ้าหญิง, เทพเจ้า, เล่นน้ำ, แหล่งน้ำ, ไม้ยาว, ไม้สั้น"
58,กราววีรชัยยักษ์,"กระบวนท่ารำ, กราววีรชัยลิง, กองทัพ, การปั้น, การยุติ, ความพร้อมเพรียง, จัดทัพ, ท่าทาง, พละกำลัง, รังควาญ, ร้ายกาจ, สีน้ำเงิน, สีแดง, เต้นสาก"
59,กราววีรชัยลิง,"กราววีรชัยลิง, กองทัพ, การยุติ, การรบ, กิริยาอาการ, ความคล่องแคล่ว, ความว่องไว, ซุกซน, ต่อสู้, ท่าทาง, พระพรหม, พระยา, พระราม, วานร, สังสรรค์, สิบแปดมงกุฎ, สีน้ำเงิน, สีแดง, องคต, อสูร, อาสา, แหล่งน้ำ, ไทยทรงดำ"
60,การแสดงโขนเรื่องรามเกียรติ์ ชุดยกรบ,"กระบวนท่ารำ, กรุงลงกา, กวางทอง, กองทัพ, กะลา, การขึ้นลอย, การปั้น, การยุติ, การรบ, การแปร, การไถ, ชั้นเชิง, ตัวต่อตัว, ทศกัณฐ์, พระพรหม, พระยา, พระราม, พระลอ, พระลักษมณ์, รำลึก, วานร, สงคราม, สีน้ำเงิน, สีแดง, องคต, ไพร่พล"
61,การแสดงโขนเรื่องรามเกียรติ์ ตอน  จองถนน,"กรุงลงกา, การปั้น, การยุติ, การรบ, การเดินทาง, การแปร, การไถ, ขีดขิน, จองถนน, ชามพูวราช, ตีลังกา, ทะเล, นิมิต, พระพรหม, พระยา, พระราม, พระเมรุ, พลลิง, มโนราห์, รจนา, วานร, วิดน้ำ, สมควร, สำเภา, สีน้ำเงิน, สีแดง, อาสา, เจ้าเมือง, เมืองขีดขิน, เมืองชมพู, เรื่องใหญ่, แปลงกาย, ไพร่พล"
62,การแสดงโขนเรื่องรามเกียรติ์ ตอน  นารายณ์ปราบนนทก,"กะลา, การปั้น, การยุติ, การรบ, การแปร, การไถ, ทัพหน้า, ที่รัก, นนทก, นิ้วเพชร, ปิดหน้า, ปูนปั้น, พระชายา, พระนารายณ์, พระยา, พระลอ, พระศิวะ, พระอิศวร, มโนราห์, ยักษิณี, รจนา, รับใช้, วังหน้า, วานร, สีน้ำเงิน, สีแดง, องคต, เขาไกรลาส, เขาไกลลาศ, เทวดา"
63,การแสดงโขนเรื่องรามเกียรติ์ ตอน  ศึกแสงอาทิตย์,"กองทัพ, การปั้น, การยุติ, การรบ, การศึก, การแปร, การไถ, ดวงแก้ว, ทศกัณฐ์, นายแก้ว, ปูนปั้น, พญาขร, พระพรหม, พระยา, พระราชพิธี, พระราม, พิเภก, มังกรกัณฐ์, สีน้ำเงิน, สีแดง, องคต, อนุชา, อุบาย, อุษา, เพลงอัตราจังหวะสองชั้น, แว่นแก้วสุรกานต์, แสงอาทิตย์, โอรส"
64,การแสดงโขนเรื่องรามเกียรติ์ ตอน  หนุมานชาญสมร,"กรุงลงกา, กองทัพ, การปั้น, การยุติ, การรบ, การแปร, การให้กำเนิด, การไถ, กุณฑล, ขนเพชร, จำกาย, ฉลองพระองค์, ดวงแก้ว, ตารี, ตำรา, ตีลังกา, ทหารเอก, นางสวาหะ, นางสีดา, นายแก้ว, บิดา, ปิดหน้า, ปูนปั้น, ฝากตัว, พระชายา, พระนารายณ์, พระพรหม, พระพาย, พระยา, พระราม, พระลอ, พระศิวะ, พระอิศวร, พละกำลัง, พลับพลา, มโนราห์, รจนา, รับใช้, วานร, สวามิภักดิ์, สวามี, สีน้ำเงิน, สีแดง, หนุมาน, องคต, อวตาร, อาสา, เขี้ยวแก้ว, แปลงกาย, ให้ร้าย"
65,การแสดงโขนเรื่องรามเกียรติ์ ตอน กุมภกรรณพุ่งหอกโมกขศักดิ์,"กรุงลงกา, การยุติ, การรบ, การศึก, การุณราช, การแปร, การไถ, กุมภกรรณ, ขับไล่, จารึก, ดำรงตำแหน่ง, ทศกัณฐ์, นางสีดา, พระพรหม, พระยา, พระราม, พระสวามี, มรกต, มัยราพณ์, ยุติธรรม, รับอาสา, ร้ายกาจ, สงคราม, สัจจะ, สีน้ำเงิน, สีแดง, หล่อสำริด, หอกโมกขศักดิ์, อนุชา, อาสา, อุปราช, อเนก, แหล่งน้ำ, ไทยทรงดำ"
66,การแสดงโขนเรื่องรามเกียรติ์ ตอน ขับพิเภก,"กรุงลงกา, กลางคืน, กะลา, การขับร้อง, การปั้น, การยุติ, การรบ, การร่อนแร่, การศึก, การแปร, การไถ, ขับไล่, จารึก, จุดไฟ, ชาวเหนือ, ตะวันตก, ตารี, ตำรา, ทศกัณฐ์, ทัพหน้า, ทำนาย, ทิศตะวันตก, ทิศตะวันออก, นางสีดา, นางใน, น้องชาย, น้ำมันยาง, ปราชัย, พญาขร, พระญาติ, พระพรหม, พระยา, พระราม, พระลอ, พระลาน, พลลิง, พิเภก, ภาคเหนือ, มังกรกัณฐ์, รัชฎา, รับใช้, ราชสำนัก, ร้อนแรง, ร้ายกาจ, ลายเส้น, สมบัติ, สวามี, สะเดาะเคราะห์, สำมนักขา, สีน้ำเงิน, สีแดง, หญิงสาว, ออกรบ, เจ้าเมือง, เมืองชมพู, แหล่งน้ำ, ให้ร้าย, ไฟไหม้, ไส้กะลา"
67,การแสดงโขนเรื่องรามเกียรติ์ ตอน นางลอย,"กรุงลงกา, กองทัพ, การยุติ, การรบ, การศึก, การแปร, การไถ, ทศกัณฐ์, ทัพหน้า, ทำนาย, นางสีดา, บิดา, พระพรหม, พระยา, พระราม, พระสวามี, พลับพลา, พิเภก, ย่านาง, ร่มเย็น, วานร, สงคราม, สะเดาะเคราะห์, สีน้ำเงิน, สีแดง, หน้าบัน, เบญกาย, แปลงกาย, แหล่งน้ำ"
