ลำดับ,ชื่อชุดการแสดง,words
14,ฟ้อนขันดอก,"กระบวนท่ารำ, การแปร, ขันดอก, ชาวเหนือ, ช่อดอกไม้, นานาชาติ, ภาคเหนือ, ล้านนา, สีน้ำเงิน, สีแดง, แหล่งน้ำ"
15,ฟ้อนลีลาวดี,"การรบ, ตารี, ต้นลีลาวดี, ต้นไม้, บิดา, พระลอ, พระอุโบสถ, ร่มเย็น, วังหน้า, สังสรรค์, สีน้ำเงิน, สีแดง, สุทธาวาส, แหล่งน้ำ"
16,ระบำม้า,"กะลา, การเดินทาง, มโนราห์, รำเดี่ยว, สีแดง, หลงกล, อสูร, อาสา, เชษฐา, ไทยทรงดำ"
17,ระบำอยุธยา,"มโนราห์, ระบำโบราณคดี, ศิลปหัตถกรรม, ศิลปินแห่งชาติ, สังคีตศิลป์, สีน้ำเงิน, สีแดง, องคต, อยุธยา, เป็นครั้งแรก"
18,รับขวัญข้าว,"กะลา, การทำขวัญ, จารีตประเพณี, ชาวนา, ตารี, ต่อสู้, ธัญญาหาร, บิดา, ผู้มีพระคุณ, พืชพรรณ, มรกต, รจนา, รุ่นหลัง, สวามี, สะล้อ, สังสรรค์, สีน้ำเงิน, สีแดง, หล่อเลี้ยง, อสูร, อาสา, อีสาน, ใบชา, ไทยทรงดำ"
19,ล่องใต้,"การประกอบอาชีพ, การรบ, การแปร, ความสำนึก, ดินแดน, บิดา, ภาคใต้, สะล้อ, สังสรรค์, สีน้ำเงิน, สีแดง, องคต, แหล่งน้ำ"
20,ลายเกราะ,"กะลา, ดนตรีพื้นบ้าน, ตารี, บิดา, พระลอ, พาลี, ภาคอีสาน, มลายู, สัตว์น้ำ, สีน้ำเงิน, สีแดง, อาสา, อีสาน, เกราะลอ, เครื่องดนตรี, เครื่องดนตรีพื้นบ้าน, แหล่งน้ำ"
21,ลีลาหมากแก๊ป,"การปั้น, ความสำนึก, ชาวบ้าน, ดนตรีพื้นบ้าน, ตารี, บิดา, ภาคอีสาน, มรดกภูมิปัญญาทางวัฒนธรรม, สีทอง, สีน้ำเงิน, สีแดง, หญิงสาว, หมากกั๊บแก๊บ, องคต, อาสา, อีสาน, เครื่องดนตรี, เครื่องดนตรีพื้นบ้าน, เครื่องประกอบจังหวะ, เครื่องประดับ, ไม้ยาว, ไม้สั้น"
22,วิรัชสราญรมย์,"ตะวันตก, ตารี, ทะเล, ทิศตะวันตก, ท่าทาง, ธงไทย, นานาชาติ, นิสัย, บิดา, พาลี, รัชฎา, สีแดง, เพลงสากล, เพลงไทย, แหล่งน้ำ"
23,สยามภารตะ,"กระบวนท่ารำ, กองไฟ, การหลอมรวม, การไถ, ดินแดน, ทะเล, ธงไทย, นาฏศิลป์อินเดีย, ภารตนาฏยัม, รจนา, ราชสำนัก, วานร, สีแดง, อารยธรรม, อินเดีย, โอดิสสี, ไทยทรงดำ"
24,สักการะเทวราช,"กรุงรัตนโกสินทร์, การรบ, งานประติมากรรม, ตำรา, นิสัย, บิดา, พระจันทร์, พระพุทธรูป, พระมหากษัตริย์, พระยา, พระราชพิธี, พระราม, พระลอ, พระศิวะ, พระอินทร์, พระอิศวร, มหรสพ, มโนราห์, ราชสำนัก, ลายเส้น, วานร, สวามี, สังสรรค์, สีแดง, สุรินทร์, องคต, อยุธยา, อินทรชิต, อินทราภิเษก, เครื่องประดับ, เทวดา, แต่งกายยืนเครื่องพระ, แหล่งน้ำ, ใบชา, ไทยทรงดำ"
25,ออเจ้าชาวกรุงศรี,"การนุ่งห่ม, กุลสตรี, ตารี, บิดา, มารดา, มโนราห์, ราชสำนัก, วานร, สีน้ำเงิน, สีแดง, สุรินทร์, เครื่องประดับ"
26,พลองไม้สั้น,"กระทุ้ง, กระบวนท่ารำ, การดีด, การปั้น, การศึก, ขั้นพื้นฐาน, ความว่องไว, จารึก, ตัวต่อตัว, ตารี, ต่อสู้, ธงไทย, ประชิดตัว, ผู้แสดง, พระลอ, มโนราห์, ลอยกระทง, ลูกไม้, สัตว์น้ำ, สีน้ำเงิน, สีแดง, อสูร, อาสา, แหล่งน้ำ, ไม้สั้น"
27,มวยคาดเชือก,"กระบวนท่ารำ, การศึก, ความคล่องแคล่ว, จารึก, ต่อสู้, ผู้แสดง, มวยโบราณ, มวยไทย, มัยราพณ์, มโนราห์, รับใช้, สมัยโบราณ, สัตว์น้ำ, สีแดง, องคต, อสูร, แม่ไม้มวย, แหล่งน้ำ"
28,ระบำชาวนา,"การประกอบอาชีพ, การรบ, การแปร, การไถ, ชาวนา, ผู้แสดง, รำเดี่ยว, วานร, สะล้อ, สีน้ำเงิน, สีแดง, ใบชา"
29,รำเถิดเทิง,"กลองยาว, การตีกลอง, งานรื่นเริง, ตารี, นางรื่น, ยั่วเย้า, วานร, สีแดง, หยอกล้อ, เถิดเทิง, แหล่งน้ำ"
30,รำวงมาตรฐาน,"กระบวนท่ารำ, กะลา, การรบ, งานรื่นเริง, ชาวไทย, ตำรา, ทะเล, ที่รัก, ธงไทย, ภาคกลาง, ระบำมาตรฐาน, รำมาตรฐาน, วานร, สีแดง, เพลงคืนเดือนหงาย, เพลงงามแสงเดือน, เพลงฉิ่ง, เพลงชาวไทย, เพลงดวงจันทร์ขวัญฟ้า, เพลงดวงจันทร์วันเพ็ญ, เพลงดอกไม้ของชาติ, เพลงบูชานักรบ, เพลงยอดชายใจหาญ, เพลงรำซิมารำ, เพลงหญิงไทยใจงาม, เพลงเร็ว, แสงจันทร์, แหล่งน้ำ, ใบชา, ไทยทรงดำ"
31,รำสีนวล,"การขับร้อง, กุลสตรี, ตารี, ทะเล, สีน้ำเงิน, สีแดง"
32,โนรา,"การขับร้อง, การรบ, กินรี, ชาวไทย, ทะเล, บูชาครู, ภาคใต้, มรกต, มรดกภูมิปัญญาทางวัฒนธรรม, มีแบบแผน, มโนราห์, ยูเนสโก, วานร, สวัสดิมงคล, สีน้ำเงิน, สีแดง, ใบชา"
33,รองเง็ง,"ค้าขาย, งานรื่นเริง, ชายแดน, ชาวไทย, ตะวันตก, ทะเล, ท่าทาง, ธงไทย, ผู้แสดง, ภาคใต้, มลายู, วานร, สีแดง, แหล่งน้ำ, โปรตุเกส, ใบชา"
34,ระบำตารีกีปัส,"ชาวพื้นเมือง, ตะวันตก, ตารี, ตารีกีปัส, ธงไทย, ผู้แสดง, ภาคใต้, สีน้ำเงิน, สีแดง, เครื่องดนตรี, เครื่องดนตรีตะวันตก, เครื่องดนตรีพื้นบ้าน, เครื่องประกอบจังหวะ, เครื่องประดับ"
35,ระบำตารีบุหงา,"กระบวนท่ารำ, ของที่ระลึก, งานแต่งงาน, ชาวไทย, ช่อดอกไม้, ตารี, ตารีบุหงา, บิดา, ผู้แสดง, พื้นบ้านภาคใต้, ภาคใต้, มลายู, มุสลิม, รำลึก, สีแดง, องคต, แหล่งน้ำ, ไทยดุสิต"
36,ระบำร่อนแร่,"การประกอบอาชีพ, การรบ, การร่อนแร่, การแปร, งานรื่นเริง, ตารี, ธงไทย, นางรื่น, ภาคใต้, รจนา, วานร, สีน้ำเงิน, สีแดง, หญิงสาว, แหล่งน้ำ"
37,กลองสะบัดชัย,"กลองสะบัดชัย, การตีกลอง, การรบ, การศึก, ขบวนแห่, ข้าศึก, ความคล่องแคล่ว, ความว่องไว, ชาวบ้าน, ชาวเหนือ, ตารี, ท่าทาง, ธงไทย, นนทก, นิมิต, พิธีทางศาสนา, ภาคเหนือ, ล้านนา, สงคราม, สีทอง, สีน้ำเงิน, สีแดง, องคต, อสูร, ออกรบ, อาสา, แหล่งน้ำ, โลดโผน"
38,ฟ้อนจันทราพาฝัน,"การปั้น, ชาวนา, ชาวเหนือ, ผู้หญิง, ภาคเหนือ, มโนราห์, ศิลปินแห่งชาติ, สีน้ำเงิน, หญิงสาว, ออกรบ, เพลงลาวคำหอม, แสงจันทร์, แหล่งน้ำ"
39,ฟ้อนเจิง,"ชาวบ้าน, ชาวเหนือ, ต่อสู้, ธงไทย, นนทก, ภาคเหนือ, ล้านนา, สีแดง, อสูร, แหล่งน้ำ"
40,ฟ้อนดวงเดือน,"การปั้น, การเกี้ยวพาราสี, ชายหนุ่ม, ตำรา, พระนิพนธ์, วานร, สีทอง, สีแดง, หญิงสาว, เพลงอัตราจังหวะสองชั้น, แหล่งน้ำ"
41,ฟ้อนที,"ชาวเหนือ, ดนตรีพื้นบ้าน, ตารี, ธงไทย, พื้นบ้านภาคใต้, ภาคเหนือ, เครื่องดนตรีพื้นบ้าน, แม่ฮ่องสอน, แหล่งน้ำ"
42,ฟ้อนเทียน,"กลางคืน, กะลา, จุดไฟ, ชาวเหนือ, ภาคเหนือ, สีแดง, หญิงสาว, แหล่งน้ำ"
43,ฟ้อนผาง,"จุดไฟ, ชาวบ้าน, ชาวเหนือ, ธงไทย, นนทก, ผางประทีป, ผู้แสดง, ภาคเหนือ, ภาชนะดินเผา, มวยโบราณ, มารดา, มโนราห์, ล้านนา, วานร, สมัยโบราณ, สีแดง, เอาชนะ, แหล่งน้ำ"
44,ฟ้อนมาลัย,"กรมศิลปากร, กะลา, การปั้น, ข้าหลวง, ความสำนึก, ตารี, ตำรา, นางพญาคำปิน, นางฟ้า, ผู้หญิง, พญาผานอง, พระชายา, พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว, พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว, พระพาย, พระยา, ราชสำนัก, รำเดี่ยว, ละครพันทาง, สำนึก, สีน้ำเงิน, สีแดง, อาจารย์, อาสา, อินเดีย, อเนก, เจ้าดารารัศมี, เชียงใหม่, เพลงฟ้อนดวงดอกไม้, เพลงสำเนียงลาว, แหล่งน้ำ, โรงละครแห่งชาติ, ไทยทรงดำ"
45,ฟ้อนรัก,"จับนาง, ท้าวพิชัยพิษณุกร, นางรื่น, นางโรย, นายขวัญ, นายแก้ว, บิดา, พระนิพนธ์, พระพี่เลี้ยง, พระมหากษัตริย์, พระยา, พระราม, พระลอ, พระเจ้าบรมวงศ์เธอกรมพระนราธิปประพันธ์พงศ์, พระเพื่อน, พระแพง, มรกต, มโนราห์, รำลึก, ละครพันทาง, ลิลิตพระลอ, วานร, สีน้ำเงิน, สีแดง, อสูร, แมนสรวง, แหล่งน้ำ"
46,ฟ้อนเล็บ,"ชาวเหนือ, ตารี, ต้นรัง, ธงไทย, ผู้มาเยือน, ผู้แสดง, พลลิง, ภาคเหนือ, สีทอง, สีน้ำเงิน, สีแดง, แหล่งน้ำ"
47,ฟ้อนสาวไหม,"การปั้น, ชาวเหนือ, ดนตรีพื้นบ้าน, ตารี, ทอผ้า, ผ้าไหม, พื้นบ้านภาคใต้, ภาคเหนือ, มโนราห์, สะล้อ, สีน้ำเงิน, อาสา, อเนก, เครื่องดนตรี, เครื่องดนตรีพื้นบ้าน, แหล่งน้ำ"
48,ระบำเก็บใบชา,"การปั้น, การเก็บใบชา, การเดินทาง, งานรื่นเริง, ชาวพื้นเมือง, ชาวเขา, ชาวเหนือ, ทะเล, ธงไทย, ผึ่งแดด, ผู้แสดง, ภาคเหนือ, วานร, สีน้ำเงิน, สีแดง, แหล่งน้ำ, ใบชา, ไทยทรงดำ, ไหล่เขา"
49,กระทบสากหรือกระทบไม้,"กระทบไม้, การเกี้ยวพาราสี, ชาวพื้นเมือง, ชาวไทย, ตำรา, ทะเล, ธงไทย, นิสัย, พระจันทร์, พระอินทร์, ภาคอีสาน, รจนา, วานร, สากตำข้าว, สีน้ำเงิน, สีแดง, สุรินทร์, อสูร, อาสา, อีสาน, เครื่องประกอบจังหวะ, เครื่องประดับ, เต้นสาก, แหล่งน้ำ"
50,เซิ้งกระติบข้าว,"กระบวนท่ารำ, การดีด, การปั้น, การเดินทาง, ข้าวเหนียว, งานรื่นเริง, ชาวนา, ชาวพื้นเมือง, ชาวภูไท, ตารี, ที่รัก, ท่าทาง, นนทก, สีน้ำเงิน, สีแดง, หญิงสาว, อาสา, แหล่งน้ำ, ใบชา"
51,เซิ้งตังหวาย,"กะลา, การขับร้อง, การจับปลา, ตารี, ธงไทย, มโนราห์, รจนา, ลำตังหวาย, สังสรรค์, สีน้ำเงิน, สีแดง, แม่น้ำโขง, แหล่งน้ำ"
52,เซิ้งไทภูเขา,"การเก็บใบชา, การเดินทาง, ขอขมา, จิตรกรรม, ชาวภูไท, ชาวไทย, ผีภู, ภูเขา, ย่านาง, วัตถุดิบ, สีแดง, หน่อไม้, อสูร, อาสา, เจ้าที่เจ้าทาง, เทือกเขาภูพาน, เมขลา, แหล่งน้ำ, ไทภูเขา"
53,เซิ้งโปงลาง,"การเกี้ยวพาราสี, ชายหนุ่ม, ตารี, นนทก, ผู้แสดง, มารดา, วานร, สังสรรค์, สีแดง, หญิงสาว, เครื่องดนตรี, เครื่องดนตรีตะวันตก, แหล่งน้ำ, โปงลาง"
54,เซิ้งสวิง,"กระบวนท่ารำ, การจับปลา, การประกอบอาชีพ, การปั้น, ความสำนึก, ชาวพื้นเมือง, ตารี, ท่าทาง, นนทก, ผู้แสดง, พาลี, ภาคตะวันออกเฉียงเหนือ, สัตว์น้ำ, สีน้ำเงิน, สีแดง, หยอกล้อ, แหล่งน้ำ"
55,ฟ้อนภูไท,"การยุติ, การรบ, กาฬสินธุ์, งานรื่นเริง, ชาวภูไท, ดินแดน, นครพนม, นนทก, มุกดาหาร, สกลนคร, สัตว์น้ำ, สายสืบ, สีน้ำเงิน, สีแดง, อาสา, เทือกเขาภูพาน, แม่น้ำโขง, แหล่งน้ำ, ไทยทรงดำ"
56,ฟ้อนภูไท 3 เผ่า,"การปั้น, การเกี้ยวพาราสี, กาฬสินธุ์, ชาวภูไท, ต่อสู้, นครพนม, ผู้แสดง, มวยโบราณ, มโนราห์, วานร, สกลนคร, สมัยโบราณ, สีทอง, สีแดง, อสูร, เชิงมวย, เทือกเขาภูพาน"
57,ฟ้อนหมากกั๊บแก๊บลำเพลิน,"กะลา, การขับร้อง, การปั้น, การรบ, ความสำนึก, ดนตรีพื้นบ้าน, ตารี, ฟันปลา, ภาคอีสาน, ลำเพลิน, สัตว์น้ำ, สีน้ำเงิน, สีแดง, หมากกั๊บแก๊บ, หยอกล้อ, อาสา, อีสาน, เครื่องดนตรี, เครื่องดนตรีพื้นบ้าน, แหล่งน้ำ, ไม้ยาว, ไม้สั้น"
58,กราววีรชัยยักษ์,"กระบวนท่ารำ, กราววีรชัยลิง, กองทัพ, การยุติ, ความพร้อมเพรียง, จัดทัพ, ท่าทาง, พละกำลัง, สีน้ำเงิน, สีแดง"
59,กราววีรชัยลิง,"กราววีรชัยลิง, กองทัพ, การยุติ, การรบ, กิริยาอาการ, ความคล่องแคล่ว, ความว่องไว, ซุกซน, ต่อสู้, ท่าทาง, พระยา, พระราม, วานร, สังสรรค์, สิบแปดมงกุฎ, สีน้ำเงิน, สีแดง, องคต, อสูร, อาสา, แหล่งน้ำ, ไทยทรงดำ"
60,การแสดงโขนเรื่องรามเกียรติ์ ชุดยกรบ,"กรุงลงกา, กองทัพ, กะลา, การขึ้นลอย, การปั้น, การยุติ, การรบ, การแปร, การไถ, ชั้นเชิง, ตัวต่อตัว, ทศกัณฐ์, พระยา, พระราม, พระลอ, พระลักษมณ์, รำลึก, วานร, สงคราม, สีน้ำเงิน, สีแดง, องคต, ไพร่พล"
61,การแสดงโขนเรื่องรามเกียรติ์ ตอน  จองถนน,"กรุงลงกา, การปั้น, การยุติ, การรบ, การแปร, การไถ, ขีดขิน, จองถนน, ชามพูวราช, ทะเล, นิมิต, พระยา, พระราม, พระเมรุ, พลลิง, มโนราห์, รจนา, วานร, วิดน้ำ, สมควร, สำเภา, สีน้ำเงิน, สีแดง, อาสา, เจ้าเมือง, เมืองขีดขิน, เมืองชมพู, ไพร่พล"
62,การแสดงโขนเรื่องรามเกียรติ์ ตอน  นารายณ์ปราบนนทก,"กะลา, การปั้น, การยุติ, การรบ, การแปร, การไถ, ที่รัก, นนทก, นิ้วเพชร, พระนารายณ์, พระยา, พระลอ, พระศิวะ, พระอิศวร, มโนราห์, รจนา, รับใช้, วานร, สีน้ำเงิน, สีแดง, องคต, เขาไกรลาส, เขาไกลลาศ, เทวดา"
63,การแสดงโขนเรื่องรามเกียรติ์ ตอน  ศึกแสงอาทิตย์,"กองทัพ, การปั้น, การยุติ, การรบ, การศึก, การแปร, การไถ, ทศกัณฐ์, พญาขร, พระพรหม, พระยา, พระราม, พิเภก, มังกรกัณฐ์, สีน้ำเงิน, สีแดง, องคต, อนุชา, อุบาย, อุษา, แว่นแก้วสุรกานต์, แสงอาทิตย์, โอรส"
64,การแสดงโขนเรื่องรามเกียรติ์ ตอน  หนุมานชาญสมร,"กรุงลงกา, กองทัพ, การปั้น, การยุติ, การรบ, การแปร, การให้กำเนิด, การไถ, กุณฑล, ขนเพชร, จำกาย, ฉลองพระองค์, ตารี, ตำรา, ทหารเอก, นางสวาหะ, บิดา, ฝากตัว, พระนารายณ์, พระพาย, พระยา, พระราม, พระลอ, พระศิวะ, พระอิศวร, พละกำลัง, พลับพลา, มโนราห์, รจนา, รับใช้, วานร, สวามิภักดิ์, สวามี, สีน้ำเงิน, สีแดง, หนุมาน, องคต, อวตาร, อาสา, เขี้ยวแก้ว"
65,การแสดงโขนเรื่องรามเกียรติ์ ตอน กุมภกรรณพุ่งหอกโมกขศักดิ์,"กรุงลงกา, การยุติ, การรบ, การศึก, การุณราช, การแปร, การไถ, กุมภกรรณ, ขับไล่, จารึก, ดำรงตำแหน่ง, ทศกัณฐ์, นางสีดา, พระพรหม, พระยา, พระราม, มรกต, มัยราพณ์, ยุติธรรม, รับอาสา, ร้ายกาจ, สงคราม, สัจจะ, สีน้ำเงิน, สีแดง, หอกโมกขศักดิ์, อนุชา, อาสา, อุปราช, อเนก, แหล่งน้ำ, ไทยทรงดำ"
66,การแสดงโขนเรื่องรามเกียรติ์ ตอน ขับพิเภก,"กรุงลงกา, กะลา, การปั้น, การยุติ, การรบ, การศึก, การแปร, การไถ, ขับไล่, จารึก, จุดไฟ, ชาวเหนือ, ตะวันตก, ตารี, ตำรา, ทศกัณฐ์, ทำนาย, ทิศตะวันตก, ทิศตะวันออก, นางสีดา, นางใน, น้ำมันยาง, ปราชัย, พญาขร, พระญาติ, พระยา, พระราม, พระลอ, พระลาน, พลลิง, พิเภก, ภาคเหนือ, รัชฎา, รับใช้, ราชสำนัก, ร้อนแรง, ร้ายกาจ, สมบัติ, สวามี, สะเดาะเคราะห์, สำมนักขา, สีน้ำเงิน, สีแดง, ออกรบ, เจ้าเมือง, แหล่งน้ำ, ให้ร้าย, ไฟไหม้, ไส้กะลา"
67,การแสดงโขนเรื่องรามเกียรติ์ ตอน นางลอย,"กรุงลงกา, กองทัพ, การยุติ, การรบ, การศึก, การแปร, การไถ, ทศกัณฐ์, ทำนาย, นางสีดา, บิดา, พระพรหม, พระยา, พระราม, พลับพลา, พิเภก, ย่านาง, วานร, สงคราม, สะเดาะเคราะห์, สีน้ำเงิน, สีแดง, เบญกาย, แปลงกาย, แหล่งน้ำ"
68,การแสดงโขนเรื่องรามเกียรติ์ ตอน พระคเณศเสียงา,"กะลา, การปั้น, การยุติ, การรบ, การแปร, การไถ, จับนาง, จารึก, ตัวพระ, ตารี, ต่อสู้, ทำนาย, บิดา, ปรศุราม, ปารวตี, พระคเณศ, พระตำหนัก, พระนารายณ์, พระยา, พระลอ, พระศิวะ, พระอิศวร, พละกำลัง, มรกต, มโนราห์, รจนา, วานร, สีน้ำเงิน, สีแดง, องคต, อวตาร, อสูร, เขาไกรลาส, เขาไกลลาศ, แหล่งน้ำ, โมโห, ไทยทรงดำ"
69,การแสดงโขนเรื่องรามเกียรติ์ ตอน พระรามตามกวาง,"กวางทอง, กากนาสูร, การยุติ, การรบ, การแปร, การไถ, กาลสูร, ตารี, ทศกัณฐ์, นางสีดา, พระพาย, พระยา, พระราม, มารีศ, สีทอง, สีน้ำเงิน, สีแดง, หล่อหลอม, องคต, อสูร, อุบาย, อุษา, แปลงกาย, ไทยทรงดำ"
70,การแสดงโขนเรื่องรามเกียรติ์ ตอน พาลีสอนน้อง,"การยุติ, การรบ, การแปร, การไถ, ขีดขิน, ผู้ครองนคร, พระมหากษัตริย์, พระยา, พระราม, พาลี, รับใช้, สมมุติเทพ, สีน้ำเงิน, สีแดง, สุครีพ, หลักราชการ, องคต, อนุชา, อเนก, แหล่งน้ำ"
71,การแสดงโขนเรื่องรามเกียรติ์ ตอน ลักสีดา,"กรุงลงกา, กวางทอง, การยุติ, การรบ, การแปร, การไถ, ขอความช่วยเหลือ, คำบอกเล่า, จำกาย, ตารี, ทศกัณฐ์, นางสีดา, พระยา, พระราม, พระลอ, พระลักษมณ์, มารีศ, ราชสำนัก, รำลึก, ฤาษี, สำมนักขา, สีทอง, สีน้ำเงิน, สีแดง, หล่อหลอม"
72,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกพรหมาสตร์,"กองทัพ, กะลา, การปั้น, การยุติ, การรบ, การศึก, การุณราช, การแปร, การไถ, กาลสูร, ช้างเอราวัณ, ตารี, ทศกัณฐ์, นางฟ้า, พรหมาสตร์, พระจันทร์, พระยา, พระราม, พระลอ, พระศิวะ, พระอินทร์, พระอิศวร, มังกรกัณฐ์, รุทการ, วานร, สังหาร, สิ้นชีวิต, สีน้ำเงิน, สีแดง, สุรินทร์, หลงกล, อสูร, อาสา, อินทรชิต, เทวดา, แปลงกาย, แสงอาทิตย์, แหล่งน้ำ, ไพร่พล"
73,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกวิรุญจำบัง,"กรุงลงกา, การยุติ, การรบ, การศึก, การแปร, การไถ, จับนาง, จารึก, ทศกัณฐ์, ท้าวลัสเตียน, ท้าวสัทธาสูร, นางสีดา, นิลพาหุ, น้องชาย, บิดา, พญาทูษณ์, พระยา, พระราม, มารดา, รัชฎา, รับอาสา, รำคู่, วานร, วิรุญจำบัง, สงคราม, สัทธาสูร, สีน้ำเงิน, สีแดง, หายตัว, องคต, อสูร, อาสา, เจ้าเมือง, แหล่งน้ำ, โอรส, ไทยทรงดำ"
74,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกวิรุญมุข,"การยุติ, การรบ, การศึก, การแปร, การไถ, ขัดตาทัพ, ข่ายเหล็ก, ชามพูวราช, ตัวพระ, ทศกัณฐ์, ทำนาย, พระยา, พระราม, พระลอ, พระลักษมณ์, พลลิง, พิเภก, มังกรกัณฐ์, รจนา, รับอาสา, รำลึก, วิรุญจำบัง, วิรุญมุข, ศรนาคบาศ, สมรภูมิ, สีน้ำเงิน, สีแดง, หนุมาน, หายตัว, อาสา, อินทรชิต, เขาอังกาศ, เดินอากาศ, เมืองชมพู, โอรส, ไทยทรงดำ"
75,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกสัทธาสูร,"กะลา, การยุติ, การรบ, การศึก, การแปร, การไถ, ขี่ม้า, ข่ายเพชร, ดินดาล, ต่อสู้, ทศกัณฐ์, ทอผ้า, ท้าวสัทธาสูร, บิดา, พญาทูษณ์, พระจันทร์, พระยา, พระราม, พาลี, ฟองน้ำ, ภูเขา, รจนา, วานร, วานรินทร์, วิรุญจำบัง, ศรพาลจันทร์, สัทธาสูร, สีน้ำเงิน, สีแดง, สุรินทร์, หนุมาน, หลบหนี, อสูร, อุบาย, อุษา, เขาสัตภัณฑ์, เทวดา"
76,การแสดงโขนเรื่องรามเกียรติ์ ตอน สามจับ,"การยุติ, การรบ, การแปร, การไถ, กุมภกรรณ, ต่อสู้, ต้นรัง, ถอยทัพ, สีน้ำเงิน, สีแดง, สุครีพ, หนุมาน, หมดแรง, องคต, อสูร, อุบาย, อุษา, อเนก, เอาชนะ"
