ลำดับ,ชื่อชุดการแสดง,คำอธิบายชุดการแสดง,ผลการตัดคำ
11,นาฏยมวยไทย,เป็นการแสดงที่ได้แนวคิดมาจากศิลปะป้องกันตัว มวยโบราณของไทยที่มีมาแต่อดีต มาสร้างสรรค์ในรูปแบบของการแสดงที่สื่อถึงลีลาท่ามวย อันเป็นภูมิปัญญาของบรรพบุรุษ ใช้หลักท่าเต้นของโขน และท่ารำแบบนาฏศิลป์ผสมผสานกันอย่างลงตัว,เป็น | การแสดง | ที่ | ได้ | แนวคิด | มาจาก | ศิลปะป้องกันตัว |   | มวยโบราณ | ของ | ไทย | ที่ | มี | มา | แต่ | อดีต |   | มา | สร้างสรรค์ | ใน | รูปแบบ | ของ | การแสดง | ที่ | สื่อ | ถึง | ลีลา | ท่า | มวย |   | อันเป็น | ภูมิปัญญา | ของ | บรรพบุรุษ |   | ใช้ | หลัก | ท่า | เต้น | ของ | โขน |   | และ | ท่า | รำ | แบบ | นาฏศิลป์ | ผสมผสาน | กัน | อย่าง | ลงตัว
12,ผืนไท,เป็นการแสดงที่มีแนวคิดมาจากศิลปะการแสดงของภูมิภาคต่าง ๆ ของไทยสู่การสร้างสรรค์ผลงานบนพื้นฐานความงดงามของนาฏศิลป์ไทยและศิลปะการแสดงพื้นบ้าน ผสมผสานการออกแบบการเคลื่อนไหวร่างกาย และการใช้พื้นที่เวทีที่มีความหลากหลาย อุปกรณ์สำคัญในการแสดงคือ ผืนผ้าสื่อถึงสัญลักษณ์ของชาติและพระมหากษัตริย์ไทย ปกแผ่ไพศาลให้ความสุขสงบร่มเย็นแก่อาณาประชาราษฎร์ทุกเชื้อชาติที่รวมกันเป็นเอกลักษณ์ ก่อให้เกิดมรดกศิลปวัฒนธรรมอันวิจิตรภายใต้ผืนไตรรงค์ธงไทยที่สง่างาม,เป็น | การแสดง | ที่ | มี | แนวคิด | มาจาก | ศิลปะการแสดง | ของ | ภูมิภาค | ต่าง ๆ |   | ของ | ไทย | สู่ | การ | สร้างสรรค์ | ผลงาน | บน | พื้นฐาน | ความงดงาม | ของ | นาฏศิลป์ | ไทย | และ | ศิลปะการแสดง | พื้นบ้าน |   | ผสมผสาน | การ | ออกแบบ | การเคลื่อนไหว | ร่างกาย |   | และ | การ | ใช้ | พื้นที่ | เวที | ที่ | มี | ความหลากหลาย |   | อุปกรณ์ | สำคัญ | ใน | การแสดง | คือ |   | ผืน | ผ้า | สื่อ | ถึง | สัญลักษณ์ | ของ | ชาติ | และ | พระมหากษัตริย์ | ไทย |   | ปก | แผ่ | ไพศาล | ให้ | ความ | สุขสงบ | ร่มเย็น | แก่ | อาณาประชาราษฎร์ | ทุก | เชื้อชาติ | ที่ | รวมกัน | เป็น | เอกลักษณ์ |   | ก่อให้เกิด | มรดก | ศิลปวัฒนธรรม | อัน | วิจิตร | ภายใต้ | ผืน | ไตรรงค์ | ธงไทย | ที่ | สง่างาม
13,พนาธาร,เป็นการแสดงสร้างสรรค์ที่ได้แนวคิดมาจากความสำคัญ ความตระหนักรู้คุณค่าของป่าและน้ำ ที่ผูกพันกับวิถีชีวิตและแผ่นดินเกิด การแสดงชุดนี้นำพื้นฐานนาฏศิลป์ไทยประกอบกับการเคลื่อนไหวร่างกายที่เลียนแบบการเคลื่อนไหวของธรรมชาติ ทั้งป่า และน้ำ,เป็น | การแสดง | สร้างสรรค์ | ที่ | ได้ | แนวคิด | มาจาก | ความสำคัญ |   | ความตระหนัก | รู้คุณค่า | ของป่า | และ | น้ำ |   | ที่ | ผูกพัน | กับ | วิถีชีวิต | และ | แผ่นดิน | เกิด |   | การแสดง | ชุด | นี้ | นำ | พื้นฐาน | นาฏศิลป์ | ไทย | ประกอบ | กับ | การเคลื่อนไหว | ร่างกาย | ที่ | เลียนแบบ | การเคลื่อนไหว | ของ | ธรรมชาติ |   | ทั้ง | ป่า |   | และ | น้ำ
14,ฟ้อนขันดอก,เป็นศิลปะการแสดงภาคเหนือที่ถือขันดอกหรือพานประกอบการแสดง โดยภายในพานจะใส่ดอกไม้นานาชนิดที่มีความหมายมงคล การแสดงประกอบด้วยกระบวนท่ารำของล้านนาผสมผสานการโปรยดอกไม้เพื่อความเป็นสิริมงคล,เป็น | ศิลปะการแสดง | ภาคเหนือ | ที่ | ถือ | ขันดอก | หรือ | พาน | ประกอบ | การแสดง |   | โดย | ภายใน | พาน | จะ | ใส่ | ดอกไม้ | นานา | ชนิด | ที่ | มีความหมาย | มงคล |   | การแสดง | ประกอบด้วย | กระบวนท่ารำ | ของ | ล้านนา | ผสมผสาน | การโปรย | ดอกไม้ | เพื่อ | ความ | เป็น | สิริมงคล
15,ฟ้อนลีลาวดี,เป็นการแสดงที่ได้แรงบันดาลใจมาจากต้นลีลาวดี ต้นไม้ที่มีอายุเกือบ 100 ปี มีความงดงาม ร่มเย็น และมีลักษณะพิเศษที่น่าสนใจแก่ผู้พบเห็นอยู่บริเวณหน้าพระอุโบสถบวรสถานสุทธาวาส(วัดพระแก้ววังหน้า) สู่แนวคิดการสร้างสรรค์ท่ารำ ให้มีความงดงามตามท่วงทำนองของดนตรี,เป็น | การแสดง | ที่ | ได้ | แรงบันดาลใจ | มาจาก | ต้นลีลาวดี |   | ต้นไม้ | ที่ | มีอายุ | เกือบ |   | 100 |   | ปี |   | มี | ความงดงาม |   | ร่มเย็น |   | และ | มี | ลักษณะพิเศษ | ที่ | น่าสนใจ | แก่ | ผู้พบเห็น | อยู่ | บริเวณ | หน้า | พระอุโบสถ | บวร | สถาน | สุทธาวาส | ( | วัด | พระ | แก้ว | วังหน้า | ) |   | สู่ | แนวคิด | การ | สร้างสรรค์ | ท่า | รำ |   | ให้ | มี | ความงดงาม | ตาม | ท่วงทำนอง | ของ | ดนตรี
16,ระบำม้า,เป็นการแสดงที่นางลมุล ยมะคุปต์ ผู้เชี่ยวชาญการสอนนาฏศิลป์ไทยคิดท่ารำขึ้นประกอบในละครเรื่องไชยเชษฐ์ ตอนนารายณ์ธิเบศร์เที่ยวป่า ต่อมาได้นำมาแสดงในละครเรื่องรถเสน ซึ่งกล่าวถึง รถเสนถูกนางยักษ์แปลงแกล้งใช้ให้ถือสารไปยังคชบุรีเมืองยักษ์ ก่อนออกเดินทางรถเสนไปคัดเลือกจับม้าที่ดีที่สุด เพื่อใช้เป็นพาหนะในการเดินทาง,เป็น | การแสดง | ที่ | นาง | ล | มุ | ล |   | ยมะ | คุปต์ |   | ผู้เชี่ยวชาญ | การสอน | นาฏศิลป์ | ไทย | คิด | ท่า | รำ | ขึ้น | ประกอบ | ใน | ละคร | เรื่อง | ไชย | เชษฐ์ |   | ตอน | นารายณ์ | ธิเบศร์ | เที่ยว | ป่า |   | ต่อมา | ได้ | นำมา | แสดง | ใน | ละคร | เรื่อง | รถ | เสน |   | ซึ่ง | กล่าวถึง |   | รถ | เสน | ถูก | นาง | ยักษ์ | แปลง | แกล้ง | ใช้ | ให้ | ถือ | สาร | ไป | ยัง | คช | บุรี | เมือง | ยักษ์ |   | ก่อน | ออกเดินทาง | รถ | เสน | ไป | คัดเลือก | จับ | ม้า | ที่ | ดี | ที่สุด |   | เพื่อ | ใช้ | เป็น | พาหนะ | ใน | การเดินทาง
17,ระบำอยุธยา,เป็นระบำที่ประดิษฐ์ขึ้นใหม่ เมื่อปี พ.ศ. 2529 จากความคิดริเริ่ม ของนายเสรี หวังในธรรม ผู้เชี่ยวชาญพิเศษด้านสังคีตศิลป์และศิลปินแห่งชาติ โดยมีวัตถุประสงค์ที่จะจัดเป็นระบำโบราณคดีอีกชุดหนึ่ง นางเฉลย ศุขะวณิช ผู้เชี่ยวชาญการสอนนาฏศิลป์ไทยและศิลปินแห่งชาติ เป็นผู้ประดิษฐ์ลีลาท่ารำ จัดแสดงเป็นครั้งแรกในงานศิลปหัตถกรรม ประจำปี พ.ศ. 2529,เป็น | ระบำ | ที่ | ประดิษฐ์ | ขึ้น | ใหม่ |   | เมื่อ | ปี |   | พ.ศ. |   | 2529 |   | จาก | ความคิดริเริ่ม |   | ของ | นาย | เสรี |   | หวัง | ใน | ธรรม |   | ผู้เชี่ยวชาญ | พิเศษ | ด้าน | สัง | คีตศิลป์ | และ | ศิลปิน | แห่งชาติ |   | โดย | มี | วัตถุประสงค์ | ที่จะ | จัด | เป็น | ระบำโบราณคดี | อีก | ชุด | หนึ่ง |   | นาง | เฉลย |   | ศุขะ | วณิช |   | ผู้เชี่ยวชาญ | การสอน | นาฏศิลป์ | ไทย | และ | ศิลปิน | แห่งชาติ |   | เป็น | ผู้ประดิษฐ์ | ลีลา | ท่า | รำ |   | จัดแสดง | เป็นครั้งแรก | ใน | งาน | ศิลปหัตถกรรม |   | ประจำปี |   | พ.ศ. |   | 2529
18,รับขวัญข้าว,เป็นการแสดงที่ได้แนวคิดมาจากเรื่องราวพิธีกรรมในการทำขวัญข้าว ที่สะท้อนให้เห็นถึงความกตัญญูกตเวทีต่อผู้มีพระคุณด้วยความเคารพบูชา ความสามัคคี ความมีน้ำใจ ซึ่งวัฒนธรรมเหล่านี้เป็นที่แพร่หลายในอดีต จากแนวคิดดังกล่าวนำสู่รูปแบบนาฏศิลป์สร้างสรรค์เพื่อให้ชนรุ่นหลังเห็นถึงความสำคัญของผืนแผ่นดินที่ให้ความสมบูรณ์ ก่อให้เกิดพืชพรรณธัญญาหารหล่อเลี้ยงชีวิตมนุษย์ พระคุณของ “ข้าว” อาหารหลักของชาติไทย ตลอดจนจารีตประเพณี วัฒนธรรม อันแสดงให้เห็นถึงภูมิปัญญาอันทรงคุณค่าที่ควรสืบสาน,เป็น | การแสดง | ที่ | ได้ | แนวคิด | มาจาก | เรื่องราว | พิธีกรรม | ใน | การทำขวัญ | ข้าว |   | ที่ | สะท้อน | ให้ | เห็น | ถึง | ความกตัญญู | กตเวที | ต่อ | ผู้มีพระคุณ | ด้วย | ความ | เคารพบูชา |   | ความสามัคคี |   | ความมีน้ำใจ |   | ซึ่ง | วัฒนธรรม | เหล่านี้ | เป็นที่ | แพร่หลาย | ใน | อดีต |   | จาก | แนวคิด | ดังกล่าว | นำ | สู่ | รูปแบบ | นาฏศิลป์ | สร้างสรรค์ | เพื่อให้ | ชน | รุ่นหลัง | เห็น | ถึง | ความสำคัญ | ของ | ผืน | แผ่นดิน | ที่ | ให้ | ความสมบูรณ์ |   | ก่อให้เกิด | พืชพรรณ | ธัญญาหาร | หล่อเลี้ยง | ชีวิต | มนุษย์ |   | พระคุณ | ของ |   | “ | ข้าว | ” |   | อาหาร | หลัก | ของ | ชาติ | ไทย |   | ตลอดจน | จารีตประเพณี |   | วัฒนธรรม |   | อัน | แสดงให้เห็น | ถึง | ภูมิปัญญา | อัน | ทรงคุณค่า | ที่ | ควร | สืบสาน
19,ล่องใต้,เป็นการแสดงที่ได้แนวคิดมาจากศิลปวัฒนธรรมและวิถีชีวิตความเป็นอยู่ของประชากรทางภาคใต้อันมีเอกลักษณ์เฉพาะที่โดดเด่น นำสู่การสร้างสรรค์การแสดงสื่อถึงประเพณี วัฒนธรรม วิถีชีวิต ความเป็นอยู่ การประกอบอาชีพ โดยการแสดงสะท้อนให้เห็นถึงบรรยากาศแห่งความสุข ความสนุกสนานของดินแดนภาคใต้,เป็น | การแสดง | ที่ | ได้ | แนวคิด | มาจาก | ศิลปวัฒนธรรม | และ | วิถีชีวิต | ความเป็นอยู่ | ของ | ประชากร | ทาง | ภาคใต้ | อัน | มี | เอกลักษณ์ | เฉพาะที่ | โดดเด่น |   | นำ | สู่ | การ | สร้างสรรค์ | การแสดง | สื่อ | ถึง | ประเพณี |   | วัฒนธรรม |   | วิถีชีวิต |   | ความเป็นอยู่ |   | การประกอบอาชีพ |   | โดย | การแสดง | สะท้อน | ให้ | เห็น | ถึง | บรรยากาศ | แห่ง | ความสุข |   | ความ | สนุกสนาน | ของ | ดินแดน | ภาคใต้
20,ลายเกราะ,เป็นการแสดงที่ได้แนวคิดมาจาก เกราะลอ หรือ ขอลอ เครื่องดนตรีพื้นบ้านชนิดหนึ่งของภาคอีสาน นำเสนอผ่านท่ารำพื้นบ้านอีสานที่มีความงดงาม ผสมผสานลีลาในการตีเกราะสนุกสนาน เร้าใจด้วยท่วงทำนองของดนตรีพื้นบ้านอีสาน,เป็น | การแสดง | ที่ | ได้ | แนวคิด | มาจาก |   | เกราะ | ลอ |   | หรือ |   | ขอ | ลอ |   | เครื่อง | ดนตรีพื้นบ้าน | ชนิด | หนึ่ง | ของ | ภาคอีสาน |   | นำเสนอ | ผ่าน | ท่า | รำ | พื้นบ้าน | อีสาน | ที่ | มี | ความงดงาม |   | ผสมผสาน | ลีลา | ใน | การ | ตี | เกราะ | สนุกสนาน |   | เร้าใจ | ด้วย | ท่วงทำนอง | ของ | ดนตรีพื้นบ้าน | อีสาน
