item,gold_tokens,predicted_tokens,TP,FP,FN,FP_words,FN_words
นาฏยมวยไทย,"บรรพบุรุษ, มวยโบราณ, ศิลปะป้องกันตัว","ธงไทย, บรรพบุรุษ, บิดา, ปกป้อง, มวยโบราณ, มวยไทย, มโนราห์, ศิลปะป้องกันตัว, สมัยโบราณ, สังสรรค์, สีแดง, แหล่งน้ำ",3,9,0,"ธงไทย, บิดา, ปกป้อง, มวยไทย, มโนราห์, สมัยโบราณ, สังสรรค์, สีแดง, แหล่งน้ำ",
ผืนไท,"ธงไทย, พระมหากษัตริย์, ร่มเย็น, อาณาประชาราษฎร์, เชื้อชาติ","กะลา, การรบ, ธงไทย, บิดา, พระมหากษัตริย์, พาลี, ภาคใต้, มรกต, ร่มเย็น, สังสรรค์, สีน้ำเงิน, สีแดง, ออกรบ, อาณาประชาราษฎร์, อาสา, เชื้อชาติ",5,11,0,"กะลา, การรบ, บิดา, พาลี, ภาคใต้, มรกต, สังสรรค์, สีน้ำเงิน, สีแดง, ออกรบ, อาสา",
พนาธาร,ผูกพัน,"บิดา, ผูกพัน, สังสรรค์, สีน้ำเงิน, สีแดง",1,4,0,"บิดา, สังสรรค์, สีน้ำเงิน, สีแดง",
ฟ้อนขันดอก,"กระบวนท่ารำ, ขันดอก, ภาคเหนือ, ล้านนา","กระบวนท่ารำ, การแปร, ขันดอก, ชาวเหนือ, ช่อดอกไม้, นานาชาติ, ภาคเหนือ, ล้านนา, สีน้ำเงิน, สีแดง, แหล่งน้ำ",4,7,0,"การแปร, ชาวเหนือ, ช่อดอกไม้, นานาชาติ, สีน้ำเงิน, สีแดง, แหล่งน้ำ",
ฟ้อนลีลาวดี,"ต้นลีลาวดี, ต้นไม้, พระอุโบสถ, ร่มเย็น, วังหน้า, สุทธาวาส","การรบ, ตารี, ต้นลีลาวดี, ต้นไม้, บิดา, พระลอ, พระอุโบสถ, ร่มเย็น, วังหน้า, สังสรรค์, สีน้ำเงิน, สีแดง, สุทธาวาส, แหล่งน้ำ",6,8,0,"การรบ, ตารี, บิดา, พระลอ, สังสรรค์, สีน้ำเงิน, สีแดง, แหล่งน้ำ",
ระบำม้า,การเดินทาง,"กะลา, การเดินทาง, มโนราห์, รำเดี่ยว, สีแดง, หลงกล, อสูร, อาสา, เชษฐา, ไทยทรงดำ",1,9,0,"กะลา, มโนราห์, รำเดี่ยว, สีแดง, หลงกล, อสูร, อาสา, เชษฐา, ไทยทรงดำ",
ระบำอยุธยา,"ระบำโบราณคดี, ศิลปหัตถกรรม, เป็นครั้งแรก","มโนราห์, ระบำโบราณคดี, ศิลปหัตถกรรม, ศิลปินแห่งชาติ, สังคีตศิลป์, สีน้ำเงิน, สีแดง, องคต, อยุธยา, เป็นครั้งแรก",3,7,0,"มโนราห์, ศิลปินแห่งชาติ, สังคีตศิลป์, สีน้ำเงิน, สีแดง, องคต, อยุธยา",
รับขวัญข้าว,"การทำขวัญ, จารีตประเพณี, ธัญญาหาร, ผู้มีพระคุณ, พืชพรรณ, รุ่นหลัง, หล่อเลี้ยง","กะลา, การทำขวัญ, จารีตประเพณี, ชาวนา, ตารี, ต่อสู้, ธัญญาหาร, บิดา, ผู้มีพระคุณ, พืชพรรณ, มรกต, รจนา, รุ่นหลัง, สวามี, สะล้อ, สังสรรค์, สีน้ำเงิน, สีแดง, หล่อเลี้ยง, อสูร, อาสา, อีสาน, ใบชา, ไทยทรงดำ",7,17,0,"กะลา, ชาวนา, ตารี, ต่อสู้, บิดา, มรกต, รจนา, สวามี, สะล้อ, สังสรรค์, สีน้ำเงิน, สีแดง, อสูร, อาสา, อีสาน, ใบชา, ไทยทรงดำ",
ล่องใต้,"การประกอบอาชีพ, ดินแดน, ภาคใต้","การประกอบอาชีพ, การรบ, การแปร, ความสำนึก, ดินแดน, บิดา, ภาคใต้, สะล้อ, สังสรรค์, สีน้ำเงิน, สีแดง, องคต, แหล่งน้ำ",3,10,0,"การรบ, การแปร, ความสำนึก, บิดา, สะล้อ, สังสรรค์, สีน้ำเงิน, สีแดง, องคต, แหล่งน้ำ",
ลายเกราะ,"ดนตรีพื้นบ้าน, ภาคอีสาน, อีสาน","กะลา, ดนตรีพื้นบ้าน, ตารี, บิดา, พระลอ, พาลี, ภาคอีสาน, มลายู, สัตว์น้ำ, สีน้ำเงิน, สีแดง, อาสา, อีสาน, เกราะลอ, เครื่องดนตรี, เครื่องดนตรีพื้นบ้าน, แหล่งน้ำ",3,14,0,"กะลา, ตารี, บิดา, พระลอ, พาลี, มลายู, สัตว์น้ำ, สีน้ำเงิน, สีแดง, อาสา, เกราะลอ, เครื่องดนตรี, เครื่องดนตรีพื้นบ้าน, แหล่งน้ำ",
ลีลาหมากแก๊ป,"ชาวบ้าน, ดนตรีพื้นบ้าน, หญิงสาว, อีสาน, ไม้ยาว, ไม้สั้น","การปั้น, ความสำนึก, ชาวบ้าน, ดนตรีพื้นบ้าน, ตารี, บิดา, ภาคอีสาน, มรดกภูมิปัญญาทางวัฒนธรรม, สีทอง, สีน้ำเงิน, สีแดง, หญิงสาว, หมากกั๊บแก๊บ, องคต, อาสา, อีสาน, เครื่องดนตรี, เครื่องดนตรีพื้นบ้าน, เครื่องประกอบจังหวะ, เครื่องประดับ, ไม้ยาว, ไม้สั้น",6,16,0,"การปั้น, ความสำนึก, ตารี, บิดา, ภาคอีสาน, มรดกภูมิปัญญาทางวัฒนธรรม, สีทอง, สีน้ำเงิน, สีแดง, หมากกั๊บแก๊บ, องคต, อาสา, เครื่องดนตรี, เครื่องดนตรีพื้นบ้าน, เครื่องประกอบจังหวะ, เครื่องประดับ",
สยามภารตะ,"กระบวนท่ารำ, การหลอมรวม, ดินแดน, ราชสำนัก, อารยธรรม, อินเดีย","กระบวนท่ารำ, กองไฟ, การหลอมรวม, การไถ, ดินแดน, ทะเล, ธงไทย, นาฏศิลป์อินเดีย, ภารตนาฏยัม, รจนา, ราชสำนัก, วานร, สีแดง, อารยธรรม, อินเดีย, โอดิสสี, ไทยทรงดำ",6,11,0,"กองไฟ, การไถ, ทะเล, ธงไทย, นาฏศิลป์อินเดีย, ภารตนาฏยัม, รจนา, วานร, สีแดง, โอดิสสี, ไทยทรงดำ",
สักการะเทวราช,"กรุงรัตนโกสินทร์, งานประติมากรรม, ตำรา, พระพุทธรูป, พระมหากษัตริย์, พระราชพิธี, พระอินทร์, มหรสพ, ลายเส้น, อยุธยา, อินทราภิเษก, เครื่องประดับ","กรุงรัตนโกสินทร์, การรบ, งานประติมากรรม, ตำรา, นิสัย, บิดา, พระจันทร์, พระพุทธรูป, พระมหากษัตริย์, พระยา, พระราชพิธี, พระราม, พระลอ, พระศิวะ, พระอินทร์, พระอิศวร, มหรสพ, มโนราห์, ราชสำนัก, ลายเส้น, วานร, สวามี, สังสรรค์, สีแดง, สุรินทร์, องคต, อยุธยา, อินทรชิต, อินทราภิเษก, เครื่องประดับ, เทวดา, แต่งกายยืนเครื่องพระ, แหล่งน้ำ, ใบชา, ไทยทรงดำ",12,23,0,"การรบ, นิสัย, บิดา, พระจันทร์, พระยา, พระราม, พระลอ, พระศิวะ, พระอิศวร, มโนราห์, ราชสำนัก, วานร, สวามี, สังสรรค์, สีแดง, สุรินทร์, องคต, อินทรชิต, เทวดา, แต่งกายยืนเครื่องพระ, แหล่งน้ำ, ใบชา, ไทยทรงดำ",
ออเจ้าชาวกรุงศรี,"การนุ่งห่ม, กุลสตรี, ราชสำนัก, เครื่องประดับ","การนุ่งห่ม, กุลสตรี, ตารี, บิดา, มารดา, มโนราห์, ราชสำนัก, วานร, สีน้ำเงิน, สีแดง, สุรินทร์, เครื่องประดับ",4,8,0,"ตารี, บิดา, มารดา, มโนราห์, วานร, สีน้ำเงิน, สีแดง, สุรินทร์",
ดาบสองมือ,"ความคล่องแคล่ว, ฟาดฟัน",,0,0,2,,"ความคล่องแคล่ว, ฟาดฟัน"
พลองไม้สั้น,"กระทุ้ง, ขั้นพื้นฐาน, ความว่องไว, ตัวต่อตัว, ต่อสู้, ประชิดตัว, ผู้แสดง, ลูกไม้, สีน้ำเงิน, สีแดง, ไม้สั้น","กระทุ้ง, กระบวนท่ารำ, การดีด, การปั้น, การศึก, ขั้นพื้นฐาน, ความว่องไว, จารึก, ตัวต่อตัว, ตารี, ต่อสู้, ธงไทย, ประชิดตัว, ผู้แสดง, พระลอ, มโนราห์, ลอยกระทง, ลูกไม้, สัตว์น้ำ, สีน้ำเงิน, สีแดง, อสูร, อาสา, แหล่งน้ำ, ไม้สั้น",11,14,0,"กระบวนท่ารำ, การดีด, การปั้น, การศึก, จารึก, ตารี, ธงไทย, พระลอ, มโนราห์, ลอยกระทง, สัตว์น้ำ, อสูร, อาสา, แหล่งน้ำ",
มวยคาดเชือก,"ผู้แสดง, มวยไทย, สมัยโบราณ","กระบวนท่ารำ, การศึก, ความคล่องแคล่ว, จารึก, ต่อสู้, ผู้แสดง, มวยโบราณ, มวยไทย, มัยราพณ์, มโนราห์, รับใช้, สมัยโบราณ, สัตว์น้ำ, สีแดง, องคต, อสูร, แม่ไม้มวย, แหล่งน้ำ",3,15,0,"กระบวนท่ารำ, การศึก, ความคล่องแคล่ว, จารึก, ต่อสู้, มวยโบราณ, มัยราพณ์, มโนราห์, รับใช้, สัตว์น้ำ, สีแดง, องคต, อสูร, แม่ไม้มวย, แหล่งน้ำ",
ระบำชาวนา,"การประกอบอาชีพ, การไถ, ชาวนา, ผู้แสดง","การประกอบอาชีพ, การรบ, การแปร, การไถ, ชาวนา, ผู้แสดง, รำเดี่ยว, วานร, สะล้อ, สีน้ำเงิน, สีแดง, ใบชา",4,8,0,"การรบ, การแปร, รำเดี่ยว, วานร, สะล้อ, สีน้ำเงิน, สีแดง, ใบชา",
รำเถิดเทิง,"กลองยาว, การตีกลอง, ยั่วเย้า, หยอกล้อ","กลองยาว, การตีกลอง, งานรื่นเริง, ตารี, นางรื่น, ยั่วเย้า, วานร, สีแดง, หยอกล้อ, เถิดเทิง, แหล่งน้ำ",4,7,0,"งานรื่นเริง, ตารี, นางรื่น, วานร, สีแดง, เถิดเทิง, แหล่งน้ำ",
รำวงมาตรฐาน,"กระบวนท่ารำ, เพลงคืนเดือนหงาย, เพลงงามแสงเดือน, เพลงชาวไทย, เพลงดวงจันทร์ขวัญฟ้า, เพลงดวงจันทร์วันเพ็ญ, เพลงดอกไม้ของชาติ, เพลงบูชานักรบ, เพลงยอดชายใจหาญ, เพลงรำซิมารำ, เพลงหญิงไทยใจงาม","กระบวนท่ารำ, กะลา, การรบ, งานรื่นเริง, ชาวไทย, ตำรา, ทะเล, ที่รัก, ธงไทย, ภาคกลาง, ระบำมาตรฐาน, รำมาตรฐาน, วานร, สีแดง, เพลงคืนเดือนหงาย, เพลงงามแสงเดือน, เพลงฉิ่ง, เพลงชาวไทย, เพลงดวงจันทร์ขวัญฟ้า, เพลงดวงจันทร์วันเพ็ญ, เพลงดอกไม้ของชาติ, เพลงบูชานักรบ, เพลงยอดชายใจหาญ, เพลงรำซิมารำ, เพลงหญิงไทยใจงาม, เพลงเร็ว, แสงจันทร์, แหล่งน้ำ, ใบชา, ไทยทรงดำ",11,19,0,"กะลา, การรบ, งานรื่นเริง, ชาวไทย, ตำรา, ทะเล, ที่รัก, ธงไทย, ภาคกลาง, ระบำมาตรฐาน, รำมาตรฐาน, วานร, สีแดง, เพลงฉิ่ง, เพลงเร็ว, แสงจันทร์, แหล่งน้ำ, ใบชา, ไทยทรงดำ",
รำสีนวล,กุลสตรี,"การขับร้อง, กุลสตรี, ตารี, ทะเล, สีน้ำเงิน, สีแดง",1,5,0,"การขับร้อง, ตารี, ทะเล, สีน้ำเงิน, สีแดง",
โนรา,"กินรี, ชาวไทย, บูชาครู, ภาคใต้, มรดกภูมิปัญญาทางวัฒนธรรม, มีแบบแผน, ยูเนสโก, สวัสดิมงคล","การขับร้อง, การรบ, กินรี, ชาวไทย, ทะเล, บูชาครู, ภาคใต้, มรกต, มรดกภูมิปัญญาทางวัฒนธรรม, มีแบบแผน, มโนราห์, ยูเนสโก, วานร, สวัสดิมงคล, สีน้ำเงิน, สีแดง, ใบชา",8,9,0,"การขับร้อง, การรบ, ทะเล, มรกต, มโนราห์, วานร, สีน้ำเงิน, สีแดง, ใบชา",
รองเง็ง,"ค้าขาย, งานรื่นเริง, ชายแดน, ชาวไทย, ตะวันตก, ผู้แสดง, ภาคใต้, มลายู, โปรตุเกส","ค้าขาย, งานรื่นเริง, ชายแดน, ชาวไทย, ตะวันตก, ทะเล, ท่าทาง, ธงไทย, ผู้แสดง, ภาคใต้, มลายู, วานร, สีแดง, แหล่งน้ำ, โปรตุเกส, ใบชา",9,7,0,"ทะเล, ท่าทาง, ธงไทย, วานร, สีแดง, แหล่งน้ำ, ใบชา",
ระบำตารีกีปัส,"ผู้แสดง, ภาคใต้, รำพัด, เครื่องดนตรีตะวันตก, เครื่องประกอบจังหวะ","ชาวพื้นเมือง, ตะวันตก, ตารี, ตารีกีปัส, ธงไทย, ผู้แสดง, ภาคใต้, สีน้ำเงิน, สีแดง, เครื่องดนตรี, เครื่องดนตรีตะวันตก, เครื่องดนตรีพื้นบ้าน, เครื่องประกอบจังหวะ, เครื่องประดับ",4,10,1,"ชาวพื้นเมือง, ตะวันตก, ตารี, ตารีกีปัส, ธงไทย, สีน้ำเงิน, สีแดง, เครื่องดนตรี, เครื่องดนตรีพื้นบ้าน, เครื่องประดับ",รำพัด
ระบำตารีบุหงา,"กระบวนท่ารำ, ของที่ระลึก, งานแต่งงาน, ชาวไทย, ช่อดอกไม้, ตารีบุหงา, ผู้แสดง, พื้นบ้านภาคใต้, มุสลิม","กระบวนท่ารำ, ของที่ระลึก, งานแต่งงาน, ชาวไทย, ช่อดอกไม้, ตารี, ตารีบุหงา, บิดา, ผู้แสดง, พื้นบ้านภาคใต้, ภาคใต้, มลายู, มุสลิม, รำลึก, สีแดง, องคต, แหล่งน้ำ, ไทยดุสิต",9,9,0,"ตารี, บิดา, ภาคใต้, มลายู, รำลึก, สีแดง, องคต, แหล่งน้ำ, ไทยดุสิต",
ระบำร่อนแร่,"การประกอบอาชีพ, การร่อนแร่, ภาคใต้, หญิงสาว, แหล่งน้ำ","การประกอบอาชีพ, การรบ, การร่อนแร่, การแปร, งานรื่นเริง, ตารี, ธงไทย, นางรื่น, ภาคใต้, รจนา, วานร, สีน้ำเงิน, สีแดง, หญิงสาว, แหล่งน้ำ",5,10,0,"การรบ, การแปร, งานรื่นเริง, ตารี, ธงไทย, นางรื่น, รจนา, วานร, สีน้ำเงิน, สีแดง",
กลองสะบัดชัย,"กลองสะบัดชัย, การตีกลอง, ขบวนแห่, ข้าศึก, ท่าทาง, พิธีทางศาสนา, ภาคเหนือ, ล้านนา, ออกรบ, โลดโผน","กลองสะบัดชัย, การตีกลอง, การรบ, การศึก, ขบวนแห่, ข้าศึก, ความคล่องแคล่ว, ความว่องไว, ชาวบ้าน, ชาวเหนือ, ตารี, ท่าทาง, ธงไทย, นนทก, นิมิต, พิธีทางศาสนา, ภาคเหนือ, ล้านนา, สงคราม, สีทอง, สีน้ำเงิน, สีแดง, องคต, อสูร, ออกรบ, อาสา, แหล่งน้ำ, โลดโผน",10,18,0,"การรบ, การศึก, ความคล่องแคล่ว, ความว่องไว, ชาวบ้าน, ชาวเหนือ, ตารี, ธงไทย, นนทก, นิมิต, สงคราม, สีทอง, สีน้ำเงิน, สีแดง, องคต, อสูร, อาสา, แหล่งน้ำ",
ฟ้อนจันทราพาฝัน,"ชาวเหนือ, หญิงสาว, เพลงลาวคำหอม, แสงจันทร์","การปั้น, ชาวนา, ชาวเหนือ, ผู้หญิง, ภาคเหนือ, มโนราห์, ศิลปินแห่งชาติ, สีน้ำเงิน, หญิงสาว, ออกรบ, เพลงลาวคำหอม, แสงจันทร์, แหล่งน้ำ",4,9,0,"การปั้น, ชาวนา, ผู้หญิง, ภาคเหนือ, มโนราห์, ศิลปินแห่งชาติ, สีน้ำเงิน, ออกรบ, แหล่งน้ำ",
ฟ้อนเจิง,"ภาคเหนือ, ล้านนา","ชาวบ้าน, ชาวเหนือ, ต่อสู้, ธงไทย, นนทก, ภาคเหนือ, ล้านนา, สีแดง, อสูร, แหล่งน้ำ",2,8,0,"ชาวบ้าน, ชาวเหนือ, ต่อสู้, ธงไทย, นนทก, สีแดง, อสูร, แหล่งน้ำ",
ฟ้อนดวงเดือน,"การเกี้ยวพาราสี, ชายหนุ่ม, พระนิพนธ์, หญิงสาว, เพลงอัตราจังหวะสองชั้น","การปั้น, การเกี้ยวพาราสี, ชายหนุ่ม, ตำรา, พระนิพนธ์, วานร, สีทอง, สีแดง, หญิงสาว, เพลงอัตราจังหวะสองชั้น, แหล่งน้ำ",5,6,0,"การปั้น, ตำรา, วานร, สีทอง, สีแดง, แหล่งน้ำ",
ฟ้อนที,"ดนตรีพื้นบ้าน, ภาคเหนือ, แม่ฮ่องสอน","ชาวเหนือ, ดนตรีพื้นบ้าน, ตารี, ธงไทย, พื้นบ้านภาคใต้, ภาคเหนือ, เครื่องดนตรีพื้นบ้าน, แม่ฮ่องสอน, แหล่งน้ำ",3,6,0,"ชาวเหนือ, ตารี, ธงไทย, พื้นบ้านภาคใต้, เครื่องดนตรีพื้นบ้าน, แหล่งน้ำ",
ฟ้อนเทียน,"กลางคืน, จุดไฟ, ภาคเหนือ, หญิงสาว","กลางคืน, กะลา, จุดไฟ, ชาวเหนือ, ภาคเหนือ, สีแดง, หญิงสาว, แหล่งน้ำ",4,4,0,"กะลา, ชาวเหนือ, สีแดง, แหล่งน้ำ",
ฟ้อนผาง,"จุดไฟ, ผางประทีป, ผู้แสดง, ภาคเหนือ, ภาชนะดินเผา, ล้านนา","จุดไฟ, ชาวบ้าน, ชาวเหนือ, ธงไทย, นนทก, ผางประทีป, ผู้แสดง, ภาคเหนือ, ภาชนะดินเผา, มวยโบราณ, มารดา, มโนราห์, ล้านนา, วานร, สมัยโบราณ, สีแดง, เอาชนะ, แหล่งน้ำ",6,12,0,"ชาวบ้าน, ชาวเหนือ, ธงไทย, นนทก, มวยโบราณ, มารดา, มโนราห์, วานร, สมัยโบราณ, สีแดง, เอาชนะ, แหล่งน้ำ",
ฟ้อนมาลัย,"กรมศิลปากร, ข้าหลวง, นางพญาคำปิน, พญาผานอง, พระชายา, พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว, ราชสำนัก, ละครพันทาง, อาจารย์, เจ้าดารารัศมี, เชียงใหม่, เพลงฟ้อนดวงดอกไม้, เพลงสำเนียงลาว, โรงละครแห่งชาติ","กรมศิลปากร, กะลา, การปั้น, ข้าหลวง, ความสำนึก, ตารี, ตำรา, นางพญาคำปิน, นางฟ้า, ผู้หญิง, พญาผานอง, พระชายา, พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว, พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว, พระพาย, พระยา, ราชสำนัก, รำเดี่ยว, ละครพันทาง, สำนึก, สีน้ำเงิน, สีแดง, อาจารย์, อาสา, อินเดีย, อเนก, เจ้าดารารัศมี, เชียงใหม่, เพลงฟ้อนดวงดอกไม้, เพลงสำเนียงลาว, แหล่งน้ำ, โรงละครแห่งชาติ, ไทยทรงดำ",14,19,0,"กะลา, การปั้น, ความสำนึก, ตารี, ตำรา, นางฟ้า, ผู้หญิง, พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว, พระพาย, พระยา, รำเดี่ยว, สำนึก, สีน้ำเงิน, สีแดง, อาสา, อินเดีย, อเนก, แหล่งน้ำ, ไทยทรงดำ",
ฟ้อนรัก,"ท้าวพิชัยพิษณุกร, นางรื่น, นางโรย, นายขวัญ, นายแก้ว, พระนิพนธ์, พระพี่เลี้ยง, พระลอ, พระเจ้าบรมวงศ์เธอกรมพระนราธิปประพันธ์พงศ์, พระเพื่อน, พระแพง, ละครพันทาง, ลิลิตพระลอ, แมนสรวง","จับนาง, ท้าวพิชัยพิษณุกร, นางรื่น, นางโรย, นายขวัญ, นายแก้ว, บิดา, พระนิพนธ์, พระพี่เลี้ยง, พระมหากษัตริย์, พระยา, พระราม, พระลอ, พระเจ้าบรมวงศ์เธอกรมพระนราธิปประพันธ์พงศ์, พระเพื่อน, พระแพง, มรกต, มโนราห์, รำลึก, ละครพันทาง, ลิลิตพระลอ, วานร, สีน้ำเงิน, สีแดง, อสูร, แมนสรวง, แหล่งน้ำ",14,13,0,"จับนาง, บิดา, พระมหากษัตริย์, พระยา, พระราม, มรกต, มโนราห์, รำลึก, วานร, สีน้ำเงิน, สีแดง, อสูร, แหล่งน้ำ",
ฟ้อนเล็บ,"ผู้มาเยือน, ผู้แสดง, ภาคเหนือ, สีทอง","ชาวเหนือ, ตารี, ต้นรัง, ธงไทย, ผู้มาเยือน, ผู้แสดง, พลลิง, ภาคเหนือ, สีทอง, สีน้ำเงิน, สีแดง, แหล่งน้ำ",4,8,0,"ชาวเหนือ, ตารี, ต้นรัง, ธงไทย, พลลิง, สีน้ำเงิน, สีแดง, แหล่งน้ำ",
