item,gold_tokens,predicted_tokens,TP,FP,FN,FP_words,FN_words
รับขวัญข้าว,"การทำขวัญ, จารีตประเพณี, ธัญญาหาร, ผู้มีพระคุณ, พืชพรรณ, รุ่นหลัง, หล่อเลี้ยง","การทำขวัญ, จารีตประเพณี, ชาวนา, ต่อสู้, ธัญญาหาร, ผู้มีพระคุณ, พืชพรรณ, รุ่นหลัง, สวามี, สะล้อ, หล่อเลี้ยง",7,4,0,"ชาวนา, ต่อสู้, สวามี, สะล้อ",
ล่องใต้,"การประกอบอาชีพ, ดินแดน, ภาคใต้","การประกอบอาชีพ, การรบ, การแปร, ดินแดน, ภาคใต้, สะล้อ",3,3,0,"การรบ, การแปร, สะล้อ",
ลายเกราะ,"ดนตรีพื้นบ้าน, ภาคอีสาน, อีสาน","ดนตรีพื้นบ้าน, พระลอ, ภาคอีสาน, สัตว์น้ำ, สีน้ำเงิน, อีสาน, เกราะลอ, เครื่องดนตรี, เครื่องดนตรีพื้นบ้าน",3,6,0,"พระลอ, สัตว์น้ำ, สีน้ำเงิน, เกราะลอ, เครื่องดนตรี, เครื่องดนตรีพื้นบ้าน",
ลีลาหมากแก๊ป,"ชาวบ้าน, ดนตรีพื้นบ้าน, หญิงสาว, อีสาน, ไม้ยาว, ไม้สั้น","ชาวบ้าน, ดนตรีพื้นบ้าน, ภาคอีสาน, สีน้ำเงิน, หญิงสาว, หมากกั๊บแก๊บ, อีสาน, เครื่องดนตรี, เครื่องดนตรีพื้นบ้าน, เครื่องประกอบจังหวะ, ไม้ยาว, ไม้สั้น",6,6,0,"ภาคอีสาน, สีน้ำเงิน, หมากกั๊บแก๊บ, เครื่องดนตรี, เครื่องดนตรีพื้นบ้าน, เครื่องประกอบจังหวะ",
สยามภารตะ,"กระบวนท่ารำ, การหลอมรวม, ดินแดน, ราชสำนัก, อารยธรรม, อินเดีย","กระบวนท่ารำ, กองไฟ, การหลอมรวม, การไถ, ดินแดน, ธงไทย, นาฏศิลป์อินเดีย, ภารตนาฏยัม, อารยธรรม, อินเดีย, โอดิสสี",5,6,1,"กองไฟ, การไถ, ธงไทย, นาฏศิลป์อินเดีย, ภารตนาฏยัม, โอดิสสี",ราชสำนัก
สักการะเทวราช,"กรุงรัตนโกสินทร์, งานประติมากรรม, ตำรา, พระพุทธรูป, พระมหากษัตริย์, พระราชพิธี, พระอินทร์, มหรสพ, ลายเส้น, อยุธยา, อินทราภิเษก, เครื่องประดับ","กรุงรัตนโกสินทร์, การรบ, งานประติมากรรม, ตำรา, นิสัย, พระพุทธรูป, พระมหากษัตริย์, พระยา, พระราชพิธี, พระราม, พระลอ, พระอินทร์, มหรสพ, ลายเส้น, สวามี, อยุธยา, อินทราภิเษก, เครื่องประดับ, เทวดา, แต่งกายยืนเครื่องพระ",12,8,0,"การรบ, นิสัย, พระยา, พระราม, พระลอ, สวามี, เทวดา, แต่งกายยืนเครื่องพระ",
ออเจ้าชาวกรุงศรี,"การนุ่งห่ม, กุลสตรี, ราชสำนัก, เครื่องประดับ","การนุ่งห่ม, กุลสตรี, มารดา, เครื่องประดับ",3,1,1,มารดา,ราชสำนัก
ดาบสองมือ,"ความคล่องแคล่ว, ฟาดฟัน",,0,0,2,,"ความคล่องแคล่ว, ฟาดฟัน"
พลองไม้สั้น,"กระทุ้ง, ขั้นพื้นฐาน, ความว่องไว, ตัวต่อตัว, ต่อสู้, ประชิดตัว, ผู้แสดง, ลูกไม้, สีน้ำเงิน, สีแดง, ไม้สั้น","กระทุ้ง, กระบวนท่ารำ, การดีด, การศึก, ขั้นพื้นฐาน, ความว่องไว, จารึก, ตัวต่อตัว, ต่อสู้, ธงไทย, ประชิดตัว, ผู้แสดง, ลูกไม้, สัตว์น้ำ, สีน้ำเงิน, สีแดง, ไม้สั้น",11,6,0,"กระบวนท่ารำ, การดีด, การศึก, จารึก, ธงไทย, สัตว์น้ำ",
มวยคาดเชือก,"ผู้แสดง, มวยไทย, สมัยโบราณ","กระบวนท่ารำ, การศึก, ความคล่องแคล่ว, จารึก, ต่อสู้, ผู้แสดง, มวยโบราณ, มวยไทย, รับใช้, สมัยโบราณ, สัตว์น้ำ, แม่ไม้มวย",3,9,0,"กระบวนท่ารำ, การศึก, ความคล่องแคล่ว, จารึก, ต่อสู้, มวยโบราณ, รับใช้, สัตว์น้ำ, แม่ไม้มวย",
ระบำชาวนา,"การประกอบอาชีพ, การไถ, ชาวนา, ผู้แสดง","การประกอบอาชีพ, การรบ, การแปร, การไถ, ชาวนา, ผู้แสดง, สะล้อ",4,3,0,"การรบ, การแปร, สะล้อ",
รำเถิดเทิง,"กลองยาว, การตีกลอง, ยั่วเย้า, หยอกล้อ","กลองยาว, การตีกลอง, งานรื่นเริง, นางรื่น, ยั่วเย้า, หยอกล้อ, เถิดเทิง",4,3,0,"งานรื่นเริง, นางรื่น, เถิดเทิง",
รำวงมาตรฐาน,"กระบวนท่ารำ, เพลงคืนเดือนหงาย, เพลงงามแสงเดือน, เพลงชาวไทย, เพลงดวงจันทร์ขวัญฟ้า, เพลงดวงจันทร์วันเพ็ญ, เพลงดอกไม้ของชาติ, เพลงบูชานักรบ, เพลงยอดชายใจหาญ, เพลงรำซิมารำ, เพลงหญิงไทยใจงาม","กระบวนท่ารำ, การรบ, งานรื่นเริง, ชาวไทย, ที่รัก, ธงไทย, ภาคกลาง, ระบำมาตรฐาน, เพลงคืนเดือนหงาย, เพลงงามแสงเดือน, เพลงชาวไทย, เพลงดวงจันทร์ขวัญฟ้า, เพลงดวงจันทร์วันเพ็ญ, เพลงดอกไม้ของชาติ, เพลงบูชานักรบ, เพลงยอดชายใจหาญ, เพลงรำซิมารำ, เพลงหญิงไทยใจงาม",11,7,0,"การรบ, งานรื่นเริง, ชาวไทย, ที่รัก, ธงไทย, ภาคกลาง, ระบำมาตรฐาน",
รำสีนวล,กุลสตรี,"การขับร้อง, กุลสตรี, สีน้ำเงิน",1,2,0,"การขับร้อง, สีน้ำเงิน",
โนรา,"กินรี, ชาวไทย, บูชาครู, ภาคใต้, มรดกภูมิปัญญาทางวัฒนธรรม, มีแบบแผน, ยูเนสโก, สวัสดิมงคล","การขับร้อง, การรบ, กินรี, ชาวไทย, บูชาครู, ภาคใต้, มรดกภูมิปัญญาทางวัฒนธรรม, มีแบบแผน, มโนราห์, ยูเนสโก, สวัสดิมงคล",8,3,0,"การขับร้อง, การรบ, มโนราห์",
รองเง็ง,"ค้าขาย, งานรื่นเริง, ชายแดน, ชาวไทย, ตะวันตก, ผู้แสดง, ภาคใต้, มลายู, โปรตุเกส","ค้าขาย, งานรื่นเริง, ชายแดน, ชาวไทย, ตะวันตก, ท่าทาง, ธงไทย, ผู้แสดง, ภาคใต้, มลายู, โปรตุเกส",9,2,0,"ท่าทาง, ธงไทย",
ระบำตารีกีปัส,"ผู้แสดง, ภาคใต้, รำพัด, เครื่องดนตรีตะวันตก, เครื่องประกอบจังหวะ","ตะวันตก, ตารี, ตารีกีปัส, ธงไทย, ผู้แสดง, ภาคใต้, สีน้ำเงิน, เครื่องดนตรี, เครื่องดนตรีตะวันตก, เครื่องดนตรีพื้นบ้าน, เครื่องประกอบจังหวะ, เครื่องประดับ",4,8,1,"ตะวันตก, ตารี, ตารีกีปัส, ธงไทย, สีน้ำเงิน, เครื่องดนตรี, เครื่องดนตรีพื้นบ้าน, เครื่องประดับ",รำพัด
ระบำตารีบุหงา,"กระบวนท่ารำ, ของที่ระลึก, งานแต่งงาน, ชาวไทย, ช่อดอกไม้, ตารีบุหงา, ผู้แสดง, พื้นบ้านภาคใต้, มุสลิม","กระบวนท่ารำ, ของที่ระลึก, งานแต่งงาน, ชาวไทย, ช่อดอกไม้, ตารี, ตารีบุหงา, ผู้แสดง, พื้นบ้านภาคใต้, ภาคใต้, มลายู, มุสลิม, รำลึก",9,4,0,"ตารี, ภาคใต้, มลายู, รำลึก",
ระบำร่อนแร่,"การประกอบอาชีพ, การร่อนแร่, ภาคใต้, หญิงสาว, แหล่งน้ำ","การประกอบอาชีพ, การรบ, การร่อนแร่, การแปร, งานรื่นเริง, ธงไทย, นางรื่น, ภาคใต้, หญิงสาว, แหล่งน้ำ",5,5,0,"การรบ, การแปร, งานรื่นเริง, ธงไทย, นางรื่น",
กลองสะบัดชัย,"กลองสะบัดชัย, การตีกลอง, ขบวนแห่, ข้าศึก, ท่าทาง, พิธีทางศาสนา, ภาคเหนือ, ล้านนา, ออกรบ, โลดโผน","กลองสะบัดชัย, การตีกลอง, การรบ, การศึก, ขบวนแห่, ข้าศึก, ความคล่องแคล่ว, ความว่องไว, ชาวบ้าน, ท่าทาง, ธงไทย, นิมิต, พิธีทางศาสนา, ภาคเหนือ, ล้านนา, สงคราม, สีน้ำเงิน, ออกรบ, โลดโผน",10,9,0,"การรบ, การศึก, ความคล่องแคล่ว, ความว่องไว, ชาวบ้าน, ธงไทย, นิมิต, สงคราม, สีน้ำเงิน",
ฟ้อนจันทราพาฝัน,"ชาวเหนือ, หญิงสาว, เพลงลาวคำหอม, แสงจันทร์","ชาวนา, ชาวเหนือ, ผู้หญิง, ศิลปินแห่งชาติ, หญิงสาว, ออกรบ, เพลงลาวคำหอม, แสงจันทร์",4,4,0,"ชาวนา, ผู้หญิง, ศิลปินแห่งชาติ, ออกรบ",
ฟ้อนเจิง,"ภาคเหนือ, ล้านนา","ชาวบ้าน, ต่อสู้, ธงไทย, ภาคเหนือ, ล้านนา",2,3,0,"ชาวบ้าน, ต่อสู้, ธงไทย",
ฟ้อนดวงเดือน,"การเกี้ยวพาราสี, ชายหนุ่ม, พระนิพนธ์, หญิงสาว, เพลงอัตราจังหวะสองชั้น","การเกี้ยวพาราสี, ชายหนุ่ม, พระนิพนธ์, สีทอง, หญิงสาว, เพลงอัตราจังหวะสองชั้น",5,1,0,สีทอง,
ฟ้อนที,"ดนตรีพื้นบ้าน, ภาคเหนือ, แม่ฮ่องสอน","ชาวเหนือ, ดนตรีพื้นบ้าน, ธงไทย, ภาคเหนือ, แม่ฮ่องสอน",3,2,0,"ชาวเหนือ, ธงไทย",
ฟ้อนเทียน,"กลางคืน, จุดไฟ, ภาคเหนือ, หญิงสาว","กลางคืน, จุดไฟ, ภาคเหนือ, หญิงสาว",4,0,0,,
ฟ้อนผาง,"จุดไฟ, ผางประทีป, ผู้แสดง, ภาคเหนือ, ภาชนะดินเผา, ล้านนา","จุดไฟ, ชาวบ้าน, ธงไทย, ผางประทีป, ผู้แสดง, ภาคเหนือ, ภาชนะดินเผา, มารดา, ล้านนา, เอาชนะ",6,4,0,"ชาวบ้าน, ธงไทย, มารดา, เอาชนะ",
ฟ้อนมาลัย,"กรมศิลปากร, ข้าหลวง, นางพญาคำปิน, พญาผานอง, พระชายา, พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว, ราชสำนัก, ละครพันทาง, อาจารย์, เจ้าดารารัศมี, เชียงใหม่, เพลงฟ้อนดวงดอกไม้, เพลงสำเนียงลาว, โรงละครแห่งชาติ","กรมศิลปากร, ข้าหลวง, ความสำนึก, นางพญาคำปิน, นางฟ้า, ผู้หญิง, พญาผานอง, พระชายา, พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว, พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว, พระพาย, พระยา, ราชสำนัก, ละครพันทาง, สำนึก, อาจารย์, เจ้าดารารัศมี, เชียงใหม่, เพลงฟ้อนดวงดอกไม้, เพลงสำเนียงลาว, โรงละครแห่งชาติ",14,7,0,"ความสำนึก, นางฟ้า, ผู้หญิง, พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว, พระพาย, พระยา, สำนึก",
ฟ้อนรัก,"ท้าวพิชัยพิษณุกร, นางรื่น, นางโรย, นายขวัญ, นายแก้ว, พระนิพนธ์, พระพี่เลี้ยง, พระลอ, พระเจ้าบรมวงศ์เธอกรมพระนราธิปประพันธ์พงศ์, พระเพื่อน, พระแพง, ละครพันทาง, ลิลิตพระลอ, แมนสรวง","จับนาง, ท้าวพิชัยพิษณุกร, นางรื่น, นางโรย, นายขวัญ, นายแก้ว, พระนิพนธ์, พระพี่เลี้ยง, พระยา, พระราม, พระลอ, พระเจ้าบรมวงศ์เธอกรมพระนราธิปประพันธ์พงศ์, พระเพื่อน, พระแพง, รำลึก, ละครพันทาง, ลิลิตพระลอ, แมนสรวง",14,4,0,"จับนาง, พระยา, พระราม, รำลึก",
ฟ้อนเล็บ,"ผู้มาเยือน, ผู้แสดง, ภาคเหนือ, สีทอง","ต้นรัง, ธงไทย, ผู้มาเยือน, ผู้แสดง, ภาคเหนือ, สีทอง",4,2,0,"ต้นรัง, ธงไทย",
ฟ้อนสาวไหม,"ดนตรีพื้นบ้าน, ทอผ้า, ผ้าไหม, ภาคเหนือ, สะล้อ","ดนตรีพื้นบ้าน, ทอผ้า, ผ้าไหม, ภาคเหนือ, สะล้อ, เครื่องดนตรี, เครื่องดนตรีพื้นบ้าน, แหล่งน้ำ",5,3,0,"เครื่องดนตรี, เครื่องดนตรีพื้นบ้าน, แหล่งน้ำ",
ระบำเก็บใบชา,"การเก็บใบชา, ชาวพื้นเมือง, ชาวเขา, ผึ่งแดด, ผู้แสดง, ภาคเหนือ, ใบชา, ไหล่เขา","การเก็บใบชา, การเดินทาง, งานรื่นเริง, ชาวพื้นเมือง, ชาวเขา, ธงไทย, ผึ่งแดด, ผู้แสดง, ภาคเหนือ, ใบชา, ไหล่เขา",8,3,0,"การเดินทาง, งานรื่นเริง, ธงไทย",
กระทบสากหรือกระทบไม้,"กระทบไม้, ชาวไทย, นิสัย, พระจันทร์, ภาคอีสาน, สากตำข้าว, สุรินทร์, เครื่องประกอบจังหวะ, เต้นสาก","กระทบไม้, การเกี้ยวพาราสี, ชาวไทย, ธงไทย, นิสัย, พระจันทร์, ภาคอีสาน, สากตำข้าว, สุรินทร์, อีสาน, เครื่องประกอบจังหวะ, เครื่องประดับ, เต้นสาก",9,4,0,"การเกี้ยวพาราสี, ธงไทย, อีสาน, เครื่องประดับ",
เซิ้งกระติบข้าว,"กระบวนท่ารำ, การดีด, การปั้น, ข้าวเหนียว, ชาวภูไท, ที่รัก, หญิงสาว","กระบวนท่ารำ, การดีด, การปั้น, การเดินทาง, ข้าวเหนียว, งานรื่นเริง, ชาวนา, ชาวภูไท, ที่รัก, ท่าทาง, หญิงสาว",7,4,0,"การเดินทาง, งานรื่นเริง, ชาวนา, ท่าทาง",
เซิ้งตังหวาย,"การขับร้อง, ลำตังหวาย, แม่น้ำโขง","การขับร้อง, ธงไทย, ลำตังหวาย, แม่น้ำโขง, แหล่งน้ำ",3,2,0,"ธงไทย, แหล่งน้ำ",
เซิ้งไทภูเขา,"การเดินทาง, ขอขมา, ชาวภูไท, ชาวไทย, ผีภู, ภูเขา, ย่านาง, วัตถุดิบ, หน่อไม้, เจ้าที่เจ้าทาง, เทือกเขาภูพาน, ไทภูเขา","การเดินทาง, ขอขมา, ชาวภูไท, ชาวไทย, ผีภู, ภูเขา, ย่านาง, วัตถุดิบ, หน่อไม้, เจ้าที่เจ้าทาง, เทือกเขาภูพาน, ไทภูเขา",12,0,0,,
เซิ้งโปงลาง,"ชายหนุ่ม, ผู้แสดง, สังสรรค์, หญิงสาว, เครื่องดนตรี, โปงลาง","การเกี้ยวพาราสี, ชายหนุ่ม, ผู้แสดง, มารดา, สังสรรค์, หญิงสาว, เครื่องดนตรี, แหล่งน้ำ, โปงลาง",6,3,0,"การเกี้ยวพาราสี, มารดา, แหล่งน้ำ",
เซิ้งสวิง,"กระบวนท่ารำ, การจับปลา, ผู้แสดง, สัตว์น้ำ, หยอกล้อ","กระบวนท่ารำ, การจับปลา, การประกอบอาชีพ, ท่าทาง, ผู้แสดง, ภาคตะวันออกเฉียงเหนือ, สัตว์น้ำ, สีน้ำเงิน, หยอกล้อ",5,4,0,"การประกอบอาชีพ, ท่าทาง, ภาคตะวันออกเฉียงเหนือ, สีน้ำเงิน",
ฟ้อนภูไท,"กาฬสินธุ์, ชาวภูไท, ดินแดน, นครพนม, มุกดาหาร, สกลนคร, สายสืบ, สีแดง, เทือกเขาภูพาน, แม่น้ำโขง","การรบ, กาฬสินธุ์, งานรื่นเริง, ชาวภูไท, ดินแดน, นครพนม, มุกดาหาร, สกลนคร, สัตว์น้ำ, สายสืบ, สีแดง, เทือกเขาภูพาน, แม่น้ำโขง, แหล่งน้ำ",10,4,0,"การรบ, งานรื่นเริง, สัตว์น้ำ, แหล่งน้ำ",
ฟ้อนภูไท 3 เผ่า,"การเกี้ยวพาราสี, กาฬสินธุ์, ชาวภูไท, ต่อสู้, นครพนม, ผู้แสดง, มวยโบราณ, สกลนคร, เทือกเขาภูพาน","การปั้น, การเกี้ยวพาราสี, กาฬสินธุ์, ชาวภูไท, ต่อสู้, นครพนม, ผู้แสดง, มวยโบราณ, สกลนคร, สีทอง, เชิงมวย, เทือกเขาภูพาน",9,3,0,"การปั้น, สีทอง, เชิงมวย",
ฟ้อนหมากกั๊บแก๊บลำเพลิน,"การขับร้อง, ดนตรีพื้นบ้าน, ฟันปลา, ภาคอีสาน, หยอกล้อ, อีสาน, เครื่องดนตรี, ไม้ยาว, ไม้สั้น","การขับร้อง, การรบ, ดนตรีพื้นบ้าน, ฟันปลา, ภาคอีสาน, ลำเพลิน, สัตว์น้ำ, สีน้ำเงิน, หมากกั๊บแก๊บ, หยอกล้อ, อีสาน, เครื่องดนตรี, ไม้ยาว, ไม้สั้น",9,5,0,"การรบ, ลำเพลิน, สัตว์น้ำ, สีน้ำเงิน, หมากกั๊บแก๊บ",
การแสดงโขนเรื่องรามเกียรติ์ ชุดยกรบ,"กรุงลงกา, กองทัพ, การขึ้นลอย, การรบ, ชั้นเชิง, ทศกัณฐ์, พระราม, พระลักษมณ์","กรุงลงกา, กองทัพ, การขึ้นลอย, การรบ, การแปร, ชั้นเชิง, ทศกัณฐ์, พระยา, พระราม, พระลอ, พระลักษมณ์, รำลึก, วานร, สงคราม, สีน้ำเงิน, ไพร่พล",8,8,0,"การแปร, พระยา, พระลอ, รำลึก, วานร, สงคราม, สีน้ำเงิน, ไพร่พล",
การแสดงโขนเรื่องรามเกียรติ์ ตอน  จองถนน,"กรุงลงกา, จองถนน, ชามพูวราช, ทะเล, นิมิต, พระราม, พระเมรุ, พลลิง, วิดน้ำ, สมควร, สำเภา, อาสา, เมืองขีดขิน, เมืองชมพู","กรุงลงกา, การแปร, ขีดขิน, จองถนน, ชามพูวราช, ทะเล, นิมิต, พระยา, พระราม, พระเมรุ, พลลิง, วานร, วิดน้ำ, สมควร, สำเภา, อาสา, เมืองขีดขิน, เมืองชมพู, ไพร่พล",14,5,0,"การแปร, ขีดขิน, พระยา, วานร, ไพร่พล",
การแสดงโขนเรื่องรามเกียรติ์ ตอน  นารายณ์ปราบนนทก,"นนทก, นิ้วเพชร, พระนารายณ์, พระอิศวร, รับใช้, เขาไกลลาศ, เทวดา","การแปร, ที่รัก, นนทก, นิ้วเพชร, พระนารายณ์, พระยา, พระลอ, พระศิวะ, พระอิศวร, รับใช้, เขาไกลลาศ, เทวดา",7,5,0,"การแปร, ที่รัก, พระยา, พระลอ, พระศิวะ",
การแสดงโขนเรื่องรามเกียรติ์ ตอน  ศึกแสงอาทิตย์,"กองทัพ, ทศกัณฐ์, พญาขร, พระพรหม, พระราม, พิเภก, มังกรกัณฐ์, อนุชา, อุบาย, แว่นแก้วสุรกานต์, แสงอาทิตย์, โอรส","กองทัพ, การรบ, การศึก, การแปร, ทศกัณฐ์, พญาขร, พระพรหม, พระยา, พระราม, พิเภก, มังกรกัณฐ์, อนุชา, อุบาย, แว่นแก้วสุรกานต์, แสงอาทิตย์, โอรส",12,4,0,"การรบ, การศึก, การแปร, พระยา",
การแสดงโขนเรื่องรามเกียรติ์ ตอน  หนุมานชาญสมร,"กรุงลงกา, กองทัพ, การให้กำเนิด, กุณฑล, ขนเพชร, จำกาย, ทหารเอก, บิดา, ฝากตัว, พระนารายณ์, พระพาย, พระราม, พระอิศวร, พละกำลัง, พลับพลา, รับใช้, วานร, สวามิภักดิ์, หนุมาน, อวตาร, เขี้ยวแก้ว","กรุงลงกา, กองทัพ, การแปร, การให้กำเนิด, กุณฑล, ขนเพชร, จำกาย, ฉลองพระองค์, ทหารเอก, นางสวาหะ, บิดา, ฝากตัว, พระนารายณ์, พระพาย, พระยา, พระราม, พระลอ, พระศิวะ, พระอิศวร, พละกำลัง, พลับพลา, รับใช้, วานร, สวามิภักดิ์, สวามี, หนุมาน, อวตาร, เขี้ยวแก้ว",21,7,0,"การแปร, ฉลองพระองค์, นางสวาหะ, พระยา, พระลอ, พระศิวะ, สวามี",
การแสดงโขนเรื่องรามเกียรติ์ ตอน กุมภกรรณพุ่งหอกโมกขศักดิ์,"กรุงลงกา, การศึก, กุมภกรรณ, ขับไล่, ดำรงตำแหน่ง, ทศกัณฐ์, นางสีดา, พระพรหม, พระราม, มัยราพณ์, ยุติธรรม, รับอาสา, ร้ายกาจ, สัจจะ, หอกโมกขศักดิ์, อนุชา, อุปราช","กรุงลงกา, การยุติ, การศึก, การุณราช, การแปร, กุมภกรรณ, ขับไล่, จารึก, ดำรงตำแหน่ง, ทศกัณฐ์, นางสีดา, พระพรหม, พระยา, พระราม, มัยราพณ์, ยุติธรรม, รับอาสา, ร้ายกาจ, สงคราม, สัจจะ, สีน้ำเงิน, หอกโมกขศักดิ์, อนุชา, อาสา, อุปราช",17,8,0,"การยุติ, การุณราช, การแปร, จารึก, พระยา, สงคราม, สีน้ำเงิน, อาสา",
